cue_id,take_id,section,plan_start,plan_end,timing_method,take_anchor,voice_anchor,asset_id,asset_type,asset_path,source_master,asset_status,movement_rule,overlay_rule,sfx_key,edit_note
V001,EP07_TAKE_001,S1,00:00.00,00:03.83,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Comans Nacht,"Salem, Massachusetts",IMG001_SALEM_BEDROOM_COMAN_RECON,GENERATED_STILL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\IMG001_SALEM_BEDROOM_COMAN_RECON.png,,READY,HOLD_STATIC_0_TO_1_PERCENT,Rekonstruktion,ROOM_1692,Hard cut within act; 0.35 s dissolve only at act boundary
V002,EP07_TAKE_001,S1,00:03.83,00:07.67,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Comans Nacht,Mai sechzehnhundertzweiundneunzig,SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_full,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_full.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,ROOM_1692,Hard cut within act; 0.35 s dissolve only at act boundary
V003,EP07_TAKE_001,S1,00:07.67,00:11.50,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Comans Nacht,Richard Coman,SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_name_and_opening,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_name_and_opening.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,ROOM_1692,Hard cut within act; 0.35 s dissolve only at act boundary
V004,EP07_TAKE_001,S1,00:11.50,00:15.33,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Comans Nacht,liegt nachts wach,IMG002_COMAN_TRIES_TO_WAKE_WIFE,GENERATED_STILL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\IMG002_COMAN_TRIES_TO_WAKE_WIFE.png,,READY,GENTLE_ZOOM_1P5_TO_2P5_PERCENT,Rekonstruktion,ROOM_1692,Hard cut within act; 0.35 s dissolve only at act boundary
V005,EP07_TAKE_001,S1,00:15.33,00:19.17,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Comans Nacht,drückt ihn nieder,SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_pressure_passage,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_pressure_passage.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,ROOM_1692,Hard cut within act; 0.35 s dissolve only at act boundary
V006,EP07_TAKE_001,S1,00:19.17,00:23.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Comans Nacht,Salem als konkreter Ort,SRC_EP07_Salem_Village_1692_map_Upham_1866_full_map,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Salem_Village_1692_map_Upham_1866_full_map.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Salem_Village_1692_map_Upham_1866.jpg,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,ROOM_1692,Hard cut within act; 0.35 s dissolve only at act boundary
V007,EP07_TAKE_002,S1,00:23.00,00:27.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,"Lähmung, Druck, bekanntes Muster",weder sprechen noch bewegen,IMG012_EXPERIENCE_BEFORE_STORY,GENERATED_STILL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\IMG012_EXPERIENCE_BEFORE_STORY.png,,READY,HOLD_STATIC_0_TO_1_PERCENT,Kein Zusatztext,PRESSURE_DRY,Hard cut within act; 0.35 s dissolve only at act boundary
V008,EP07_TAKE_002,S1,00:27.00,00:31.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,"Lähmung, Druck, bekanntes Muster",Starre und Druck,CLIP002_NIGHTMARE_PRESSURE,TRANSFORM_CLIP,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\CLIP002_NIGHTMARE_PRESSURE.mp4,,READY,NATIVE_MOTION_NO_ADDITIONAL_CAMERA,Subjektive Visualisierung,PRESSURE_DRY,Hard cut within act; 0.35 s dissolve only at act boundary
V009,EP07_TAKE_002,S1,00:31.00,00:35.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,"Lähmung, Druck, bekanntes Muster",Comans Formulierung,SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_cannot_speak_nor_stir,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p1_cannot_speak_nor_stir.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,PRESSURE_DRY,Hard cut within act; 0.35 s dissolve only at act boundary
V010,EP07_TAKE_002,S1,00:35.00,00:39.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,"Lähmung, Druck, bekanntes Muster",bekanntes Schlafmuster,SRC_EP07_REM_Polysomnography_30sec_full_trace,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_REM_Polysomnography_30sec_full_trace.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_REM_Polysomnography_30sec.png,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,PRESSURE_DRY,Hard cut within act; 0.35 s dissolve only at act boundary
V011,EP07_TAKE_002,S1,00:39.00,00:43.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,"Lähmung, Druck, bekanntes Muster",Messsensoren statt Dämon,SRC_EP07_Sleep_Studies_NHLBI_Polysomnography_sensor_detail,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Sleep_Studies_NHLBI_Polysomnography_sensor_detail.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Sleep_Studies_NHLBI_Polysomnography.jpg,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,PRESSURE_DRY,Hard cut within act; 0.35 s dissolve only at act boundary
V012,EP07_TAKE_002,S1,00:43.00,00:47.00,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,"Lähmung, Druck, bekanntes Muster",heutige Schlafparalyse,IMG033_AWAKE_BRAIN_BODY_LOCK,GENERATED_STILL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\IMG033_AWAKE_BRAIN_BODY_LOCK.png,,MISSING_GENERATION,GENTLE_ZOOM_1P5_TO_2P5_PERCENT,Bei historischer Szene: Rekonstruktion; sonst kein Overlay,PRESSURE_DRY,Hard cut within act; 0.35 s dissolve only at act boundary
V013,EP07_TAKE_003,S1,00:47.00,00:51.14,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Gericht und öffentliche Konsequenz,Welt ohne Schlafmedizin,IMG003_PRIVATE_NIGHT_TO_COURT,GENERATED_STILL,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\03_GENERATED_OUTPUT\NanoBanana_Pro_2K_Series\IMG003_PRIVATE_NIGHT_TO_COURT.png,,READY,LOCKED_STATIC_SOURCE_COMPOSITE,Kein Zusatztext,COURT_TRANSITION,Hard cut within act; 0.35 s dissolve only at act boundary
V014,EP07_TAKE_003,S1,00:51.14,00:55.29,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Gericht und öffentliche Konsequenz,Aussage unter Eid,SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p2_signature_and_oath,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692_p2_signature_and_oath.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Richard_Coman_Testimony_v_Bridget_Bishop_1692.pdf,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,COURT_TRANSITION,Hard cut within act; 0.35 s dissolve only at act boundary
V015,EP07_TAKE_003,S1,00:55.29,00:59.43,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Gericht und öffentliche Konsequenz,Bridget Bishop vor Gericht,SRC_EP07_Bridget_Bishop_Examination_1692_p1_full,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Bridget_Bishop_Examination_1692_p1_full.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Bridget_Bishop_Examination_1692.pdf,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,COURT_TRANSITION,Hard cut within act; 0.35 s dissolve only at act boundary
V016,EP07_TAKE_003,S1,00:59.43,01:03.57,PLAN_ESTIMATE_REPLACE_WITH_FORCED_ALIGNMENT,Gericht und öffentliche Konsequenz,neunzehnter April,SRC_EP07_Bridget_Bishop_Examination_1692_p1_heading_date,ORIGINAL_SOURCE,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\04_EDITOR_DERIVATIVES\SRC_EP07_Bridget_Bishop_Examination_1692_p1_heading_date.png,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\IMAGE_GENERATION_KIT\02_ASSETS\EP07_Bridget_Bishop_Examination_1692.pdf,DERIVE_STATIC_FRAME,STATIC_CONTAIN_OR_SEMANTIC_CROP,Quelle und Jahr unten links; keine Bewegung,COURT_TRANSITION,Hard cut within act; 0.35 s dissolve only at act boundary
