beat,state,canonical,in,out,hold,text
1,EP13-C18,EP13-C18,0.1,5.38,5.28,"Inside a crown of gold and pearls, in a shrine in Portugal, there is a bullet."
2,EP13-C13,EP13-C13,5.42,6.58,1.16,It was fired at a pope.
3,EP13-C13,EP13-C13,7.12,7.81,0.69,He survived.
4,H24_HAND_ON_ENVELOPE,H24_HAND_ON_ENVELOPE,8.34,11.93,3.59,"And two months later, still recovering from surgery, he asked for an envelope that had been sealed for thirty-"
4,H01_ENVELOPE_SEALED,H01_ENVELOPE_SEALED,11.93,15.52,3.59,"And two months later, still recovering from surgery, he asked for an envelope that had been sealed for thirty-"
5,CLIP09_PUTTING_IT_AWAY,H10_BOX_RETURNED,15.56,22.74,7.18,"Two popes before him had opened that envelope, read what was inside, and closed it again without telling anyon"
6,EP13-C01,EP13-C01,22.76,28.59,5.83,"The shooting happened on the thirteenth of May, 1981, in Saint Peter's Square."
7,P08_SHEPHERD_CHILDREN_DISTANT,P08_SHEPHERD_CHILDREN_DISTANT,28.7,33.54,4.84,"Sixty-four years earlier, on the thirteenth of May, 1917, three children herding sheep near a Portuguese villa"
7,EP13-C07,EP13-C07,33.54,38.38,4.84,"Sixty-four years earlier, on the thirteenth of May, 1917, three children herding sheep near a Portuguese villa"
8,EP13-C26,EP13-C26,38.42,42.1,3.68,One of those children later wrote down part of what she saw.
9,H18_LOCKED_DOOR,H18_LOCKED_DOOR,42.14,44.89,2.75,That is the text inside the envelope.
10,V14_DOORWAY_LIGHT,V14_DOORWAY_LIGHT,44.94,49.96,5.02,"So this story asks two questions, and the second one is stranger than the first."
11,V13_PAGE_DISSOLVING,V13_PAGE_DISSOLVING,50.0,51.36,1.36,What did he read?
12,H28_GOLD_UNDER_GLASS,H28_GOLD_UNDER_GLASS,51.38,56.51,5.13,And how does a bullet fired in Rome end up set inside a crown in Portugal?
13,H08_ENVELOPE_CARRIED,H08_ENVELOPE_CARRIED,56.6,59.94,3.34,"So follow the envelope, because the envelope can be traced."
14,CLIP03_WRITING,H05_WRITING_HAND_1944,59.95,62.76,2.81,It begins with a girl and a pencil.
15,EP13-C14,EP13-C14,62.92,66.93,4.01,"The reported apparitions at Fatima ran through the summer of 1917. The children spoke about prayer, about war,"
15,EP13-C10,EP13-C10,66.93,70.93,4.0,"The reported apparitions at Fatima ran through the summer of 1917. The children spoke about prayer, about war,"
15,EP13-C11,EP13-C11,70.93,74.94,4.01,"The reported apparitions at Fatima ran through the summer of 1917. The children spoke about prayer, about war,"
16,CARD01_1944,CARD01_1944,74.98,78.74,3.76,"Twenty-seven years later, on the third of January, 1944, one of them sat down and wrote the last part out."
16,P12_WOMAN_WRITING_ROOM,P12_WOMAN_WRITING_ROOM,78.74,82.5,3.76,"Twenty-seven years later, on the third of January, 1944, one of them sat down and wrote the last part out."
17,EP13-C27,EP13-C27,82.58,85.76,3.18,Lucia dos Santos was the only one of the three still alive.
18,H06_FOLDING_SHEET,H06_FOLDING_SHEET,85.8,89.98,4.18,"And the moment she put the pencil down, the story changed shape."
19,CLIP04_SEALING,H07_SEALING_WAX,90.02,93.14,3.12,A reported vision became an object.
20,H19_PAPERS_ON_DESK_NIGHT,H19_PAPERS_ON_DESK_NIGHT,93.24,96.83,3.59,"Paper. Ink. A sealed envelope that can be carried, stored, guarded, and handed to one person at a time."
20,H36_KEY_RING,H36_KEY_RING,96.83,100.42,3.59,"Paper. Ink. A sealed envelope that can be carried, stored, guarded, and handed to one person at a time."
21,CARD02_1957,CARD02_1957,100.5,105.64,5.14,In 1957 the envelope was brought to Rome and placed in the archive of the Holy Office.
22,P02_ARCHIVIST_AT_WORK,P02_ARCHIVIST_AT_WORK,105.7,110.58,4.88,"Hold that situation in your mind for a second, because it is a strange one."
23,H35_SAFE_DOOR,H35_SAFE_DOOR,110.62,111.32,0.7,A document exists.
24,P06_TWO_MEN_TALKING,P06_TWO_MEN_TALKING,111.38,114.45,3.07,Its author is alive and can be asked about it.
25,P09_CLERK_CARRYING_BOX,P09_CLERK_CARRYING_BOX,114.5,117.36,2.86,The men permitted to read it are known by name.
26,H16_NEWSPAPER_STACK,H16_NEWSPAPER_STACK,117.42,121.54,4.12,And everyone else is told only that it is there.
27,EP13-C12,EP13-C12,121.56,122.78,1.22,"In 1959, John the Twenty-Third read it."
27,H09_READING_ALONE,H09_READING_ALONE,122.78,124.0,1.22,"In 1959, John the Twenty-Third read it."
28,H11_DESK_AFTER_READING,H11_DESK_AFTER_READING,124.06,126.2,2.14,He did not publish it.
29,EP13-C04,EP13-C04,126.26,128.42,2.16,"Six years later, Paul the Sixth read it."
30,CARD03_TWO_POPES,CARD03_TWO_POPES,128.46,131.12,2.66,He sent it back to the archive.
31,CARD03_TWO_POPES,CARD03_TWO_POPES,131.26,137.56,6.3,"Each time a pope opened that envelope, the silence afterwards became a decision instead of an accident."
