shot_id,start,end,act,palette_world,planned_luminance,visual_focus,contrast_function,exact_voice
EP05_SHOT_001,0.100,4.660,HOOK,NOCTURNAL EXPERIENCE,LOW 15–35,face / open eye,dark peak,"Before David Hufford became a folklorist, he woke to the sound of his bedroom door opening."
EP05_SHOT_002,5.340,10.040,HOOK,NOCTURNAL EXPERIENCE,LOW 15–35,door / steps / hand,dark peak,Footsteps crossed the room. His body would not move. The mattress sank.
EP05_SHOT_003,10.680,13.810,HOOK,NOCTURNAL EXPERIENCE,LOW 20–40,embodied pressure figure,dark peak landing,"Weight pressed into his chest. Years later,"
EP05_SHOT_004,14.120,19.560,HOOK,ARCHIVE / IDENTITY,MID-HIGH 95–150,authentic Hufford identity,hard reality reset,strangers in Newfoundland described the same sequence and gave the visitor a name Hufford said he had never heard:
EP05_SHOT_005,20.140,26.760,HOOK,FOLKLORE → SCIENCE,MID 70–120,Old Hag reveal → real PSG,two-part claim landing,the Old Hag. Researchers can make the paralysis more likely and see its traces on a monitor.
EP05_SHOT_006,26.800,32.480,HOOK,REALITY RESET,MID 55–90,ordinary room / open question,release,But why does a body caught between dreaming and waking so often feel as though someone else has entered the room?
EP05_SHOT_007,33.220,40.500,HUFFORD_NIGHT,NOCTURNAL EXPERIENCE,LOW 20–55,human reaction / distinct action state,"vary face, body detail, room",Hufford later described more than fear. He felt intention: the certainty that whatever was above him was hostile.
EP05_SHOT_008,40.580,45.140,HUFFORD_NIGHT,NOCTURNAL EXPERIENCE,LOW 20–55,human reaction / distinct action state,"vary face, body detail, room",Then the pressure vanished. Movement returned. The room was ordinary again.
EP05_SHOT_009,45.640,51.440,HUFFORD_NIGHT,NOCTURNAL EXPERIENCE,LOW 20–55,human reaction / distinct action state,"vary face, body detail, room","But the experience was too structured to feel like a random fragment of a dream: the opening door,"
EP05_SHOT_010,51.700,56.200,HUFFORD_NIGHT,NOCTURNAL EXPERIENCE,LOW 20–55,human reaction / distinct action state,"vary face, body detail, room","the approaching steps, the body that would not answer, the weight on his chest."
EP05_SHOT_011,57.020,63.880,HUFFORD_NIGHT,ARCHIVE / EXPLANATION,HIGH 120–210,book / field notes / clean question space,break dark cluster,"At the time, he had no name for it. He did not know that this sequence was already living inside another community's stories."
EP05_SHOT_012,64.519,68.040,HUFFORD_NIGHT,ARCHIVE / EXPLANATION,HIGH 120–210,book / field notes / clean question space,break dark cluster,And that turns one frightening night into a much stranger question.
EP05_SHOT_013,69.060,72.700,HUFFORD_NIGHT,ARCHIVE / EXPLANATION,HIGH 120–210,book / field notes / clean question space,break dark cluster,Can an experience reach us before the story that is supposed to explain it?
EP05_SHOT_014,73.520,79.230,FOGO_OLD_HAG,REAL WORLD / FOGO,HIGH 110–190,coast / people / map / fieldwork / book,major daylight reset,"Years later, Hufford worked with local accounts and archives in Newfoundland. On Fogo Island,"
EP05_SHOT_015,79.460,84.500,FOGO_OLD_HAG,REAL WORLD / FOGO,HIGH 110–190,coast / people / map / fieldwork / book,major daylight reset,he encountered an expression that sounded almost casual: to have the Old Hag.
EP05_SHOT_016,84.560,89.370,FOGO_OLD_HAG,FOGO FOLKLORE,MID 60–105,daylit interior → visible hag-like form,folklore inside real place,A person wakes in a familiar room. They cannot move. Something approaches.
EP05_SHOT_017,90.080,93.600,FOGO_OLD_HAG,FOGO FOLKLORE,MID 60–105,daylit interior → visible hag-like form,folklore inside real place,Breathing becomes difficult. A weight settles onto the chest.
EP05_SHOT_018,94.180,98.740,FOGO_OLD_HAG,FOGO FOLKLORE,MID 60–105,daylit interior → visible hag-like form,folklore inside real place,And through it all comes the absolute conviction that this is happening while they are awake.
EP05_SHOT_019,99.560,106.000,FOGO_OLD_HAG,REAL WORLD / FOGO,HIGH 110–190,coast / people / map / fieldwork / book,major daylight reset,"For Hufford, the resemblance was uncomfortably precise. He later collected accounts from other people who,"
EP05_SHOT_020,106.060,110.540,FOGO_OLD_HAG,REAL WORLD / FOGO,HIGH 110–190,coast / people / map / fieldwork / book,major daylight reset,"he reported, had not known the tradition beforehand. In 1982,"
EP05_SHOT_021,110.880,116.800,FOGO_OLD_HAG,REAL WORLD / FOGO,HIGH 110–190,coast / people / map / fieldwork / book,major daylight reset,that work became The Terror That Comes in the Night. Perhaps culture gives the experience a face.
EP05_SHOT_022,117.600,120.300,FOGO_OLD_HAG,REAL WORLD / FOGO,HIGH 110–190,coast / people / map / fieldwork / book,major daylight reset,But what if the experience sometimes comes first?
EP05_SHOT_023,121.080,126.160,REM_ATONIA,SCIENCE / ANATOMY,MID-HIGH 90–190,human lab / paper / brainstem / motor path,clear mechanism,"Every night during REM sleep, the brain restrains much of the body's voluntary movement."
EP05_SHOT_024,126.220,131.940,REM_ATONIA,SCIENCE / ANATOMY,MID-HIGH 90–190,human lab / paper / brainstem / motor path,clear mechanism,It is a protective silence built into dreaming: the dream can run while the body remains still.
EP05_SHOT_025,132.680,137.090,REM_ATONIA,SCIENCE / ANATOMY,MID-HIGH 90–190,human lab / paper / brainstem / motor path,clear mechanism,"Usually, awareness and movement return together. In sleep paralysis,"
EP05_SHOT_026,137.340,143.260,REM_ATONIA,SCIENCE / ANATOMY,MID-HIGH 90–190,human lab / paper / brainstem / motor path,clear mechanism,the handover slips out of sequence. Your mind reaches the room before movement reaches your muscles.
EP05_SHOT_027,143.960,150.109,REM_ATONIA,SCIENCE / ANATOMY,MID-HIGH 90–190,human lab / paper / brainstem / motor path,clear mechanism,"You know where you are. You can see the door. You can hear the room around you. The command to move is real,"
EP05_SHOT_028,150.370,156.549,REM_ATONIA,SCIENCE / ANATOMY,MID-HIGH 90–190,human lab / paper / brainstem / motor path,clear mechanism,"but the arm does not respond. Breathing continues, yet the chest can feel unfamiliar or restricted,"
EP05_SHOT_029,157.140,163.200,REM_ATONIA,SCIENCE / ANATOMY,MID-HIGH 90–190,human lab / paper / brainstem / motor path,clear mechanism,especially when fear turns every sensation into urgent information. This explains the paralysis.
EP05_SHOT_030,163.760,165.549,REM_ATONIA,NOCTURNAL PUNCTURE,LOW 25–50,unexplained footsteps,one-sentence mystery cut,It does not yet explain the footsteps.
EP05_SHOT_031,166.540,171.109,THREE_FAMILIES,ARCHIVE / RESEARCH,HIGH 130–220,Cheyne identity / publication / clustering,science reset,"When psychologist J. Allan Cheyne and his colleagues studied these experiences,"
