order,kind,filename,prompt_source,generation_method,redesigned,bed_or_bedroom,technical_status,visual_status,width,height,mean_luminance,recommended_use
4,MAIN,IMG001_1963_BEDROOM_DOOR.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,98.97,MAIN_SEQUENCE_POOL
5,MAIN,IMG002_FOOTSTEPS_APPROACH.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,69.23,MAIN_SEQUENCE_POOL
6,MAIN,IMG003_HAND_WILL_NOT_MOVE.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,46.05,MAIN_SEQUENCE_POOL
7,MAIN,IMG004_MATTRESS_WEIGHT.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,VERTEX_GEMINI_3_PRO_IMAGE_2K,False,True,PASS,PASS,2560,1440,63.85,MAIN_SEQUENCE_POOL
8,MAIN,IMG005_CHEST_PRESSURE_CLOSE.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,65.74,MAIN_SEQUENCE_POOL
9,MAIN,IMG006_MALEVOLENT_PRESENCE_NEGATIVE_SPACE.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,96.3,MAIN_SEQUENCE_POOL
10,MAIN,IMG007_FOGO_PLACE_ANCHOR_RECON.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,EXISTING_APPROVED_NANOBANANA,False,False,PASS,PASS,2560,1440,124.98,MAIN_SEQUENCE_POOL
11,MAIN,IMG008_OLD_HAG_BEDROOM_PATTERN.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,BUILTIN_IMAGEGEN_UPSCALED_2K,False,True,PASS,PASS,2560,1440,53.0,MAIN_SEQUENCE_POOL
12,RESERVE,SHOT01_EMPTY_HALLWAY.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,EXISTING_APPROVED_NANOBANANA,False,False,PASS,PASS,2560,1440,71.06,RESERVE_INSERT
13,RESERVE,SHOT02_FOGO_MAP_TABLE.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,DETERMINISTIC_SOURCE_LOCKED_COMPOSITE,False,False,PASS,PASS,2560,1440,170.26,RESERVE_INSERT
14,MAIN,IMG009_REM_BODY_STILL.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,48.41,MAIN_SEQUENCE_POOL
15,MAIN,IMG010_REM_RECORD_EDIT_BASE.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,DETERMINISTIC_SOURCE_LOCKED_COMPOSITE,False,False,PASS,PASS,2560,1440,65.29,MAIN_SEQUENCE_POOL
16,MAIN,IMG011_WAKE_BODY_LAG.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,122.53,MAIN_SEQUENCE_POOL
17,MAIN,IMG012_ARM_COMMAND_NO_RESPONSE.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S3_S4.md,VERTEX_GEMINI_3_PRO_IMAGE_2K,False,True,PASS,PASS,2560,1440,77.31,MAIN_SEQUENCE_POOL
18,MAIN,IMG013_INTRUDER_DOORWAY.png,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,BUILTIN_IMAGEGEN_REDESIGN_LANCZOS_2K,True,False,PASS,PASS,2560,1440,83.02,MAIN_SEQUENCE_POOL
