requested_seconds,decoded_seconds,frame,page,cell
0.000,0.000,0,1,1
4.000,4.000,120,1,2
8.000,8.000,240,1,3
12.000,12.000,360,1,4
16.000,16.000,480,1,5
20.000,20.000,600,1,6
24.000,24.000,720,1,7
28.000,28.000,840,1,8
32.000,32.000,960,1,9
36.000,36.000,1080,1,10
40.000,40.000,1200,1,11
44.000,44.000,1320,1,12
48.000,48.000,1440,1,13
52.000,52.000,1560,1,14
56.000,56.000,1680,1,15
60.000,60.000,1800,1,16
64.000,64.000,1920,1,17
68.000,68.000,2040,1,18
72.000,72.000,2160,1,19
76.000,76.000,2280,1,20
80.000,80.000,2400,1,21
84.000,84.000,2520,1,22
88.000,88.000,2640,1,23
92.000,92.000,2760,1,24
96.000,96.000,2880,1,25
100.000,100.000,3000,2,1
104.000,104.000,3120,2,2
108.000,108.000,3240,2,3
112.000,112.000,3360,2,4
116.000,116.000,3480,2,5
120.000,120.000,3600,2,6
124.000,124.000,3720,2,7
128.000,128.000,3840,2,8
132.000,132.000,3960,2,9
136.000,136.000,4080,2,10
140.000,140.000,4200,2,11
144.000,144.000,4320,2,12
148.000,148.000,4440,2,13
152.000,152.000,4560,2,14
156.000,156.000,4680,2,15
160.000,160.000,4800,2,16
164.000,164.000,4920,2,17
168.000,168.000,5040,2,18
172.000,172.000,5160,2,19
176.000,176.000,5280,2,20
180.000,180.000,5400,2,21
184.000,184.000,5520,2,22
188.000,188.000,5640,2,23
192.000,192.000,5760,2,24
196.000,196.000,5880,2,25
200.000,200.000,6000,3,1
204.000,204.000,6120,3,2
208.000,208.000,6240,3,3
212.000,212.000,6360,3,4
216.000,216.000,6480,3,5
220.000,220.000,6600,3,6
224.000,224.000,6720,3,7
228.000,228.000,6840,3,8
232.000,232.000,6960,3,9
236.000,236.000,7080,3,10
240.000,240.000,7200,3,11
244.000,244.000,7320,3,12
248.000,247.999,7440,3,13
252.000,251.999,7560,3,14
256.000,255.999,7680,3,15
260.000,259.999,7800,3,16
264.000,263.999,7920,3,17
268.000,267.999,8040,3,18
272.000,271.999,8160,3,19
276.000,275.999,8280,3,20
280.000,279.999,8400,3,21
284.000,283.999,8520,3,22
288.000,287.999,8640,3,23
292.000,291.999,8760,3,24
296.000,295.999,8880,3,25
300.000,299.999,9000,4,1
304.000,303.999,9120,4,2
308.000,307.999,9240,4,3
312.000,311.999,9360,4,4
316.000,315.999,9480,4,5
320.000,319.999,9600,4,6
324.000,323.999,9720,4,7
328.000,327.999,9840,4,8
332.000,331.999,9960,4,9
336.000,335.999,10080,4,10
340.000,339.999,10200,4,11
344.000,343.999,10320,4,12
348.000,347.999,10440,4,13
352.000,351.999,10560,4,14
356.000,355.999,10680,4,15
360.000,359.999,10800,4,16
364.000,363.999,10920,4,17
368.000,367.999,11040,4,18
372.000,371.999,11160,4,19
376.000,375.999,11280,4,20
380.000,379.999,11400,4,21
384.000,383.999,11520,4,22
388.000,387.999,11640,4,23
392.000,391.999,11760,4,24
396.000,395.999,11880,4,25
400.000,399.999,12000,5,1
404.000,403.999,12120,5,2
408.000,407.999,12240,5,3
412.000,411.999,12360,5,4
416.000,415.999,12480,5,5
420.000,419.999,12600,5,6
424.000,423.999,12720,5,7
428.000,427.999,12840,5,8
432.000,431.999,12960,5,9
436.000,435.999,13080,5,10
440.000,439.999,13200,5,11
444.000,443.999,13320,5,12
448.000,447.999,13440,5,13
452.000,451.999,13560,5,14
456.000,455.999,13680,5,15
460.000,459.999,13800,5,16
464.000,463.999,13920,5,17
468.000,467.999,14040,5,18
472.000,471.999,14160,5,19
476.000,475.999,14280,5,20
480.000,479.999,14400,5,21
