start,end,duration,asset,function,mode,palette,source_in,edit_id
0.0,2.5,2.5,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CORR_HOOK_WAKING_FACE.png,human recognition before movement,motion,NOCTURNAL,0.0,EP05_EDIT_001
2.5,5.34,2.84,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_HOOK_DOOR_OPEN.png,door opens from the waking sightline,motion,NOCTURNAL,0.0,EP05_EDIT_002
5.34,6.94,1.6,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_HOOK_FOOTSTEPS_FLOOR.png,two spatial footsteps,motion,NOCTURNAL,0.0,EP05_EDIT_003
6.94,8.34,1.4,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_HOOK_FAILED_HAND.png,hand fails to answer,motion,NOCTURNAL,0.0,EP05_EDIT_004
8.34,10.68,2.34,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_HOOK_MATTRESS_DEPRESSION.png,mattress visibly sinks,motion,NOCTURNAL,0.0,EP05_EDIT_005
10.68,14.12,3.44,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CORR_HOOK_EMBODIED_PRESSURE.png,embodied chest-pressure peak,motion,NOCTURNAL,0.0,EP05_EDIT_006
14.12,19.9,5.78,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_HUFFORD_OFFICIAL_PHOTO.jpg,authentic Hufford identity before named pattern,reading,ARCHIVE,0.0,EP05_EDIT_007
19.9,25.7,5.8,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CLIPS\REUSED_GERMAN_30FPS\CLIP003_OLD_HAG_THRESHOLD.mp4,Old Hag reveal lands after the name,clip,NOCTURNAL,0.0,EP05_EDIT_008
25.7,29.1,3.4,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_PSG_TESTER.jpg,researchers and measurable monitor,motion,SCIENCE,0.0,EP05_EDIT_009
29.1,33.22,4.12,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\REUSED_GERMAN_SERIES\STILLS\IMG017_SLEEP_LAB_WIDE_RECON.png,the entered-room question crosses into science,motion,SCIENCE,0.0,EP05_EDIT_010
33.22,40.58,7.36,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\EDITED_COMPOSITES\EP05_EDIT_HUFFORD_HOSTILE_INTENTION.png,hostile intention follows the embodied peak without becoming fact,motion,NOCTURNAL,0.0,EP05_EDIT_011
40.58,45.64,5.06,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_RELEASE_ORDINARY_ROOM.png,pressure vanishes and the ordinary room returns,motion,NOCTURNAL,0.0,EP05_EDIT_012
45.64,51.7,6.06,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_HUFFORD_IDENTITY.png,authentic identity opens the structured recollection,reading,ARCHIVE,0.0,EP05_EDIT_013
51.7,57.02,5.32,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\CARDS\EP05_CARD_HUFFORD_SEQUENCE.png,door-steps-body-weight sequence enters his published account,reading,ARCHIVE,0.0,EP05_EDIT_014
57.02,64.519,7.499,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_HUFFORD_BOOK_COVER.jpg,the structured experience becomes a field problem,reading,ARCHIVE,0.0,EP05_EDIT_015
64.519,73.52,9.001,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_FOGO_MAP_1873.jpg,one frightening night opens a geographic and explanatory question,reading,FOGO,0.0,EP05_EDIT_016
73.52,79.46,5.94,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\02_SOURCES\ORIGINALS\EP05_ORIG_FOGO_TILTING_HARBOUR.jpg,real Fogo coast and harbor reset,motion,FOGO,0.0,EP05_EDIT_017
79.46,84.56,5.1,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\REUSED_GERMAN_SERIES\STILLS\SHOT02_FOGO_MAP_TABLE.png,Old Hag phrase enters through place and fieldwork,motion,FOGO,0.0,EP05_EDIT_018
84.56,90.08,5.52,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\REUSED_GERMAN_SERIES\STILLS\IMG061_FOGO_FIELDWORK_INTERVIEW_RECON.png,accounts move person to person,motion,FOGO,0.0,EP05_EDIT_019
90.08,94.18,4.1,C:\Users\iQPrinceps\.codex\worktrees\1552\Youtube Modelle des Geistes\07_ENGLISH_PRODUCTION\EP05_SLEEP_PARALYSIS_01\03_VISUALS\GENERATED_STILLS\EP05_GEN_CORR_FOGO_OLD_HAG.png,hag-like chest pressure becomes visible,motion,NOCTURNAL,0.0,EP05_EDIT_020
