shot_id,section,start_tc,end_tc,duration,voice_beat,asset,kind,rights,treatment,asset_sha256
SP2_001,S1_SALEM_PRIVATE_TO_PUBLIC,00:00:00.000,00:00:04.620,4.62,"In 1692, Richard Coman told a Salem court about a night no …",GENERATED\IMG001_SALEM_BEDROOM_COMAN_RECON.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,05e5502277381958bb696fee42d085cbc755fa5870fffc92b946f4d1ffa6aa07
SP2_002,S1_SALEM_PRIVATE_TO_PUBLIC,00:00:04.620,00:00:09.560,4.94,see. He said the house was locked. A light was burning. His …,GENERATED\IMG002_COMAN_TRIES_TO_WAKE_WIFE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,cd2ad42c798242325862a623eedb2879562729f1f1a4e8a273b303d64ba40cd4
SP2_003,S1_SALEM_PRIVATE_TO_PUBLIC,00:00:09.560,00:00:14.320,4.76,lay beside him. Then Bridget Bishop entered the room. Coman said she …,CARDS\EVIDENCE_COMAN_FULL_CONTEXT.png,DOCUMENT_DERIVATIVE,PD Salem document with English transcription overlay,static evidence/viewer frame,0386a878abf1d3f45a20d5a6bd985a9cd2d9acd7d73ff0da7ad403bab2d70bf1
SP2_004,S1_SALEM_PRIVATE_TO_PUBLIC,00:00:14.320,00:00:19.560,5.24,across his chest and pressed him down so completely that he could …,CARDS\EVIDENCE_COMAN_PRESSURE.png,DOCUMENT_DERIVATIVE,PD Salem document with English transcription overlay,static evidence/viewer frame,f42443808324be2fa1eb7503163a880bc58e2d38a4a6dd014d75f21265789452
SP2_005,S1_SALEM_PRIVATE_TO_PUBLIC,00:00:19.560,00:00:23.820,4.26,"even enough to wake his wife. Years after the night itself, he …",CARDS\EVIDENCE_COMAN_SPEAK_STIR.png,DOCUMENT_DERIVATIVE,PD Salem document with English transcription overlay,static evidence/viewer frame,5d0ddb62a43c9ad29d99d8b53d6a4a385e02c420766d05c3632de408c5f0bb21
SP2_006,S1_SALEM_PRIVATE_TO_PUBLIC,00:00:23.820,00:00:28.580,4.76,"that memory under oath. Eight days after his testimony, Bridget Bishop was",GENERATED\IMG003_PRIVATE_NIGHT_TO_COURT.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,54be1b30e8ab1b727519924f75507106db06f8c47eda148bc0b22b301b1b4d73
SP2_007,S1_SALEM_PRIVATE_TO_PUBLIC,00:00:28.580,00:00:33.320,4.74,hanged. Coman's statement did not create the case against her. It entered …,ORIGINAL\SRC_EP07_Bridget_Bishop_execution_archive_scan_full_scan.png,ORIGINAL_SOURCE,public domain project source,static evidence/viewer frame,2c61d244a5edaf0185482b2c214c4120fc46ce0e235515762919786c08ebec70
SP2_008,S1_SALEM_PRIVATE_TO_PUBLIC,00:00:33.320,00:00:38.220,4.9,much larger prosecution already crowded with accusations. But it shows something,GENERATED\IMG004_BRIDGET_BISHOP_COURT_CONTEXT_RECON.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,152b2679c3207b4a975367eaa0b201dcf51efab415cdf11254f247a04ad4fc30
SP2_009,S1_SALEM_PRIVATE_TO_PUBLIC,00:00:38.220,00:00:42.900,4.68,"extraordinary: a private experience had crossed into a courtroom, attached",ORIGINAL\SRC_EP07_Salem_Village_1692_map_Upham_1866_full_map.png,ORIGINAL_SOURCE,public domain project source,static evidence/viewer frame,70190c28d54d542fd97907c96b5580dfeae8e03fe3fb3f04ddd7d75c5c73ead3
SP2_010,S1_SALEM_PRIVATE_TO_PUBLIC,00:00:42.900,00:00:47.880,4.98,"itself to a living woman, and become part of public reality. The …",ORIGINAL\SRC_EP07_Proctors_Ledge_Memorial_full_context.png,ORIGINAL_SOURCE,CC BY-SA 4.0; attribution in register,static evidence/viewer frame,d083ecb43fd72ff68e06db0b6de10aa490f522775e4fb97c37f1c236d11a17a5
