asset_id,title,source_page,download_url,creator_institution,date,license,license_url,use_basis,retrieved,local_path,sha256,width,height,voice_beat,picture_function,claim_limit,status
EP05_ORIG_FOGO_VILLAGE,File:Carlb-fogo-newfoundland-fishery-2002.jpg,https://commons.wikimedia.org/wiki/File:Carlb-fogo-newfoundland-fishery-2002.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ea/Carlb-fogo-newfoundland-fishery-2002.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,2005-06-03 03:08:28,Public domain,,Licensed Commons original; attribution and share-alike terms retained where applicable,2026-08-27,07_ENGLISH_PRODUCTION/EP05_SLEEP_PARALYSIS_01/02_SOURCES/ORIGINALS/EP05_ORIG_FOGO_VILLAGE.jpg,6781121198daa5a564f4aab391741f905ba3324edcb43fcfe53149c2c2bf98cc,640,421,Hufford worked with local accounts and archives in Newfoundland.,Fogo / Old Hag place anchor,"Use only as identified by title/date; never relabel as Hufford, Cheyne, Takeuchi, or a specific 1992 laboratory unless the source says so.",ACQUIRED_REVIEW
EP05_ORIG_FOGO_MAP_1873,"File:Admiralty Chart No 293 Fogo Island to Cape Bonavista, Puublished 1873.jpg","https://commons.wikimedia.org/wiki/File:Admiralty_Chart_No_293_Fogo_Island_to_Cape_Bonavista,_Puublished_1873.jpg",https://upload.wikimedia.org/wikipedia/commons/3/30/Admiralty_Chart_No_293_Fogo_Island_to_Cape_Bonavista%2C_Puublished_1873.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"<bdi><a href=""https://en.wikipedia.org/wiki/en:United_Kingdom_Hydrographic_Office"" class=""extiw"" title=""w:en:United Kingdom Hydrographic Office""><span title=""UK government agency concerned with providing hydrographic and marine geospatial data"">United Kingdom Hydrographic Office</span></a></bdi>",1873-03-31,Public domain,,Licensed Commons original; attribution and share-alike terms retained where applicable,2026-08-27,07_ENGLISH_PRODUCTION/EP05_SLEEP_PARALYSIS_01/02_SOURCES/ORIGINALS/EP05_ORIG_FOGO_MAP_1873.jpg,ad3da5b0e3c41bae7ad1e9550846741a3c26bc0fd8f357878780dcc05a030cf5,9697,14974,"On Fogo Island, he encountered an expression...",Historical geographic anchor,"Use only as identified by title/date; never relabel as Hufford, Cheyne, Takeuchi, or a specific 1992 laboratory unless the source says so.",ACQUIRED_REVIEW
EP05_ORIG_NHLBI_SLEEP_STUDY,File:Sleep studies.jpg,https://commons.wikimedia.org/wiki/File:Sleep_studies.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Sleep_studies.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,National Heart Lung and Blood Institute (NIH),2013-11-12 22:58:38,Public domain,,Licensed Commons original; attribution and share-alike terms retained where applicable,2026-08-27,07_ENGLISH_PRODUCTION/EP05_SLEEP_PARALYSIS_01/02_SOURCES/ORIGINALS/EP05_ORIG_NHLBI_SLEEP_STUDY.jpg,d42439287d97350e4210d070d65db9ba9da36cf6c502b54959d03d8ec67f59d4,475,592,Researchers can make the paralysis more likely and see its traces on a monitor.,Polysomnography context,"Use only as identified by title/date; never relabel as Hufford, Cheyne, Takeuchi, or a specific 1992 laboratory unless the source says so.",ACQUIRED_REVIEW
EP05_ORIG_REM_PSG,File:Sleep EEG REM.png,https://commons.wikimedia.org/wiki/File:Sleep_EEG_REM.png,https://upload.wikimedia.org/wikipedia/commons/5/5e/Sleep_EEG_REM.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"<a href=""https://en.wikipedia.org/wiki/User:MrSandman"" class=""extiw"" title=""wikipedia:User:MrSandman"">MrSandman</a> at <a href=""https://en.wikipedia.org/wiki/"" class=""extiw"" title=""wikipedia:"">English Wikipedia</a>",19 September 2005 (original upload date),Public domain,,Licensed Commons original; attribution and share-alike terms retained where applicable,2026-08-27,07_ENGLISH_PRODUCTION/EP05_SLEEP_PARALYSIS_01/02_SOURCES/ORIGINALS/EP05_ORIG_REM_PSG.png,fb0195de6ae1f85a5acf9c30fe14e6db6e8a3e2aaedeeb40876352f282a50cbf,821,601,Every night during REM sleep...,Real REM polysomnography trace,"Use only as identified by title/date; never relabel as Hufford, Cheyne, Takeuchi, or a specific 1992 laboratory unless the source says so.",ACQUIRED_REVIEW
EP05_ORIG_PSG_CONNECTIONS,File:Polysomnography connections.jpg,https://commons.wikimedia.org/wiki/File:Polysomnography_connections.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Polysomnography_connections.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"<a href=""//commons.wikimedia.org/wiki/User:Z22"" title=""User:Z22"">Z22</a>",2014-08-02 22:41:03,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Licensed Commons original; attribution and share-alike terms retained where applicable,2026-08-27,07_ENGLISH_PRODUCTION/EP05_SLEEP_PARALYSIS_01/02_SOURCES/ORIGINALS/EP05_ORIG_PSG_CONNECTIONS.jpg,90d8bbd0944b56976bd1744e41b9e0bd95b771c6d8d01119c0b3a1959a7f64c0,756,882,researchers monitored brain activity and muscle tone,Real sleep-study sensors,"Use only as identified by title/date; never relabel as Hufford, Cheyne, Takeuchi, or a specific 1992 laboratory unless the source says so.",ACQUIRED_REVIEW
EP05_ORIG_FUSELI_NIGHTMARE,File:John Henry Fuseli - The NightmareFXD.jpg,https://commons.wikimedia.org/wiki/File:John_Henry_Fuseli_-_The_NightmareFXD.jpg,https://upload.wikimedia.org/wikipedia/commons/f/ff/John_Henry_Fuseli_-_The_NightmareFXD.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Henry_Fuseli"" class=""extiw"" title=""w:en:Henry Fuseli""><span title=""Swiss born British painter, draughtsman and writer on art (1741–1825)"">Henry Fuseli</span></a></bdi>","1781<div style=""display: none;"">date QS:P571,+1781-00-00T00:00:00Z/9</div>",Public domain,,Licensed Commons original; attribution and share-alike terms retained where applicable,2026-08-27,07_ENGLISH_PRODUCTION/EP05_SLEEP_PARALYSIS_01/02_SOURCES/ORIGINALS/EP05_ORIG_FUSELI_NIGHTMARE.jpg,57dcdf9c6299b71fddec5dddc33b92a2b271a53c382a75563cbdf155b6b3c127,3013,2442,The physiology opens the door. Culture gives the darkness a face.,Historically relevant night-pressure iconography,"Use only as identified by title/date; never relabel as Hufford, Cheyne, Takeuchi, or a specific 1992 laboratory unless the source says so.",ACQUIRED_REVIEW
EP05_ORIG_BRIDGET_BISHOP_LITHO,File:Bridget Bishop.jpg,https://commons.wikimedia.org/wiki/File:Bridget_Bishop.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c2/Bridget_Bishop.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Unknown author<span style=""display: none;"">Unknown author</span>","between 1632 and 1692<div style=""display: none;"">date QS:P,+1650-00-00T00:00:00Z/7,P1319,+1632-00-00T00:00:00Z/9,P1326,+1692-00-00T00:00:00Z/9</div>",Public domain,,Licensed Commons original; attribution and share-alike terms retained where applicable,2026-08-27,07_ENGLISH_PRODUCTION/EP05_SLEEP_PARALYSIS_01/02_SOURCES/ORIGINALS/EP05_ORIG_BRIDGET_BISHOP_LITHO.jpg,c298afa2f3b3930aba7ed96505d53ae426871c868132d8b46bbdcac86d412ba7,300,394,Her name was Bridget Bishop.,"Later historical depiction, never a contemporary portrait","Use only as identified by title/date; never relabel as Hufford, Cheyne, Takeuchi, or a specific 1992 laboratory unless the source says so.",ACQUIRED_REVIEW
EP05_ORIG_BISHOP_EXECUTION_RECORD,"File:Bridget Bishop Executed, June 10, 1692.png","https://commons.wikimedia.org/wiki/File:Bridget_Bishop_Executed,_June_10,_1692.png",https://upload.wikimedia.org/wikipedia/commons/7/70/Bridget_Bishop_Executed%2C_June_10%2C_1692.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Unknown author<span style=""display: none;"">Unknown author</span>",1692-06-10,Public domain,,Licensed Commons original; attribution and share-alike terms retained where applicable,2026-08-27,07_ENGLISH_PRODUCTION/EP05_SLEEP_PARALYSIS_01/02_SOURCES/ORIGINALS/EP05_ORIG_BISHOP_EXECUTION_RECORD.png,1165ff504cc43852141e2c29080e508e07cb803549faa8cf7a23293901aaa213,792,1098,"In June, she was tried, convicted, and hanged for witchcraft.",Public-domain Salem record,"Use only as identified by title/date; never relabel as Hufford, Cheyne, Takeuchi, or a specific 1992 laboratory unless the source says so.",ACQUIRED_REVIEW
EP05_ORIG_SALEM_COURTROOM_1876,File:Witchcraft at Salem Village.jpg,https://commons.wikimedia.org/wiki/File:Witchcraft_at_Salem_Village.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/Witchcraft_at_Salem_Village.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,unattributed,1876,Public domain,,Licensed Commons original; attribution and share-alike terms retained where applicable,2026-08-27,07_ENGLISH_PRODUCTION/EP05_SLEEP_PARALYSIS_01/02_SOURCES/ORIGINALS/EP05_ORIG_SALEM_COURTROOM_1876.jpg,e6bd9565809719bc322eee8e9a1e225e08cde51cef0ef416d6e2330586e32553,2356,1637,from the bedroom into the courtroom,Later Salem courtroom engraving,"Use only as identified by title/date; never relabel as Hufford, Cheyne, Takeuchi, or a specific 1992 laboratory unless the source says so.",ACQUIRED_REVIEW
EP05_ORIG_FOGO_TILTING_HARBOUR,File:Tilting from Tilting Harbour (33936280235).jpg,https://commons.wikimedia.org/wiki/File:Tilting_from_Tilting_Harbour_(33936280235).jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Tilting_from_Tilting_Harbour_%2833936280235%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/39136124@N00"">Paul Asman and Jill Lenoble</a>",2017-03-16 15:34,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Licensed Commons original; attribution and share-alike terms retained where applicable,2026-08-27,07_ENGLISH_PRODUCTION/EP05_SLEEP_PARALYSIS_01/02_SOURCES/ORIGINALS/EP05_ORIG_FOGO_TILTING_HARBOUR.jpg,509392f7a31a359d9f71453ebfcffb6fbc2fdd196d2f1f428862505c52955179,6000,4000,"On Fogo Island, he encountered an expression that sounded local and ancient.",Contemporary Tilting harbour / Fogo place texture,"Use only as identified by title/date; never relabel as Hufford, Cheyne, Takeuchi, or a specific 1992 laboratory unless the source says so.",ACQUIRED_REVIEW
