asset_id,category,title,source_page,verification_status,availability,rights_status,use,claim_limit
EP11_V_BLAVATSKY,portrait,Helena P. Blavatsky Rijksmuseum portrait,"https://commons.wikimedia.org/wiki/File:Portret_van_Helena_Blavatsky,_RP-F-2001-7-67-105.jpg",VERIFIED_EXACT,LIVE,CC0 1.0,Opening identity anchor and synthesis return,Identity only
EP11_V_SPENCER,portrait,Walter Baldwin Spencer portrait,https://commons.wikimedia.org/wiki/File:Walter_Baldwin_Spencer.jpg,VERIFIED_EXACT,LIVE,Public domain per Commons,Comparative-anatomy researcher identity,Portrait is not scientific evidence itself
EP11_V_LEYDIG,portrait,Franz von Leydig portrait,https://commons.wikimedia.org/wiki/File:Franz_Leydig.jpg,VERIFIED_EXACT,LIVE,Public domain / PDM,Early histology genealogy,Identity only
EP11_V_LEADBEATER,portrait,C. W. Leadbeater portrait,https://commons.wikimedia.org/wiki/File:Charles_Webster_Leadbeater.003.jpg,VERIFIED_EXACT,LIVE,Public domain per Commons; preserve rights capture,1927 mapping identity,Identity only
EP11_V_HATTERIA,scientific_plate,Pineal eye in Hatteria/Sphenodon,https://commons.wikimedia.org/wiki/File:PSM_V33_D805_Pineal_eye_in_hatteria.jpg,VERIFIED_EXACT,LIVE,Public domain,Best historical eye-like histology plate,Species-specific anatomy only
EP11_V_VARANUS,scientific_plate,Pineal eye in Varanus giganteus,https://commons.wikimedia.org/wiki/File:PSM_V33_D806_Pineal_eye_in_varanus_giganteus.jpg,VERIFIED_EXACT,LIVE,Historical public-domain source,Alternate comparative-anatomy plate,Species-specific anatomy only
EP11_V_IGUANA,scientific_plate,Parietal eye of Iguana 1894,https://commons.wikimedia.org/wiki/File:Klinckowstroem_(1894)_parietal_eye_of_Iguana.png,VERIFIED_EXACT,LIVE,Public domain / PDM,Close morphological plate,No lost-human-eye inference
EP11_V_ANOLIS,scientific_photo,Visible parietal eye in Anolis carolinensis,https://commons.wikimedia.org/wiki/File:Anolis_carolinensis_parietal_eye.JPG,VERIFIED_EXACT,LIVE,CC BY-SA 3.0,Modern real-animal reality check,Species-specific identification only
EP11_V_TILNEY_WARREN,scientific_document,Morphology and Evolutional Significance of the Pineal Body 1919,https://commons.wikimedia.org/wiki/File:Morphology_and_Evolutional_Significance_of_the_Pineal_Body.pdf,VERIFIED_EXACT,LIVE,Public domain US / Commons-hosted old work,Deep historical scientific plate pool,Historical source not modern consensus alone
EP11_V_AJNA_WOODROFFE,esoteric_primary,Traditional Hindu Diagram of Brow Chakra,https://commons.wikimedia.org/wiki/File:Traditional_Hindu_Diagram_of_Brow_Chakra.jpg,VERIFIED_EXACT,LIVE,Public domain,Ajna close-up separated from endocrine anatomy,Do not relabel as pineal gland
