cue_id,act,take_id,voice_anchor,visual_class,visual_asset,base_asset_or_build,asset_status,target_seconds,movement_rule,sfx_cue,edit_note
V001,S1,EP08_TAKE_001,zwölften April zweitausendeins,O,SRC001_ART_BELL_PORTRAIT_FULL.png,EP08_Art_Bell_portrait_2000.webp,READY_DERIVED_ORIGINAL,2.5,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,freies Porträt; Datum als redaktionelle Unterzeile
V002,S1,EP08_TAKE_001,Radiomoderator Art Bell,O,SRC002_ART_BELL_PORTRAIT_DETAIL.png,EP08_Art_Bell_portrait_2000.webp,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,"zweiter semantischer Ausschnitt, nicht digital hineinzoomen"
V003,S1,EP08_TAKE_001,nachts vor seinem Mikrofon,O,SRC003_RADIO_STUDIO_1996_FULL.png,EP08_1996_radio_studio_context.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,Kontextbild; ausdrücklich nicht Bells konkretes Studio behaupten
V004,S1,EP08_TAKE_001,seine Sendung,O,SRC004_RADIO_CONSOLE_DETAIL.png,EP08_radio_console_microphone.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,
V005,S1,EP08_TAKE_001,"UFOs, Geister, Erfahrungen",M,EDIT001_LATE_NIGHT_SIGNAL_COLLAGE,SRC003+SRC004+EP08_shortwave_radio_receiver.jpg,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_SHORTWAVE_STATIC,"drei harte Quellen-Cuts, kein schwebender Ken Burns"
V006,S1,EP08_TAKE_001,richtigen Worte fehlen,R,IMG001_ART_BELL_RADIO_RECON.png,IMG001_ART_BELL_RADIO_RECON.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,EP08_SFX_RADIO_ROOM,erste Rekonstruktion als solche beschriften
V007,S1,EP08_TAKE_002,schwarze menschliche Gestalten,O,SRC005_SM7_MICROPHONE_FULL.png,EP08_Shure_SM7_Microphone.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,
V008,S1,EP08_TAKE_002,keine klaren Gesichter,O,SRC006_VINTAGE_MICROPHONE_FULL.png,EP08_Shure_55S_vintage_mic.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_RADIO_ROOM,YELLOW-Lizenz vor Export prüfen
V009,S1,EP08_TAKE_002,manche stehen in einer Tür,R,IMG003_SHADOW_DOORWAY_GENERIC.png,IMG003_SHADOW_DOORWAY_GENERIC.png,READY,4.7,STATIC_HOLD 0-1%; no pan or drift,EP08_SFX_SHADOW_ROOMTONE,
V010,S1,EP08_TAKE_003,die Reaktion ist gewaltig,M,CLIP001_RADIO_NETWORK_ENTITY.mp4,CLIP001_RADIO_NETWORK_ENTITY.mp4,READY,6.0,"NATIVE_TRANSFORMATION; no added zoom, crop or speed change",EP08_SFX_SHORTWAVE_STATIC,Transformation exakt auf Reaktionssatz starten
V011,S1,EP08_TAKE_003,mehr als viertausendfünfhundert E-Mails,O,SRC007_FAX_MACHINE_FULL.png,EP08_fax_machine.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_FAX_PAPER,
V012,S1,EP08_TAKE_003,im Archiv der Sendung,O,SRC008_SHORTWAVE_RECEIVER_FULL.png,EP08_shortwave_radio_receiver.jpg,READY_DERIVED_ORIGINAL,3.4,STATIC_CONTAIN; no pan/zoom; source label readable,EP08_SFX_SHORTWAVE_STATIC,
V013,S1,EP08_TAKE_003,viertausendfünfhundert,M,CARDS/CARD001_4500_NACHRICHTEN.png,CARDS/CARD001_4500_NACHRICHTEN.png,READY,5.0,STATIC_HOLD; absolutely no camera movement,EP08_SFX_FAX_PAPER,sechs Sekunden komplett statisch und lesbar
V014,S1,EP08_TAKE_003,eine neue Infrastruktur,R,IMG002_4500_MESSAGES_MATERIAL.png,IMG002_4500_MESSAGES_MATERIAL.png,READY,4.7,MICRO_PUSH 1.015-1.025; no pan or lateral travel,EP08_SFX_FAX_PAPER,
V015,S1,EP08_TAKE_003,"eine Reichweite, die es vorher nie hatte",M,EDIT002_MESSAGE_COUNTER_MATERIAL,CARD001+IMG002,EDITORIAL_BUILD,3.5,"EDITORIAL_LAYER_MOTION only; opacity/focus/reveal, camera locked",EP08_SFX_FORUM_UI,"Zählung über Materialwechsel, keine Kamerafahrt"
