shot_id,section,start_tc,end_tc,duration,voice_beat,asset,kind,rights,treatment,asset_sha256
SP2_001,S1_SALEM_HOOK,00:00:00.000,00:00:04.660,4.66,"In 1692, Richard Coman told a Salem court about a night no …",GENERATED\IMG001_SALEM_BEDROOM_COMAN_RECON.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,05e5502277381958bb696fee42d085cbc755fa5870fffc92b946f4d1ffa6aa07
SP2_002,S1_SALEM_HOOK,00:00:04.660,00:00:09.600,4.94,see. The room was locked. A light was burning. His wife,GENERATED\IMG002_COMAN_TRIES_TO_WAKE_WIFE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,cd2ad42c798242325862a623eedb2879562729f1f1a4e8a273b303d64ba40cd4
SP2_003,S1_SALEM_HOOK,00:00:09.600,00:00:14.260,4.66,"lay beside him. Then, he said, Bridget Bishop entered. She lay across …",CARDS\EVIDENCE_COMAN_FULL_CONTEXT.png,DOCUMENT_DERIVATIVE,PD Salem document with English transcription overlay,static evidence/viewer frame,0386a878abf1d3f45a20d5a6bd985a9cd2d9acd7d73ff0da7ad403bab2d70bf1
SP2_004,S1_SALEM_HOOK,00:00:14.260,00:00:19.120,4.86,chest and pressed him down. He could not speak. He could not …,CARDS\EVIDENCE_COMAN_PRESSURE.png,DOCUMENT_DERIVATIVE,PD Salem document with English transcription overlay,static evidence/viewer frame,f42443808324be2fa1eb7503163a880bc58e2d38a4a6dd014d75f21265789452
SP2_005,S1_SALEM_HOOK,00:00:19.120,00:00:23.900,4.78,"to wake his wife. Eight days after Coman gave that testimony, Bishop",CARDS\EVIDENCE_COMAN_SPEAK_STIR.png,DOCUMENT_DERIVATIVE,PD Salem document with English transcription overlay,static evidence/viewer frame,5d0ddb62a43c9ad29d99d8b53d6a4a385e02c420766d05c3632de408c5f0bb21
SP2_006,S1_SALEM_HOOK,00:00:23.900,00:00:28.560,4.66,was hanged. His statement did not create the case against her. It …,ORIGINAL\SRC_EP07_Bridget_Bishop_execution_archive_scan_full_scan.png,ORIGINAL_SOURCE,public domain project source,static evidence/viewer frame,2c61d244a5edaf0185482b2c214c4120fc46ce0e235515762919786c08ebec70
SP2_007,S1_SALEM_HOOK,00:00:28.560,00:00:33.470,4.91,larger prosecution. We cannot diagnose his night across three centuries.,GENERATED\IMG004_BRIDGET_BISHOP_COURT_CONTEXT_RECON.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,152b2679c3207b4a975367eaa0b201dcf51efab415cdf11254f247a04ad4fc30
SP2_008,S1_SALEM_HOOK,00:00:33.470,00:00:37.900,4.43,The record reveals what Salem did with it: a private experience entered …,GENERATED\IMG003_PRIVATE_NIGHT_TO_COURT.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,54be1b30e8ab1b727519924f75507106db06f8c47eda148bc0b22b301b1b4d73
SP2_009,S1_SALEM_HOOK,00:00:37.900,00:00:42.960,5.06,courtroom and attached itself to a living woman. How does a private …,ORIGINAL\SRC_EP07_Salem_Village_1692_map_Upham_1866_full_map.png,ORIGINAL_SOURCE,public domain project source,static evidence/viewer frame,70190c28d54d542fd97907c96b5580dfeae8e03fe3fb3f04ddd7d75c5c73ead3
SP2_010,S1_SALEM_HOOK,00:00:42.960,00:00:47.720,4.76,public truth? And can the story around it change the next night?,ORIGINAL\SRC_EP07_Proctors_Ledge_Memorial_full_context.png,ORIGINAL_SOURCE,CC BY-SA 4.0; attribution in register,static evidence/viewer frame,d083ecb43fd72ff68e06db0b6de10aa490f522775e4fb97c37f1c236d11a17a5
SP2_011,S2_BODY_PATTERN,00:00:47.720,00:00:52.780,5.06,"Coman's pattern is stark: a familiar room, waking awareness, a body",GENERATED\IMG033_AWAKE_BRAIN_BODY_LOCK.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,46eebb1f4b56e78483eb4ec1ee5a98307e7f229e692cfd4f84f6611b96745a38
SP2_012,S2_BODY_PATTERN,00:00:52.780,00:00:57.080,4.3,"that will not answer, pressure on the chest, and a presence that …",GENERATED\IMG006_SAME_MECHANIC_DIFFERENT_ROOMS.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,shared 8K supersampled eased motion,31b0fc085e1a1aa5ec5733bb8801eb0bfb7df1649de866f9a9381cfef0559e46
