shot_id,asset,kind,rights,asset_sha256,voice_beat,start_tc,end_tc
SP2_001,GENERATED\IMG001_SALEM_BEDROOM_COMAN_RECON.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,05e5502277381958bb696fee42d085cbc755fa5870fffc92b946f4d1ffa6aa07,"In 1692, Richard Coman told a Salem court about a night no …",00:00:00.000,00:00:04.620
SP2_002,GENERATED\IMG002_COMAN_TRIES_TO_WAKE_WIFE.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,cd2ad42c798242325862a623eedb2879562729f1f1a4e8a273b303d64ba40cd4,see. He said the house was locked. A light was burning. His …,00:00:04.620,00:00:09.560
SP2_003,CARDS\EVIDENCE_COMAN_FULL_CONTEXT.png,DOCUMENT_DERIVATIVE,PD Salem document with English transcription overlay,0386a878abf1d3f45a20d5a6bd985a9cd2d9acd7d73ff0da7ad403bab2d70bf1,lay beside him. Then Bridget Bishop entered the room. Coman said she …,00:00:09.560,00:00:14.320
SP2_004,CARDS\EVIDENCE_COMAN_PRESSURE.png,DOCUMENT_DERIVATIVE,PD Salem document with English transcription overlay,f42443808324be2fa1eb7503163a880bc58e2d38a4a6dd014d75f21265789452,across his chest and pressed him down so completely that he could …,00:00:14.320,00:00:19.560
SP2_005,CARDS\EVIDENCE_COMAN_SPEAK_STIR.png,DOCUMENT_DERIVATIVE,PD Salem document with English transcription overlay,5d0ddb62a43c9ad29d99d8b53d6a4a385e02c420766d05c3632de408c5f0bb21,"even enough to wake his wife. Years after the night itself, he …",00:00:19.560,00:00:23.820
SP2_006,GENERATED\IMG003_PRIVATE_NIGHT_TO_COURT.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,54be1b30e8ab1b727519924f75507106db06f8c47eda148bc0b22b301b1b4d73,"that memory under oath. Eight days after his testimony, Bridget Bishop was",00:00:23.820,00:00:28.580
SP2_007,ORIGINAL\SRC_EP07_Bridget_Bishop_execution_archive_scan_full_scan.png,ORIGINAL_SOURCE,public domain project source,2c61d244a5edaf0185482b2c214c4120fc46ce0e235515762919786c08ebec70,hanged. Coman's statement did not create the case against her. It entered …,00:00:28.580,00:00:33.320
SP2_008,GENERATED\IMG004_BRIDGET_BISHOP_COURT_CONTEXT_RECON.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,152b2679c3207b4a975367eaa0b201dcf51efab415cdf11254f247a04ad4fc30,much larger prosecution already crowded with accusations. But it shows something,00:00:33.320,00:00:38.220
SP2_009,ORIGINAL\SRC_EP07_Salem_Village_1692_map_Upham_1866_full_map.png,ORIGINAL_SOURCE,public domain project source,70190c28d54d542fd97907c96b5580dfeae8e03fe3fb3f04ddd7d75c5c73ead3,"extraordinary: a private experience had crossed into a courtroom, attached",00:00:38.220,00:00:42.900
SP2_010,ORIGINAL\SRC_EP07_Proctors_Ledge_Memorial_full_context.png,ORIGINAL_SOURCE,CC BY-SA 4.0; attribution in register,d083ecb43fd72ff68e06db0b6de10aa490f522775e4fb97c37f1c236d11a17a5,"itself to a living woman, and become part of public reality. The …",00:00:42.900,00:00:47.880
SP2_011,GENERATED\IMG050_PRIVATE_TO_PUBLIC_NETWORK.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,20c72aad8b7328c412484a66d665c481de145a37943fd24665b52781d9665e54,tell us what state produced Coman's night. It tells us what Salem …,00:00:47.880,00:00:52.400
SP2_012,CLIPS\CLIP003_SALEM_PUBLIC_TRANSFORMATION.mp4,GENERATED_CLIP,internally generated for German EP07; approved main version,17790e4ffe69784524811893802105c3410f868d9309c91c198d46009fa70f85,it. So how does an experience no one else can witness become …,00:00:52.400,00:00:57.300
SP2_013,GENERATED\SHOT03_CASSETTE_NOTEBOOK_MACRO.png,GENERATED_STILL,internally generated for German EP07; no authentic-portrait claim,23e6ce00a1944c3fe22bf7e11ece6bb0e06b02093811aaffd5aad57e17aa8539,can the explanation a culture gives that experience change the next night?,00:00:57.300,00:01:02.140
