asset_id,relative_path,bytes,sha256,status,provider_or_source,rights_status,visible_mode_badge,series_usage
GW-EN-0001,.gitignore,183,3099ff7a7d8624c13ad566d5c95b1f2d0de17b9bb8942f23f7b329928baa7a90,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0002,01_SCRIPT/EDITORIAL_MAP.md,1561,53878f55c7346be7daa568502e0f4df8f084a0915ef4558d603583bd6c64272a,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0003,01_SCRIPT/SCRIPT_CHANGELOG.md,2332,3bd9bcf2613439dabcda79cd558e95e89398dca55fbbc50511e9b2d9d3c149da,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0004,01_SCRIPT/VOICE_SCRIPT_EN.txt,7846,cecff6ce720fe4d04625fdb7a2f15ea12d2859aafc466b9c385037577af0710a,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0005,02_SOURCES/ARCHIVE/BENTOV/BENTOV_PORTRAIT_FAIR_USE.jpg,9993,2ab5ca39bf4e0821f25ca8de4883f93cae9727218e476e49b159770bf6a63df1,source_reference,Wikipedia / Bentov family,copyrighted; fair-use review required,NO,EP02_ONLY
GW-EN-0006,02_SOURCES/ARCHIVE/FLIGHT191/AA191_CRASH_SITE_NTSB_PD.png,207909,6e42b1837dffb3ed794e7d37dc75b516e31f2fefb5febd7a89e9188b8854a025,timeline_selected,FAA/NTSB via Wikimedia Commons,U.S. government public domain,NO,EP02_ONLY
GW-EN-0007,02_SOURCES/ARCHIVE/FLIGHT191/AA191_ENGINE_NTSB_PD.jpg,141613,341bfa498551f92e4b248044bc05884277fd9d5ea16ec5e31fbb82ec577c1f61,source_reference,FAA/NTSB via Wikimedia Commons,U.S. government public domain,NO,EP02_ONLY
GW-EN-0008,02_SOURCES/ARCHIVE/FLIGHT191/AA191_RESPONDERS_NTSB_PD.png,70535,9d2e8ebc505ba9717e975769bd771276ec5c55cb19d4c08cbe364638a88bc821,source_reference,FAA/NTSB via Wikimedia Commons,U.S. government public domain,NO,EP02_ONLY
GW-EN-0009,02_SOURCES/ARCHIVE/FLIGHT191/AA191_WRECKAGE_NTSB_PD.jpg,344865,87439fe39ec73cd2fc9af768902c5e6a24b0b7abd6b5dcaf819851a335ea22cb,source_reference,FAA/NTSB via Wikimedia Commons,U.S. government public domain,NO,EP02_ONLY
GW-EN-0010,02_SOURCES/ARCHIVE/FORT_MEADE/FORT_MEADE_CURRENT_CC_BY_SA_2.jpg,2671334,a0f858ce160a5c716a3ae5117f18a58994d643afce853cf96aa3360146d9606a,timeline_selected,Ken Lund via Wikimedia Commons,CC BY-SA 2.0,NO,EP02_ONLY
GW-EN-0011,02_SOURCES/ARCHIVE/MONROE/MONROE_14_BOB_IN_LAB.jpg,241832,5c9aea9f6b040f4bc54c090624014da020cd9a5b2f59fbac741b243376d720fe,source_reference,Internet Archive / Monroe Institute,CC BY-NC-ND 4.0; permission review for monetized use,NO,EP02_ONLY
GW-EN-0012,02_SOURCES/ARCHIVE/MONROE/MONROE_15_BOB_IN_LAB.jpg,1324191,2981561b17f7d15c26f224c645e1cc4d4684a70914eff23edaaff36029baa3ed,source_reference,Internet Archive / Monroe Institute,CC BY-NC-ND 4.0; permission review for monetized use,NO,EP02_ONLY
GW-EN-0013,02_SOURCES/ARCHIVE/MONROE/MONROE_16_BOB_IN_LAB.jpg,70600,26c3aec4c962b70a2b4e7fd46a32fea021e3c0e5c1e506079042e0544c848184,source_reference,Internet Archive / Monroe Institute,CC BY-NC-ND 4.0; permission review for monetized use,NO,EP02_ONLY
GW-EN-0014,02_SOURCES/ARCHIVE/MONROE/MONROE_18_BOB_IN_LAB.jpg,64970,0fc9b14eb1c02475a98058faaaf83f5bba0d68b78d2265fabbee39a4cade84c9,source_reference,Internet Archive / Monroe Institute,CC BY-NC-ND 4.0; permission review for monetized use,NO,EP02_ONLY
GW-EN-0015,02_SOURCES/ARCHIVE/MONROE/MONROE_20_BOB_IN_LAB.jpg,43064,711066250a867d0d51c0b798cb1f321e2de35cc8fffc8111dd2f784c6dac2a5f,source_reference,Internet Archive / Monroe Institute,CC BY-NC-ND 4.0; permission review for monetized use,NO,EP02_ONLY
GW-EN-0016,02_SOURCES/ARCHIVE/MONROE/MONROE_29_PORTRAIT.jpg,21787,220b652296d01a0fd9226940090ac02f6257d00c211ae9ffc086270a8fed1cc4,source_reference,Internet Archive / Monroe Institute,CC BY-NC-ND 4.0; permission review for monetized use,NO,EP02_ONLY
GW-EN-0017,02_SOURCES/ARCHIVE/MONROE/MONROE_30_REMOTE_CONTROL.jpg,64390,7afc1af948041b344bca7652e2351460b9689ef26fe92590c361c47db042e5f9,source_reference,Internet Archive / Monroe Institute,CC BY-NC-ND 4.0; permission review for monetized use,NO,EP02_ONLY
GW-EN-0018,02_SOURCES/GEODATA/TIGERWEB_CONTIGUOUS_STATES.geojson,14171728,de479e7b63d72175c8879c1e740c18fbbce114ca068be7902db43d4e6a0c0d72,source_reference,U.S. Census Bureau TIGERweb,U.S. government public domain,NO,EP02_ONLY
GW-EN-0019,02_SOURCES/GEODATA/TIGERWEB_CONTIGUOUS_STATES.source.json,487,efe13b77a7e83ec76fdd1cd88038561ec19556fcc7da7efdaf1a538580e5faa9,source_reference,U.S. Census Bureau TIGERweb,U.S. government public domain,NO,EP02_ONLY
GW-EN-0020,02_SOURCES/GEODATA/TIGERWEB_MARYLAND.geojson,490123,47ff7721a28b1d3c038030050838726931227af36ae94fb0f99807c0c9e403d8,source_reference,U.S. Census Bureau TIGERweb,U.S. government public domain,NO,EP02_ONLY
GW-EN-0021,02_SOURCES/GEODATA/TIGERWEB_MARYLAND.source.json,411,fd75e64fe9847ac8f2b65c73b70f2460062fa3b4b48dcd29f19bd411ff164914,source_reference,U.S. Census Bureau TIGERweb,U.S. government public domain,NO,EP02_ONLY
GW-EN-0022,02_SOURCES/ORIGINAL_DOCUMENTS/CIA-RDP96-00788R001700210016-5_BLACKVAULT_MIRROR.pdf,3160520,53d80d9486403d98c95baed6400e2e2aabeceb2100dfd7b2605ba1ec7cc9620b,source_reference,source acquisition,U.S. government/public record; mirror exceptions in source list,NO,EP02_ONLY
GW-EN-0023,02_SOURCES/ORIGINAL_DOCUMENTS/CIA-RDP96-00788R001700210016-5_GATEWAY_REPORT.pdf,1892460,1f93ebad3e78604c1d7afb67b99050af7e2a0df488e93ffcf9f8b7c54062e3e2,source_reference,source acquisition,U.S. government/public record; mirror exceptions in source list,NO,EP02_ONLY
GW-EN-0024,02_SOURCES/ORIGINAL_DOCUMENTS/CIA-RDP96-00788R001700210016-5_TEXT_LAYER.pdf,3381601,e0b94847707b4babbae969cd43b5f33151c697cfc544233445fca1e92278a2bd,source_reference,source acquisition,U.S. government/public record; mirror exceptions in source list,NO,EP02_ONLY
GW-EN-0025,02_SOURCES/ORIGINAL_DOCUMENTS/GATEWAY_REPORT_EXTRACTED_TEXT.txt,96485,4f1f4a187c278bc423da8041c6ad39d86588cdfdc50f3a876a7cb773f78a9550,source_reference,source acquisition,U.S. government/public record; mirror exceptions in source list,NO,EP02_ONLY
GW-EN-0026,02_SOURCES/ORIGINAL_DOCUMENTS/NTSB-AAR-79-17_FLIGHT191.pdf,7453969,31d5d37e1445256b862eb7a0e84cb14b308bb1b567f8258636eaa86a6acd8b3d,source_reference,source acquisition,U.S. government/public record; mirror exceptions in source list,NO,EP02_ONLY
GW-EN-0027,02_SOURCES/ORIGINAL_DOCUMENTS/US3605725A_BENTOV_CONTROLLED_MOTION.pdf,1059742,904643e6ab106b44297c35b0346bf588fbac69dbc0e488eb9a5ba83ca3e2cdd1,source_reference,source acquisition,U.S. government/public record; mirror exceptions in source list,NO,EP02_ONLY
GW-EN-0028,02_SOURCES/ORIGINAL_DOCUMENTS/US3884218A_MONROE_1975.pdf,443051,0cf48bc06df565abc069b314530a9608d9fbb16eb32cfc98a9c4c3a1bd1b7fe5,source_reference,source acquisition,U.S. government/public record; mirror exceptions in source list,NO,EP02_ONLY
GW-EN-0029,02_SOURCES/SOURCE_AND_RIGHTS_REGISTER.md,5450,832b0c3b5a1d11f04039de47f2ae6b95385dee0a55520fab2bea2a7177d16193,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0030,02_VOICE/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0031,03_VISUALS/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0032,03_VISUALS/00_REFERENCES/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0033,03_VISUALS/01_ARCHIVE/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0034,03_VISUALS/02_RECONSTRUCTIONS/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0035,03_VISUALS/03_CARDS/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0036,03_VISUALS/04_MOTION/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0037,03_VISUALS/05_REVIEW/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0038,03_VISUALS/CARDS/GW_EN_CARD_14M.png,21010,7462883171130b12f89351d90577533be55a214788427bd99693a77e3b0a221c,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0039,03_VISUALS/CARDS/GW_EN_CARD_ANOMALY.png,44611,64cff8c69baea240a636f16abe98b11d7991cdc81fa66ac71eaf6cfc8d2dfc5f,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0040,03_VISUALS/CARDS/GW_EN_CARD_ARMY_NOT_CIA.png,34937,f37bdf71f696755c0c30117b74544e3c42ce2883a4be8ead677fd72d816a93d5,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0041,03_VISUALS/CARDS/GW_EN_CARD_ARMY_NOT_CIA_RECAP.png,35229,0ccd93e4c5b341735d9ddc730da77a6d7d93de1f43725e89bf8a17f5c4ad9baf,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0042,03_VISUALS/CARDS/GW_EN_CARD_BEAT_10HZ.png,31518,f75df5a4150e1a9472d3f8502ddcaf5fd0dd0c0f584c59c2ea091866e6b5e650,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0043,03_VISUALS/CARDS/GW_EN_CARD_BEAT_400.png,13894,b1f36041207e3c270180501bbace1356010fa1771b49355f9a01a3b599e98f85,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0044,03_VISUALS/CARDS/GW_EN_CARD_BEAT_410.png,17874,6b178d190a4f610af1e0683c885ab3066a38b1932bb35d406409fb41c586d62e,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0045,03_VISUALS/CARDS/GW_EN_CARD_CROSSING_COSMOLOGY.png,22397,abe389bebbd57c526b388cfcc91da65770e026bc07f0cc56b957f606fb268ee9,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0046,03_VISUALS/CARDS/GW_EN_CARD_CROSSING_SOUND.png,21249,505c70feefd3361414c02bf22847e27d75de2d64a3df80dd9fe6bcc915559398,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0047,03_VISUALS/CARDS/GW_EN_CARD_CROSSING_SUMMARY.png,35846,4f901ebbb8f82064547c8ecb3f08f6f498ca09a62d398590923c3e37f38e7b97,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0048,03_VISUALS/CARDS/GW_EN_CARD_DECISION_AUTHORIZE_STOP.png,24836,dc86518e89b85cce3f491cd8d0eee06d5bb6aea3c711952d57f078885faceac7,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0049,03_VISUALS/CARDS/GW_EN_CARD_DECISION_QUESTION.png,24340,79baea59cd73b43a158a79838cb211a1276b503f28df37716fc7a355db462319,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0050,03_VISUALS/CARDS/GW_EN_CARD_DESPERATION.png,38216,b339ad28ec6d9307995689d5ee667063d4590905e022af42c176f5bacea78560,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0051,03_VISUALS/CARDS/GW_EN_CARD_DIGITS_NONE.png,24848,094d963b0f1043ce152667a9939ccab0ce2d61404aec9ece28ee7a9b5624a603,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0052,03_VISUALS/CARDS/GW_EN_CARD_DIGITS_SOME.png,24565,f5cf6387e69cf981e9e86f028aaecacf2d4f80a02ca7d0569d81ea41210cebc1,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0053,03_VISUALS/CARDS/GW_EN_CARD_DISTORTION_SOURCES.png,32528,3029405014b0289cc38d973d3e1cdf0ac738af73ac0d07b7dd53c2b9b4a9fe79,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0054,03_VISUALS/CARDS/GW_EN_CARD_EEG_MIXED.png,23810,38c01d40f8442b0d3dbb42c67bcbe8d1b777eac0b9120ea2ffc2a555889b3cee,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0055,03_VISUALS/CARDS/GW_EN_CARD_EVIDENCE_MIXED.png,34560,0df86a620ef1f36ebc068c13383540f296fcc1c2ccee6cecdba491edbd7d1eaf,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0056,03_VISUALS/CARDS/GW_EN_CARD_FEWER_5.png,25238,b3022ea008ebfea4c6f87426fe7ffdffeb1c756d00e3bfbf0cd8b97006ef515d,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0057,03_VISUALS/CARDS/GW_EN_CARD_FOCUS10.png,20867,1bbffe02f3b68e20e71f358d2f3315ce6a54ade3606b9c0fc77fdd80a359c1d6,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0058,03_VISUALS/CARDS/GW_EN_CARD_FOCUS10_STATE.png,33232,eecf633dc415f86085629dc16775f6c1642359e2b5965bc30ca855f9540a6e47,timeline_selected,project,project-owned,NO,EP02_ONLY
GW-EN-0059,03_VISUALS/CARDS/GW_EN_CARD_FOCUS12.png,20817,ec4155e22b4a13a5bdcb496551c17303587d747501de710888c980822d1f4b22,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0060,03_VISUALS/CARDS/GW_EN_CARD_FOCUS12_STATE.png,32875,eb254546c3c96d8dadd9c5f7b394f9e557184eeb1cba0f9aae5206a057ecf72d,accepted,project,project-owned,NO,EP02_ONLY
GW-EN-0061,03_VISUALS/CARDS/GW_EN_CARD_FOCUS15.png,35686,90f4b5411dd8d4f8e63ec42b31a93f58e422d14bd4c07df48a628b0df59654f5,timeline_selected,project,project-owned,NO,EP02_ONLY
