shot_id,start,end,duration,paragraphs,act,mode,picture_function_class,exact_voice,positive_claim_or_function,open_question_or_theory,primary_asset,visual_direction,card_text,sfx_function,source_anchor,self_contradiction_check
EP05_SHOT_001,0.100,4.660,4.560,1-1,HOOK,RECONSTRUCTION,HUMAN EMOTION,"Before David Hufford became a folklorist, he woke to the sound of his bedroom door opening.",1963 subjective bedroom action advances: door / footsteps / failed movement / mattress deformation / chest pressure; no face,modal/open where voiced; no extra disclaimer,EP05_HOOK_001,1963 subjective bedroom action advances: door / footsteps / failed movement / mattress deformation / chest pressure; no face,,"subjective door latch, two spatial footfalls, fabric compression; no entity vocalization",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_002,5.340,10.040,4.700,2-4,HOOK,RECONSTRUCTION,SUPERNATURAL/EXPERIENCE,Footsteps crossed the room. His body would not move. The mattress sank.,1963 subjective bedroom action advances: door / footsteps / failed movement / mattress deformation / chest pressure; no face,modal/open where voiced; no extra disclaimer,EP05_HOOK_002,1963 subjective bedroom action advances: door / footsteps / failed movement / mattress deformation / chest pressure; no face,,"subjective door latch, two spatial footfalls, fabric compression; no entity vocalization",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_003,10.680,13.810,3.130,5-6,HOOK,RECONSTRUCTION,SUPERNATURAL/EXPERIENCE,"Weight pressed into his chest. Years later,",1963 subjective bedroom action advances: door / footsteps / failed movement / mattress deformation / chest pressure; no face,modal/open where voiced; no extra disclaimer,EP05_HOOK_003,1963 subjective bedroom action advances: door / footsteps / failed movement / mattress deformation / chest pressure; no face,,"subjective door latch, two spatial footfalls, fabric compression; no entity vocalization",,PASS - image/card/SFX preserve voice strength
EP05_SHOT_004,14.120,19.560,5.440,6-6,HOOK,RECONSTRUCTION,REALITY ANCHOR,strangers in Newfoundland described the same sequence and gave the visitor a name Hufford said he had never heard:,"authentic Hufford book identity anchor, then Fogo contradiction and a real PSG teaser in the same nocturnal palette",modal/open where voiced; no extra disclaimer,EP05_HOOK_004,"authentic Hufford book identity anchor, then Fogo contradiction and a real PSG teaser in the same nocturnal palette",,,Penn Press / Hufford publication / real PSG,PASS - image/card/SFX preserve voice strength
EP05_SHOT_005,20.140,26.760,6.620,6-7,HOOK,RECONSTRUCTION,REALITY ANCHOR,the Old Hag. Researchers can make the paralysis more likely and see its traces on a monitor.,"authentic Hufford book identity anchor, then Fogo contradiction and a real PSG teaser in the same nocturnal palette",modal/open where voiced; no extra disclaimer,EP05_HOOK_005,"authentic Hufford book identity anchor, then Fogo contradiction and a real PSG teaser in the same nocturnal palette",THE PARALYSIS IS MEASURABLE,,Penn Press / Hufford publication / real PSG,PASS - image/card/SFX preserve voice strength
EP05_SHOT_006,26.800,32.480,5.680,8-8,HOOK,RECONSTRUCTION,TRANSITION/REVEAL,But why does a body caught between dreaming and waking so often feel as though someone else has entered the room?,"authentic Hufford book identity anchor, then Fogo contradiction and a real PSG teaser in the same nocturnal palette",modal/open where voiced; no extra disclaimer,EP05_HOOK_006,"authentic Hufford book identity anchor, then Fogo contradiction and a real PSG teaser in the same nocturnal palette",,,Penn Press / Hufford publication / real PSG,PASS - image/card/SFX preserve voice strength
EP05_SHOT_007,33.220,40.500,7.280,9-10,HUFFORD_NIGHT,RECONSTRUCTION,HUMAN EMOTION,Hufford later described more than fear. He felt intention: the certainty that whatever was above him was hostile.,"new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",modal/open where voiced; no extra disclaimer,EP05_HUFFORD_NIGHT_007,"new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",,pressure falls away into ordinary room tone; question opens without a sting,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_008,40.580,45.140,4.560,11-13,HUFFORD_NIGHT,RECONSTRUCTION,SUPERNATURAL/EXPERIENCE,Then the pressure vanished. Movement returned. The room was ordinary again.,"new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",modal/open where voiced; no extra disclaimer,EP05_HUFFORD_NIGHT_008,"new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",,pressure falls away into ordinary room tone; question opens without a sting,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_009,45.640,51.440,5.800,14-14,HUFFORD_NIGHT,RECONSTRUCTION,SUPERNATURAL/EXPERIENCE,"But the experience was too structured to feel like a random fragment of a dream: the opening door,","new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",modal/open where voiced; no extra disclaimer,EP05_HUFFORD_NIGHT_009,"new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",,pressure falls away into ordinary room tone; question opens without a sting,,PASS - image/card/SFX preserve voice strength
EP05_SHOT_010,51.700,56.200,4.500,14-14,HUFFORD_NIGHT,RECONSTRUCTION,SUPERNATURAL/EXPERIENCE,"the approaching steps, the body that would not answer, the weight on his chest.","new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",modal/open where voiced; no extra disclaimer,EP05_HUFFORD_NIGHT_010,"new later state of Hufford's reported night: hostile intention, release, ordinary room, then the pattern-before-name question",,pressure falls away into ordinary room tone; question opens without a sting,,PASS - image/card/SFX preserve voice strength
