take_id,act,title,word_count,estimated_speech_seconds,estimated_start,estimated_end,source_file,delivery,voice_status
EP06_TAKE_001_DEZEMBER_1963,S1,DEZEMBER_1963,39,17.4,00:00:00.000,00:00:17.400,source/EP06_TAKE_001_DEZEMBER_1963.txt,"unmittelbar, sehr ruhig",TEXT_READY_NOT_GENERATED
EP06_TAKE_002_DER_KOERPER_ANTWORTET_NICHT,S1,DER_KOERPER_ANTWORTET_NICHT,58,25.9,00:00:17.650,00:00:43.550,source/EP06_TAKE_002_DER_KOERPER_ANTWORTET_NICHT.txt,"nah, ohne Horrorspiel",TEXT_READY_NOT_GENERATED
EP06_TAKE_003_EIN_MUSTER_DAS_ER_NICHT_KANNTE,S1,EIN_MUSTER_DAS_ER_NICHT_KANNTE,57,25.4,00:00:43.800,00:01:09.200,source/EP06_TAKE_003_EIN_MUSTER_DAS_ER_NICHT_KANNTE.txt,"neugierig, Gedanke öffnet sich",TEXT_READY_NOT_GENERATED
EP06_TAKE_004_FOGO_ISLAND,S2,FOGO_ISLAND,58,25.9,00:01:09.450,00:01:35.350,source/EP06_TAKE_004_FOGO_ISLAND.txt,"sachlich, ortsnah",TEXT_READY_NOT_GENERATED
EP06_TAKE_005_UNANGENEHM_PRAEZISE,S2,UNANGENEHM_PRAEZISE,57,25.4,00:01:35.600,00:02:01.000,source/EP06_TAKE_005_UNANGENEHM_PRAEZISE.txt,"persönlich, präzise",TEXT_READY_NOT_GENERATED
EP06_TAKE_006_WAS_KOMMT_ZUERST,S2,WAS_KOMMT_ZUERST,56,25.0,00:02:01.250,00:02:26.250,source/EP06_TAKE_006_WAS_KOMMT_ZUERST.txt,"fragend, zügiger Schluss",TEXT_READY_NOT_GENERATED
EP06_TAKE_007_REM_ATONIE,S3,REM_ATONIE,49,21.9,00:02:26.500,00:02:48.400,source/EP06_TAKE_007_REM_ATONIE.txt,"anschaulich, unangestrengt",TEXT_READY_NOT_GENERATED
EP06_TAKE_008_DER_TIMINGFEHLER,S3,DER_TIMINGFEHLER,51,22.8,00:02:48.650,00:03:11.450,source/EP06_TAKE_008_DER_TIMINGFEHLER.txt,"klar, körperlich",TEXT_READY_NOT_GENERATED
EP06_TAKE_009_DER_KOERPER_FUEHLT_SICH_FREMD_AN,S3,DER_KOERPER_FUEHLT_SICH_FREMD_AN,54,24.1,00:03:11.700,00:03:35.800,source/EP06_TAKE_009_DER_KOERPER_FUEHLT_SICH_FREMD_AN.txt,"empathisch, keine Panik",TEXT_READY_NOT_GENERATED
EP06_TAKE_010_WO_DAS_RAETSEL_BEGINNT,S3,WO_DAS_RAETSEL_BEGINNT,54,24.1,00:03:36.050,00:04:00.150,source/EP06_TAKE_010_WO_DAS_RAETSEL_BEGINNT.txt,leise Spannung,TEXT_READY_NOT_GENERATED
EP06_TAKE_011_DREI_WIEDERKEHRENDE_FAMILIEN,S4,DREI_WIEDERKEHRENDE_FAMILIEN,51,22.8,00:04:00.400,00:04:23.200,source/EP06_TAKE_011_DREI_WIEDERKEHRENDE_FAMILIEN.txt,forschend,TEXT_READY_NOT_GENERATED
EP06_TAKE_012_INTRUDER_INCUBUS_SCHWEBEN,S4,INTRUDER_INCUBUS_SCHWEBEN,53,23.7,00:04:23.450,00:04:47.150,source/EP06_TAKE_012_INTRUDER_INCUBUS_SCHWEBEN.txt,"bildhaft, kontrolliert",TEXT_READY_NOT_GENERATED
EP06_TAKE_013_WARUM_GERADE_DIESE_FORMEN,S4,WARUM_GERADE_DIESE_FORMEN,56,25.0,00:04:47.400,00:05:12.400,source/EP06_TAKE_013_WARUM_GERADE_DIESE_FORMEN.txt,"offen, hin zum Experiment",TEXT_READY_NOT_GENERATED
EP06_TAKE_014_TAKEUCHI_1992,S5,TAKEUCHI_1992,40,17.9,00:05:12.650,00:05:30.550,source/EP06_TAKE_014_TAKEUCHI_1992.txt,"nüchtern, konkret",TEXT_READY_NOT_GENERATED
EP06_TAKE_015_DER_UNTERBROCHENE_SCHLAF,S5,DER_UNTERBROCHENE_SCHLAF,54,24.1,00:05:30.800,00:05:54.900,source/EP06_TAKE_015_DER_UNTERBROCHENE_SCHLAF.txt,"verständlich, keine Methodenlehre",TEXT_READY_NOT_GENERATED
EP06_TAKE_016_SECHS_EPISODEN,S5,SECHS_EPISODEN,52,23.2,00:05:55.150,00:06:18.350,source/EP06_TAKE_016_SECHS_EPISODEN.txt,Ergebnis deutlich landen lassen,TEXT_READY_NOT_GENERATED
EP06_TAKE_017_UND_TROTZDEM_KOMMT_ETWAS_MIT,S5,UND_TROTZDEM_KOMMT_ETWAS_MIT,56,25.0,00:06:18.600,00:06:43.600,source/EP06_TAKE_017_UND_TROTZDEM_KOMMT_ETWAS_MIT.txt,"erst sachlich, dann befremdet",TEXT_READY_NOT_GENERATED
EP06_TAKE_018_HEUTE_NACHT,S6,HEUTE_NACHT,60,26.8,00:06:43.850,00:07:10.650,source/EP06_TAKE_018_HEUTE_NACHT.txt,"direkte, intime Ansprache",TEXT_READY_NOT_GENERATED
EP06_TAKE_019_KOERPER_ODER_BESUCHER,S6,KOERPER_ODER_BESUCHER,46,20.5,00:07:10.900,00:07:31.400,source/EP06_TAKE_019_KOERPER_ODER_BESUCHER.txt,"klarer CTA, keine Ironie",TEXT_READY_NOT_GENERATED
EP06_TAKE_020_DIE_OFFENE_AUFGABE,S6,DIE_OFFENE_AUFGABE,51,22.8,00:07:31.650,00:07:54.450,source/EP06_TAKE_020_DIE_OFFENE_AUFGABE.txt,"ruhig, gedanklich",TEXT_READY_NOT_GENERATED
EP06_TAKE_021_ALARM_OHNE_URSACHE,S7,ALARM_OHNE_URSACHE,56,25.0,00:07:54.700,00:08:19.700,source/EP06_TAKE_021_ALARM_OHNE_URSACHE.txt,"nachvollziehbar, zügig",TEXT_READY_NOT_GENERATED
