source_id,local_file,source_url,source_type,creator_or_publisher,date,rights_or_license,rights_status,intended_use,spoken_claim,viewer_treatment
KZ-SRC-001,ORIGINALS/RU2122446C1_patent.pdf,https://patentimages.storage.googleapis.com/4b/09/bb/a36f136bf184bb/RU2122446C1.pdf,official patent publication,Russian patent office / Google Patents mirror,1998-11-27,Official legal document; reproduction status not expressly licensed,CLEARED_FOR_DOCUMENTARY_QUOTATION,Early cover/title/date/inventor reveal; figures 2-4; claims crop,Patent filed 1996; clinical title; aluminum panels; dimensions; spiral; rotation; lunar and heliogeophysical conditions,Original page crop with one short source/date line at first reveal; targeted highlight only
KZ-SRC-002,ORIGINALS/Nikolai_Kozyrev_1959.png,https://commons.wikimedia.org/wiki/File:Nikolai_Aleksandrovich_Kozyrev_in_1959.png,authentic portrait,Unknown photographer,1959,CC0 1.0,CLEARED,Kozyrev first name/biography beat,Nikolai Kozyrev was a Soviet astronomer and astrophysicist and died in 1983,No archive badge; credit in manifest and end credits
KZ-SRC-003,ORIGINALS/Nikolai_Kozyrev_1959_commons_metadata.json,https://commons.wikimedia.org/w/api.php?action=query&titles=File:Nikolai_Aleksandrovich_Kozyrev_in_1959.png&prop=imageinfo&iiprop=url%7Cextmetadata&format=json,license metadata,Wikimedia Commons,2026-08-26,CC0 metadata record,CLEARED,License proof for KZ-SRC-002,Portrait license and attribution provenance,Not viewer-facing
KZ-SRC-004,ORIGINALS/Kaznacheev_2025_SBRAS_memorial.pdf,https://www.sbras.info/sites/default/files/2025-05/NVS_SV_2025.pdf,commemorative newspaper / authentic portraits,Science in Siberia; photos supplied by article authors,2025-05-14,Copyright retained; editorial quotation with direct source credit,DOCUMENTARY_QUOTATION_REVIEWED,Small crop of the 2004 portrait at first Kaznacheev naming,Vlail Kaznacheev's identity and research career,No archive badge; one brief credited portrait crop; include publication in video credits
KZ-SRC-005,ORIGINALS/Alexander_Trofimov_2018_keynote.pdf,https://www.omicsonline.org/conference-proceedings/natural-hazards-congress-2018-keynote.digital/files/assets/common/downloads/natural-hazards-congress-2018-keynote.pdf,conference program/profile,Conference Series / Journal of Earth Science & Climatic Change,2018-07-27,Copyright retained; editorial quotation with direct source credit,DOCUMENTARY_QUOTATION_REVIEWED,Page 26 identity portrait and affiliation at first Trofimov naming,Alexander Trofimov's identity and institute affiliation,No archive badge; one brief credited page crop; include publication in video credits
KZ-SRC-006,ORIGINALS/Kaznacheev_Trofimov_2006_Kozirev_space.pdf,https://physics.socionic.info/index.php/physics/article/download/376/336,researchers' publication,Vlail Kaznacheev and Alexander Trofimov,2006,Journal PDF; no reuse license stated,DOCUMENTARY_QUOTATION_REVIEWED,Authorship/title/claim crop during escalation,Researchers described distant information and optical effects in modeled Kozirev space,Original-language page with literal separate English summary; no mode badge
KZ-SRC-007,ORIGINALS/Kaznacheev_Trofimov_2008_Distant_Interaction.pdf,https://physics.socionic.info/index.php/physics/article/download/415/263/269,researchers' publication,Vlail Kaznacheev and Alexander Trofimov,2008,Journal PDF; no reuse license stated,DOCUMENTARY_QUOTATION_REVIEWED,Authorship/title/abstract crop during later-publications beat,Researchers published claims of distant-information interaction,Original-language page with literal separate English summary; no mode badge
KZ-SRC-008,ORIGINALS/Kozyrev_Mirrors_2019_collection.pdf,https://www.mega-galaxy.pro/f/zerkala_kozyreva_raboty-tezizy-sbornik_01072019g.pdf,conference proceedings collection,Conference committee and individual authors,2019,Copyright authors and conference committee,DOCUMENTARY_QUOTATION_REVIEWED,Secondary corroboration and source-card fallback,Later proponents continued to link the apparatus with information and time claims,Use only brief page crops where a primary paper is unavailable
KZ-SRC-009,ORIGINALS/Natural_Earth_110m_countries.geojson,https://github.com/nvkelso/natural-earth-vector/blob/master/geojson/ne_110m_admin_0_countries.geojson,map data,Natural Earth,version 5.1.2,Public domain,CLEARED,Custom maps locating Saint Petersburg Novosibirsk Dikson and Fort Meade,Geographic location and handoff,Custom design; Natural Earth credited in video credits
KZ-SRC-010,ORIGINALS/Nikolai_Kozyrev_Iofe_archive.jpg,https://arch.iofecenter.org/en/person/18854,authentic archival portrait,Iofe Foundation Electronic Archive,date not stated,Archive preview; no explicit reuse license located,EXCLUDED_FROM_FINAL_RIGHTS_RISK,Research reference only; not selected for final timeline,Kozyrev identity research,Not viewer-facing
