take_id,section,take_start,take_end,cue_id,cue_start,cue_end,timing_method,voice_anchor,primary_visual,asset_spec,resolved_paths,open_editorial_tokens,pace,edit_function,notes,asset_status,voice_stem
EP04A_TAKE_001_WARNUNG,S1,0.35,22.27,A001,2.660,4.840,forced_alignment_anchor_1.00,1932 warnt C. G. Jung,Zurich/context -> seminar room,archive+IMG001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG001_SEMINAR_ROOM_WIDE.png,,dense,location_hook,first hard visual change early; no title intro,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_001_WARNUNG.wav
EP04A_TAKE_001_WARNUNG,S1,0.35,22.27,A002,4.840,11.460,forced_alignment_anchor_1.00,vor Kundalini,authentic historical lotus/chakra detail,SHARED_CHAKRA_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\00_SHARED\01_ORIGINAL_GREEN\SERPENT_POWER\SHARED_Serpent_Power_Lotuses_Wellcome_M0005455_CC-BY-4.0.jpg,,dense,object_reveal,real source object,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_001_WARNUNG.wav
EP04A_TAKE_001_WARNUNG,S1,0.35,22.27,A003,11.460,22.270,forced_alignment_anchor_1.00,psychisch in Gefahr,Jung warning reconstruction,IMG002,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG002_JUNG_WARNING_RECON.png,,dense,stakes,reconstruction label on first generated historical scene,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_001_WARNUNG.wav
EP04A_TAKE_002_DAS_GELAENDE,S1,22.62,57.728,A004,27.040,29.540,forced_alignment_anchor_1.00,Eine Flut / Eine Höhle,two flash frames,IMG007+IMG015,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG007_TRAIN_YELLOW_FLOOD.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG015_CAVE_WIDE.png,,dense,future_promise,subjective imagery,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_002_DAS_GELAENDE.wav
EP04A_TAKE_002_DAS_GELAENDE,S1,22.62,57.728,A005,29.540,34.380,forced_alignment_anchor_1.00,rote Sonne,underwater red disk,IMG004,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG004_RED_SUN_UNDER_WATER_FLASH.png,,hold,mystery_image,allow image to land,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_002_DAS_GELAENDE.wav
EP04A_TAKE_002_DAS_GELAENDE,S1,22.62,57.728,A006,34.380,38.100,forced_alignment_anchor_1.00,große schwarze Schlange,black snake hook,IMG003,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG003_BLACK_SNAKE_HOOK.png,,hold,central_motif,never historical Kundalini proxy,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_002_DAS_GELAENDE.wav
EP04A_TAKE_002_DAS_GELAENDE,S1,22.62,57.728,A007,38.100,57.728,forced_alignment_anchor_1.00,indische Karte,Jung before neutral map + real plate in edit,IMG005+SHARED_CHAKRA_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG005_JUNG_BEFORE_UNKNOWN_MAP.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\00_SHARED\01_ORIGINAL_GREEN\SERPENT_POWER\SHARED_Serpent_Power_Lotuses_Wellcome_M0005455_CC-BY-4.0.jpg,,normal,central_question,parallel not proof,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_002_DAS_GELAENDE.wav
EP04A_TAKE_003_OKTOBER_1913,S2,58.478,87.039,A008,58.580,64.300,forced_alignment_anchor_1.00,Oktober 1913,normal train reality,IMG006,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG006_TRAIN_1913_NORMAL.png,,reset,timeline_reset,dry sound,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_003_OKTOBER_1913.wav
EP04A_TAKE_003_OKTOBER_1913,S2,58.478,87.039,A009,64.300,76.300,forced_alignment_anchor_1.00,Bruch mit Sigmund Freud,real Clark/Freud-Jung context,EP04A_GROUP_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\01_ORIGINAL_GREEN\GATHERINGS\EP04A_Clark_University_group_1909_PD.jpg,,normal,biography_context,year label,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_003_OKTOBER_1913.wav
EP04A_TAKE_003_OKTOBER_1913,S2,58.478,87.039,A010,76.300,78.300,forced_alignment_anchor_1.00,Mitten am Tag kommt ein Bild,train reaction,IMG009,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG009_JUNG_TRAIN_REACTION.png,,normal,threshold,reality before vision,READY,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\VOICE_EP04A\final_stems_wav\EP04A_TAKE_003_OKTOBER_1913.wav
