cue_id,start_seconds,end_seconds,duration_seconds,voice_text,visual_mode_internal,primary_asset_id,visual_state_id,fallback_asset_id,asset_status,viewer_function,visual_action,motion_class,long_hold_reason,visible_mode_badge,allowed_context_line,selected_asset_id,selected_file_path,selection_status
KZ-CUE-001,0.460,2.480,2.020,Why did a medical device need to rotate?,RECONSTRUCTION,KZ_CLIP_ROTATION_HOOK,KZ_CLIP_ROTATION_HOOK,,SELECTED_READY,Open on the physical rotation question; 2.02-second concrete motion beat,Use the concrete reconstruction state KZ_CLIP_ROTATION_HOOK; preserve chamber geometry and change framing or action,PROGRESSIVE_MOTION,,NO,FIRST_BLOCK_ONLY_MAX_2S,KZ_CLIP_ROTATION_HOOK,04_ASSETS/CLIPS/CONFORMED_25FPS/KZ_CLIP_ROTATION_HOOK.mp4,LOCKED
KZ-CUE-002,3.120,8.910,5.790,"In 1996, two Russian researchers filed a patent for a chamber made from curved aluminum panels.",DATA_SOURCE_ANCHOR,KZ_SEQ_PATENT_HOOK,KZ_DATA_PATENT_FILING_ANCHOR,,SELECTED_READY,Verified 1996 filing anchor before the legend expands,Ground the hook in verified filing data while the preceding physical chamber remains in memory; no pseudo-document text.,STATIC_OR_NEAR_STATIC,,NO,,KZ_DATA_PATENT_FILING_ANCHOR,04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_DATA_PATENT_FILING_ANCHOR.png,LOCKED
KZ-CUE-003,9.500,15.290,5.790,Its first page gives the document a clinical title: a device for correcting psychosomatic diseases.,ORIGINAL_DOCUMENT,KZ_SEQ_PATENT_HOOK,KZ_DOC_002,,SELECTED_READY,Reveal the clinical title as an exact document crop,Hold the complete verified clinical-title block statically with its genuine phrase highlighted.,STATIC_OR_NEAR_STATIC,,NO,,KZ_DOC_002,04_ASSETS/GENERATED/DOCUMENT_EVIDENCE/KZ_DOC_002.png,LOCKED
KZ-CUE-004,15.980,20.540,4.560,"Today, the same structure is called a Kozyrev mirror - and, sometimes, a time machine.",EXPLANATORY_MODEL,KZ_SEQ_PATENT_HOOK,KZ_CARD_MEDICAL_TO_TIME_MACHINE,,SELECTED_READY,Make the medical-device versus time-machine escalation legible,"Progressively reveal state KZ_CARD_MEDICAL_TO_TIME_MACHINE; one spoken claim at a time, no production-mode badge",STATIC_OR_NEAR_STATIC,,NO,NO,KZ_CARD_MEDICAL_TO_TIME_MACHINE,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_MEDICAL_TO_TIME_MACHINE.png,LOCKED
KZ-CUE-005,21.200,23.580,2.380,But Nikolai Kozyrev died in 1983.,ARCHIVE,KZ_SEQ_1983_1996_CONTRADICTION,KZ_SRC_KOZYREV_PORTRAIT_1983,,SELECTED_READY,Show Kozyrev at the death-date biography beat,Use authenticated identity material for state KZ_SRC_KOZYREV_PORTRAIT_1983; restrained crop/parallax only,STATIC_OR_NEAR_STATIC,,NO,NO,KZ_SRC_KOZYREV_PORTRAIT_1983,04_ASSETS/GENERATED/DETERMINISTIC/KZ_SRC_KOZYREV_PORTRAIT_1983.png,LOCKED
KZ-CUE-006,24.200,29.260,5.060,The patent was filed thirteen years later by Vlail Kaznacheev and Alexander Trofimov.,ARCHIVE,KZ_SEQ_1983_1996_CONTRADICTION,KZ_SRC_INVENTOR_PAIR_1996,,SELECTED_READY,Show Kaznacheev and Trofimov when the later filing is named,Use authenticated identity material for state KZ_SRC_INVENTOR_PAIR_1996; restrained crop/parallax only,STATIC_OR_NEAR_STATIC,,NO,NO,KZ_SRC_INVENTOR_PAIR_1996,04_ASSETS/GENERATED/DETERMINISTIC/KZ_SRC_INVENTOR_PAIR_1996.png,LOCKED
KZ-CUE-007,30.180,33.580,3.400,Kozyrev never built the aluminum spiral that now carries his name.,EXPLANATORY_MODEL,KZ_SEQ_1983_1996_CONTRADICTION,KZ_CARD_1983_1996_CONTRADICTION,,SELECTED_READY,Resolve the thirteen-year contradiction without implying Kozyrev built the device,"Progressively reveal state KZ_CARD_1983_1996_CONTRADICTION; one spoken claim at a time, no production-mode badge",STATIC_OR_NEAR_STATIC,,NO,NO,KZ_CARD_1983_1996_CONTRADICTION,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_1983_1996_CONTRADICTION.png,LOCKED
KZ-CUE-008,34.040,35.440,1.400,That is the first contradiction.,EXPLANATORY_MODEL,KZ_SEQ_1983_1996_CONTRADICTION,KZ_CARD_1983_1996_CONTRADICTION,,SELECTED_READY,Resolve the thirteen-year contradiction without implying Kozyrev built the device,"Progressively reveal state KZ_CARD_1983_1996_CONTRADICTION; one spoken claim at a time, no production-mode badge",STATIC_OR_NEAR_STATIC,,NO,NO,KZ_CARD_1983_1996_CONTRADICTION,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_1983_1996_CONTRADICTION.png,LOCKED
KZ-CUE-009,35.960,37.560,1.600,The second is inside the machine.,RECONSTRUCTION,KZ_EN_HERO01,KZ_EN_HERO01,,SELECTED_READY,Return once to the accepted chamber geometry for the second contradiction,Use the concrete reconstruction state KZ_EN_HERO01; preserve chamber geometry and change framing or action,STATIC_OR_NEAR_STATIC,,NO,NO,KZ_EN_HERO01,04_ASSETS/GENERATED/NANO_BANANA_PRO/KZ_EN_HERO01.png,LOCKED
KZ-CUE-010,37.920,39.420,1.500,The panels could form a cylinder.,ORIGINAL_TECHNICAL_FIGURE,KZ_SEQ_PATENT_CONFIGURATIONS,KZ_FIG_PATENT_CYLINDER,,SELECTED_READY,Match the cylinder configuration claim to the patent figure,"Show the correct patent page and enlarged Figure 2 as a technical illustration, not a textual quote.",STATIC_OR_NEAR_STATIC,,NO,,KZ_FIG_PATENT_CYLINDER,04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_FIG_PATENT_CYLINDER.png,LOCKED
KZ-CUE-011,39.860,40.900,1.040,A clockwise spiral.,EXPLANATORY_MODEL,KZ_SEQ_PATENT_CONFIGURATIONS,KZ_MODEL_CLOCKWISE_SPIRAL,,SELECTED_READY,Match clockwise spiral wording to the patent geometry,Translate clockwise direction into a unique clean geometry state because the original figure does not encode direction.,STATIC_OR_NEAR_STATIC,,NO,,KZ_MODEL_CLOCKWISE_SPIRAL,04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_MODEL_CLOCKWISE_SPIRAL.png,LOCKED
KZ-CUE-012,41.350,42.820,1.470,Or a counterclockwise spiral.,EXPLANATORY_MODEL,KZ_SEQ_PATENT_CONFIGURATIONS,KZ_MODEL_PATENT_FIG3_CCW,,SELECTED_READY,Mirror the verified geometry as an explicitly explanatory counterclockwise state,"Progressively reveal state KZ_MODEL_PATENT_FIG3_CCW; one spoken claim at a time, no production-mode badge",STATIC_OR_NEAR_STATIC,,NO,NO,KZ_MODEL_PATENT_FIG3_CCW,04_ASSETS/GENERATED/DETERMINISTIC/KZ_MODEL_PATENT_FIG3_CCW.png,LOCKED
KZ-CUE-013,43.580,46.900,3.320,One version placed the entire structure on a motorized platform.,ORIGINAL_TECHNICAL_FIGURE,KZ_SEQ_PATENT_CONFIGURATIONS,KZ_FIG_PATENT_MOTORIZED_PLATFORM,,SELECTED_READY,Show the motorized patent configuration at the rotation claim,Show authentic patent Figure 4 at the motorized-platform statement; this avoids a repeated abstract-page visual mode.,STATIC_OR_NEAR_STATIC,,NO,,KZ_FIG_PATENT_MOTORIZED_PLATFORM,04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_FIG_PATENT_MOTORIZED_PLATFORM.png,LOCKED
KZ-CUE-014,47.260,48.610,1.350,A person sat at its center.,RECONSTRUCTION,KZ_EN_REC01_ENTERING,KZ_EN_REC01_ENTERING,,SELECTED_READY,"Human scale and entry, with no meditation or effect claim",Use the concrete reconstruction state KZ_EN_REC01_ENTERING; preserve chamber geometry and change framing or action,STATIC_OR_NEAR_STATIC,,NO,NO,KZ_EN_REC01_ENTERING,04_ASSETS/GENERATED/NANO_BANANA_PRO/KZ_EN_REC01_ENTERING.png,LOCKED
