cue_id,scene,scene_title,est_start,est_end,voice_anchor_start,voice_anchor_end,voice_excerpt,visual_type,visual_concept,reference_assets,generation_id,edit_hold_rule,highlight_rule,sync_rule
EP04_V4_C001,S1,Die Flut,0,4,Im Oktober 1913 sitzt ein Mann,in einem Zug durch die Schweiz,Im Oktober 1913 sitzt ein Mann in einem Zug durch die Schweiz,AI_RECON,1913 Swiss train interior,IMG01,IMG01,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C002,S1,Die Flut,4,8,und sieht Europa untergehen,und sieht Europa untergehen,und sieht Europa untergehen,AI_RECON,Man looking out train window,IMG02,IMG02,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C003,S1,Die Flut,8,12,Er heißt Carl Gustav Jung er i,r ist achtunddreißig Jahre alt,Er heißt Carl Gustav Jung er ist achtunddreißig Jahre alt,ORIGINAL_ASSET,Jung portrait ETH-BIB 1935,Jung_ETH_1935,Jung_ETH_1935,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C004,S1,Die Flut,12,16,und er hat gerade alles verlor,erloren was ihn ausgemacht hat,und er hat gerade alles verloren was ihn ausgemacht hat,AI_RECON,Isolation rejection,IMG03,IMG03,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C005,S1,Die Flut,16,20,Der Bruch mit Sigmund Freud li,nd Freud liegt ein Jahr zurück,Der Bruch mit Sigmund Freud liegt ein Jahr zurück,AI_RECON,Freud and Jung split,IMG04,IMG04,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C006,S1,Die Flut,20,24,Die Bewegung in der er der Kro,nprinz war hat ihn ausgestoßen,Die Bewegung in der er der Kronprinz war hat ihn ausgestoßen,AI_RECON,Man alone in Zurich,IMG05,IMG05,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C007,S1,Die Flut,24,28,Und dann im Wachzustand mitten,d mitten am Tag kommt das Bild,Und dann im Wachzustand mitten am Tag kommt das Bild,AI_RECON,Vision appearing dramatic light,IMG06,IMG06,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C008,S1,Die Flut,28,32,Eine ungeheure Flut über dem g,über dem ganzen Norden Europas,Eine ungeheure Flut über dem ganzen Norden Europas,AI_RECON,Apocalyptic flood Northern Europe,IMG07,IMG07,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C009,S1,Die Flut,32,36,zwischen der Nordsee und den A,see und den Alpen Gelbe Wellen,zwischen der Nordsee und den Alpen Gelbe Wellen,AI_RECON,Yellow waves flood,IMG08,IMG08,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C010,S1,Die Flut,36,40,Darin die treibenden Trümmer d,enden Trümmer der Zivilisation,Darin die treibenden Trümmer der Zivilisation,AI_RECON,Debris floating civilisation ruins,IMG09,IMG09,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C011,S1,Die Flut,40,44,Und die Leichen ungezählter Ta, Leichen ungezählter Tausender,Und die Leichen ungezählter Tausender,AI_RECON,Dramatic symbolic imagery,IMG10,IMG10,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C012,S1,Die Flut,44,48,Dann färbt sich das Meer zu Bl,nn färbt sich das Meer zu Blut,Dann färbt sich das Meer zu Blut,AI_RECON,Blood-red sea apocalyptic,IMG11,IMG11,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C013,S1,Die Flut,48,52,Es dauert etwa eine Stunde,Es dauert etwa eine Stunde,Es dauert etwa eine Stunde,AI_RECON,Time passing clock,IMG12,IMG12,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C014,S1,Die Flut,52,56,Zwei Wochen später kommt es wi,s wieder Dasselbe Bild stärker,Zwei Wochen später kommt es wieder Dasselbe Bild stärker,AI_RECON,Vision returning haunting,IMG13,IMG13,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C015,S1,Die Flut,56,60,Und diesmal spricht eine Stimm, ihm und sagt das sei wirklich,Und diesmal spricht eine Stimme mit ihm und sagt das sei wirklich,AI_RECON,Voice from vision supernatural,IMG14,IMG14,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C016,S1,Die Flut,60,64,Jung ist Psychiater Er hat sei,sychiatrischen Klinik begonnen,Jung ist Psychiater Er hat sein Berufsleben in einer psychiatrischen Klinik begonnen,AI_RECON,Psychiatrist portrait professional,IMG15,IMG15,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C017,S1,Die Flut,64,68,Er hat später gesagt er habe s,einer Psychose bedroht gefühlt,Er hat später gesagt er habe sich von einer Psychose bedroht gefühlt,AI_RECON,Fear of madness psychological,IMG16,IMG16,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C018,S1,Die Flut,68,72,Im August 1914 bricht der Erst, Landschaft die er gesehen hat,Im August 1914 bricht der Erste Weltkrieg aus Genau in der Landschaft die er gesehen hat,AI_RECON,War declaration 1914 historical,IMG17,IMG17,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C019,S2,Er geht zurück hinein,72,76,An dieser Stelle würde jeder v,er vernünftige Mensch aufhören,An dieser Stelle würde jeder vernünftige Mensch aufhören,AI_RECON,Crossroads decision moment,IMG18,IMG18,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C020,S2,Er geht zurück hinein,76,80,Jung tut das Gegenteil Im Deze, abends an seinen Schreibtisch,Jung tut das Gegenteil Im Dezember 1913 setzt er sich abends an seinen Schreibtisch,AI_RECON,Man at desk evening 1913,IMG19,IMG19,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C021,S2,Er geht zurück hinein,80,84,und macht es absichtlich,und macht es absichtlich,und macht es absichtlich,AI_RECON,Deliberate action intention,IMG20,IMG20,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C022,S2,Er geht zurück hinein,84,88,Er beschreibt es wie einen Sch,s wie einen Schritt ins Dunkle,Er beschreibt es wie einen Schritt ins Dunkle,AI_RECON,Stepping into darkness,IMG21,IMG21,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C023,S2,Er geht zurück hinein,88,92,Der Boden gibt nach er fällt u,d dann steht er in einer Höhle,Der Boden gibt nach er fällt und dann steht er in einer Höhle,AI_RECON,Falling into cave darkness,IMG22,IMG22,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C024,S2,Er geht zurück hinein,92,96,Ein Leichnam treibt vorbei Ein,ibt vorbei Ein schwarzer Käfer,Ein Leichnam treibt vorbei Ein schwarzer Käfer,AI_RECON,Dark vision corpse beetle,IMG23,IMG23,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C025,S2,Er geht zurück hinein,96,100,Eine rote Sonne tief unten im ,ote Sonne tief unten im Wasser,Eine rote Sonne tief unten im Wasser,AI_RECON,Red sun underwater,IMG24,IMG24,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C026,S2,Er geht zurück hinein,100,104,Was er dort tut hat er später ,päter zu einer Methode gemacht,Was er dort tut hat er später zu einer Methode gemacht,AI_RECON,Method development,IMG25,IMG25,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C027,S2,Er geht zurück hinein,104,108,und die ist bis heute in Gebra,h Sie heißt aktive Imagination,und die ist bis heute in Gebrauch Sie heißt aktive Imagination,AI_RECON,Active imagination technique,IMG26,IMG26,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C028,S2,Er geht zurück hinein,108,112,Man setzt sich hin Man stellt ,echnende ordnende Denken still,Man setzt sich hin Man stellt das rechnende ordnende Denken still,AI_RECON,Meditation sitting still,IMG27,IMG27,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
EP04_V4_C029,S2,Er geht zurück hinein,112,116,ohne einzuschlafen Man lässt d, Bilder kommen die dann kommen,ohne einzuschlafen Man lässt die Bilder kommen die dann kommen,AI_RECON,Images appearing dreamlike,IMG28,IMG28,3-5s hold; gentle push.,No evidentiary label.,Map voice anchors to timestamps.
