cue_id,scene,scene_title,est_start,est_end,voice_anchor_start,voice_anchor_end,voice_excerpt,visual_type,visual_concept,reference_assets,generation_id,edit_hold_rule,highlight_rule,sync_rule
EP05_V4_C001,S1,Die Weltuhr,,,Ein schwarzer Vogel trägt,eine Uhr.,Ein schwarzer Vogel trägt eine Uhr.,AI_RECON,Weltuhr Hook wide,,IMG01,Hold until geometry is understood; do not cut for pace alone.,No label over first mystery frame.,Start exactly on first sentence.
EP05_V4_C002,S1,Die Weltuhr,,,Zwei Kreise schneiden sich,fast überwältigende Harmonie.,Description of intersecting circles and multiple rhythms.,AI_RECON,Weltuhr mechanism detail,,IMG02,Allow slow push and one internal detail change only.,No scientific labels.,Follow conceptual description rather than fixed seconds.
EP05_V4_C003,S1,Die Weltuhr,,,Der Mann der davon träumt,Wolfgang Pauli.,Pauli reveal.,ORIGINAL_ASSET,Pauli 1924 portrait,SRC01,,Hold through name reveal.,Name + role may appear in edit.,Cut on Wolfgang Pauli reveal.
EP05_V4_C004,S1,Die Weltuhr,,,Professor für theoretische Physik,fundamentalen Prinzip der Quantenphysik hängt.,Pauli scientific identity.,MOTION_TYPE,Pauli identity card,SRC01,,Short factual card over portrait.,WOLFGANG PAULI / ETH ZÜRICH / NOBEL 1945,Keep restrained.
EP05_V4_C005,S1,Die Weltuhr,,,Und ja ausgerechnet dieser Mann,völlig anderen Welt.,Contrast physicist and dream material.,ORIGINAL_ASSET,Solvay group then Pauli crop,SRC03;SRC04,,Hold group long enough to locate Pauli before crop.,Optional subtle marker on Pauli only.,Use as hard reality point after dream imagery.
EP05_V4_C006,S2,Der Mann hinter den Träumen,,,Der Weg dorthin beginnt,ziemlich persönlich.,Transition to biography.,ORIGINAL_ASSET,Jung portrait,SRC05,,Gentle crop only.,No extra copy.,Do not dramatize family tragedy visually.
EP05_V4_C007,S2,Der Mann hinter den Träumen,,,Pauli beginnt seine Träume,auch Jung persönlich.,Pauli records dreams.,AI_RECON,Pauli writing at night,SRC01,IMG03,Let action breathe; one shot can cover several sentences.,Label reconstruction if needed.,Anchor to dream-recording sentence.
EP05_V4_C008,S2,Der Mann hinter den Träumen,,,Mehr als tausend Träume,vierhundert heran.,400 dreams reveal.,MOTION_GRAPHIC,Dream cards condense to 400,,,Build cleanly in edit.,400 + concise source tag only.,Reveal number on spoken vierhundert.
EP05_V4_C009,S2,Der Mann hinter den Träumen,,,In diesen Aufzeichnungen tauchen,selbst zu ordnen.,Recurring dream motifs.,AI_RECON,Dream fragments,,IMG04,Slow layered movement or parallax; no rapid montage.,No labels.,Stay abstract and non-literal.
EP05_V4_C010,S2,Der Mann hinter den Träumen,,,Ende 1934 endet die Behandlung,jemand der widerspricht.,Patient becomes correspondent.,MOTION_GRAPHIC,PATIENT to CORRESPONDENT,,,Minimal transition.,PATIENT → CORRESPONDENT,Land on correspondent.
EP05_V4_C011,S3,Pauli wird kein Jünger,,,Einige Jahre später schreibt Pauli,frühen Träumen gibt.,Correspondence begins.,ORIGINAL_DOCUMENT,Real letter scan if cleared,R01,,Hold document; crop to date/header if available.,Never invent a quote.,Fallback to IMG05 if rights unavailable.
EP05_V4_C012,S3,Pauli wird kein Jünger,,,Er beginnt selbst zu zerlegen,bleibt der Physiker sichtbar.,Pauli analyzes the dream.,AI_RECON,Two-desk correspondence,SRC01;SRC05,IMG05,Use one composed shot rather than multiple decorative cuts.,Reconstruction label if necessary.,Do not imply face-to-face meeting.
EP05_V4_C013,S3,Pauli wird kein Jünger,,,Aus einem Patienten wird,überhaupt Wirklichkeit nennen darf.,Status change and intellectual tension.,AI_RECON,Correspondence bridge,SRC01;SRC05,IMG05,Continue or alternate crop from same generation.,No fake text.,Preserve continuity.
EP05_V4_C014,S3,Pauli wird kein Jünger,,,Irgendwann bekommt dieses gemeinsame Problem,Synchronizität.,Term reveal.,MOTION_TYPE,SYNCHRONICITY title,,,Brief pause after word appears.,SYNCHRONICITY,Reveal only at spoken term.
EP05_V4_C015,S4,Der Käfer am Fenster,,,Eine Patientin erzählt ihm,goldenen Skarabäus geschenkt.,Dream setup.,AI_RECON,Jung consulting room,SRC05,IMG06,Single shot with patient non-specific.,RECONSTRUCTION optional.,Do not show insect yet if possible.
EP05_V4_C016,S4,Der Käfer am Fenster,,,Während sie spricht hört Jung,und fängt ihn.,Beetle strikes window.,AI_RECON,Window interruption,SRC05,IMG06,Hold the window beat; allow silence/room tone.,No supernatural emphasis.,Cut attention toward window on spoken Klopfen.
EP05_V4_C017,S4,Der Käfer am Fenster,,,Es ist kein ägyptischer Skarabäus,Bild aus dem Traum auffällig nahe.,Species reality anchor.,ORIGINAL_ASSET,Rose chafer species reference,SRC08;SRC09,,Clean macro hold.,ROSE CHAFER / SPECIES REFERENCE if useful.,Never imply this is Jung's actual specimen.
EP05_V4_C018,S4,Der Käfer am Fenster,,,Innen erzählt jemand,inhaltlich zusammengehören.,Inner vs outer coincidence.,AI_CONCEPT,Inner image versus outer event,,IMG07,Slow compositional reveal.,No causal arrows.,Use observer as visual bridge.
EP05_V4_C019,S4,Der Käfer am Fenster,,,Bedeutungsvoll ist keine physikalische Einheit,vom Moment.,Meaning is not a physical unit.,MOTION_GRAPHIC,Causality versus meaning,,,Minimal diagram.,CAUSE / MEANING only.,Do not imply scientific equivalence.
EP05_V4_C020,S5,Zwei Männer ziehen die Grenze,,,Um 1949 und 1950,wirklich in dieselbe Schublade.,Letters and category dispute.,ORIGINAL_DOCUMENT,Real correspondence if cleared,R01,,Document hold with slow crop.,Date/header only if real.,Fallback IMG08.
EP05_V4_C021,S5,Zwei Männer ziehen die Grenze,,,Ende 1950 erinnert Pauli,weiter gezogen.,Narrow versus wide definition.,MOTION_GRAPHIC,Narrow/wide synchronicity frame,,,Animation expands/contracts once.,NARROW / WIDE optional.,Avoid dense taxonomy.
EP05_V4_C022,S5,Zwei Männer ziehen die Grenze,,,Jung versucht neben Ursache,was physikalisch.,Intellectual duel.,AI_RECON,Separate desks with notes,SRC01;SRC05,IMG08,Longer hold than old cue logic; crop can shift at argument turn.,No fake quotations.,Use visual tension not dramatic acting.
EP05_V4_C023,S6,Zufall oder Zeichen,,,Stell dir vor du denkst,Genau diese Person.,Modern coincidence thought experiment.,AI_RECON,Phone message coincidence,,IMG09,Hold through notification reveal.,Phone text minimal/unreadable.,No glow or cosmic threads.
EP05_V4_C024,S6,Zufall oder Zeichen,,,Die eine Geschichte lautet,Als müsste da etwas zusammengehören.,Two interpretations.,MOTION_TYPE,ZUFALL versus ZEICHEN,,,Simple split typography.,ZUFALL / ZEICHEN,Do not add verdict.
EP05_V4_C025,S6,Zufall oder Zeichen,,,Was würdet ihr spontan wählen,ZUFALL oder ZEICHEN.,CTA.,MOTION_TYPE,CTA card,,,Brief interactive hold.,ZUFALL / ZEICHEN only.,Keep identical terms to voice.
EP05_V4_C026,S6,Zufall oder Zeichen,,,Wie oft hast du an jemanden,kaum.,Hits and misses.,MOTION_GRAPHIC,Many non-matches one salient match,,,Animate many neutral dots with one remembered coincidence.,No invented percentages.,Use as explanation not debunking punchline.
EP05_V4_C027,S7,Die Quantenfalle,,,Pauli war Quantenphysiker,Ereignisse anziehen.,Quantum misconception setup.,ORIGINAL_ASSET,Solvay crop/Pauli,SRC03;SRC04,,Return briefly to scientific reality anchor.,No quantum effect overlays.,Then cut hard to G07.
EP05_V4_C028,S7,Die Quantenfalle,,,Nur genau diesen Schritt,äußere Ereignisse manifestiert.,Quantum correction.,MOTION_TYPE,Pauli plus Jung not quantum proof,,,Very concise graphic.,PAULI + JUNG ≠ QUANTUM PROOF,No meme styling.
