asset_id,file,commons_title,source_url,licence,creator,date,resolution,bytes,sha256,research_label
Gold_Skippet_Included_with_the_French_Ex,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Gold_Skippet_Included_with_the_French_Exchange_Copy_of_the_Conventio.jpg,File:Gold Skippet Included with the French Exchange Copy of the Convention Between the Republic of France and the United States of America to Secure the Payment of the Sums Due by France - DPLA - 0330b9c023f14b26bfb3a548c17a2c15 (page 5).jpg,https://commons.wikimedia.org/wiki/File:Gold_Skippet_Included_with_the_French_Exchange_Copy_of_the_Convention_Between_the_Republic_of_France_and_the_United_States_of_America_to_Secure_the_Payment_of_the_Sums_Due_by_France_-_DPLA_-_0330b9c023f14b26bfb3a548c17a2c15_(page_5).jpg,Public domain,U.S. Government. 3/4/1789,30 April 1803,5314x8674,25640275,2bcb88fc8b84b5d8b9a315ab6ebc830785da0abc65fe3b166e52b456ceaf8bb8,Siegel in Kapseln
JohnDeRaleighDeed1362,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_JohnDeRaleighDeed1362.jpg,File:JohnDeRaleighDeed1362.JPG,https://commons.wikimedia.org/wiki/File:JohnDeRaleighDeed1362.JPG,Public domain,"(Lobsterthermidor (talk) 12:53, 7 February 2013 (UTC))",Deed 1362; photo 2013,3299x2266,3760566,24e7a3a1a40afa9dd32b510fd8897e1053ac84d9549e22b5cfb79d8adf38a83a,Haengesiegel Urkunde
AAV_8_026,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_AAV_8_026.jpg,File:AAV 8 026.jpg,https://commons.wikimedia.org/wiki/File:AAV_8_026.jpg,Public domain,unknown,,1497x2250,252716,8a6a4d03b3394ac67b5408e3561ea74e106e36d46635c6adbecfaac1c68b9d0e,AAV Archivbestand
AAV_8_061,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_AAV_8_061.jpg,File:AAV 8 061.jpg,https://commons.wikimedia.org/wiki/File:AAV_8_061.jpg,Public domain,unknown,,1497x2250,409545,edfaa2adc9f36635db8486f889d0b696874d9028112b1116b32af4077afbf3fd,AAV Archivbestand
AAV_8_089,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_AAV_8_089.jpg,File:AAV 8 089.jpg,https://commons.wikimedia.org/wiki/File:AAV_8_089.jpg,Public domain,unknown,,1497x2250,261335,2a7699250e1c6f6044ab1c2458e51d8f02d44e9e41088a301603e99af7212f02,AAV Archivbestand
AAV_8_134,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_AAV_8_134.jpg,File:AAV 8 134.jpg,https://commons.wikimedia.org/wiki/File:AAV_8_134.jpg,Public domain,unknown,,1497x2250,291588,930beb26f463ccf98631b50fc93ce846d2a4abd226a65b9a82550e8c7d259def,AAV Archivbestand
Apostolic_Palace_Lanciani_,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Apostolic_Palace_Lanciani_.jpg,File:Apostolic Palace (Lanciani).jpg,https://commons.wikimedia.org/wiki/File:Apostolic_Palace_(Lanciani).jpg,Public domain,Rodolfo Lanciani,"between 1893 and 1901date QS:P,+1500-00-",1772x2425,3133076,afbe4b80176afef0f97f95bceb392e5748f41283d397c6c7e1b5070254460a9b,Vatikanisches Archiv
Pius_XII_blessed_on_his_death_bed_Castel,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Pius_XII_blessed_on_his_death_bed_Castel_Gandolfo_1958.jpg,"File:Pius XII blessed on his death bed, Castel Gandolfo, 1958.jpg","https://commons.wikimedia.org/wiki/File:Pius_XII_blessed_on_his_death_bed,_Castel_Gandolfo,_1958.jpg",Public domain,Unknown photographer,1958-10-09,6678x4558,13671478,2f15b22a86d4afb7dff397151f8154a5807d989fde83decc4983d1ee20b0ab04,Pius XII
Papst_Pius_XII_Kr_nung_10_Jahrestag,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Papst_Pius_XII_Kr_nung_10_Jahrestag.jpg,"File:Papst Pius XII., Krönung 10. Jahrestag.jpg","https://commons.wikimedia.org/wiki/File:Papst_Pius_XII.,_Krönung_10._Jahrestag.jpg",Public domain,Joachim Specht,Taken on 12 March 1949 (here)18 Septembe,2359x3245,1832271,448ab1bfb8af5e2c01201ff2dbf99dd977ea6363a275d0bb959e93626846229a,Pius XII
Constantine_Presenting_the_City_of_Rome_,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP14_Constantine_Presenting_the_City_of_Rome_to_the_Holy_See_MET_DP819638.jpg,File:Constantine Presenting the City of Rome to the Holy See MET DP819638.jpg,https://commons.wikimedia.org/wiki/File:Constantine_Presenting_the_City_of_Rome_to_the_Holy_See_MET_DP819638.jpg,CC0,Battista Franco Veneziano,,3761x2671,4815688,84c7365473ad0a7bb699f9ca51e9605b50fdc5df5705c053a86ce81cde94046c,Konstantinische Schenkung
