cue_id,section,voice_anchor,primary_visual,source_or_generated,pace,edit_function,notes
B001,S1,"Diese Grafik",modern rainbow map,IMG001,dense,object_hook,"clearly contemporary"
B002,S1,"Sieben Zentren / sieben Farben",modern poster detail,IMG003,dense,familiarity,"no antiquity claim"
B003,S1,"hundert Jahre zurück",rainbow layer peel,IMG002,dense,reversal,"paper not magic"
B004,S1,"Bilder verändern sich",real historical variants,B-G02,dense,proof_early,"use authentic assets"
B005,S1,"andere Zahl",historical six-center image + clean type,EP04B_CHAKRA_008+B-G03,hold,number_promise,"low-res source brief use"
B006,S1,"Sechs",SECHS card,B-G03,hold,hook_payoff,"minimal"
B007,S1,"Wer hat die Karte gezeichnet",stack/table base + sources,IMG004,normal,central_question,"no conspiracy board"
B008,S2,"Fehler ... Singular",several authentic maps side by side,B-G02,normal,plurality,"retain real proportions"
B009,S2,"Andere Gottheiten / Silben / Lotusblätter",source details,archive,dense,variety,"real plates/details"
B010,S2,"Er macht sie sauber",modern map snaps into alignment,B-G01,normal,western_simplification,"avoid ridicule"
B011,S3,"Ṣaṭ-cakra-nirūpaṇa",material manuscript environment + source title context,IMG005+archive,normal,text_reveal,"no fake Sanskrit"
B012,S3,"1577",clean date card over real historical context,edit,normal,orientation,"date wording can be 'häufig datiert auf 1577'"
B013,S3,"Sechs Zentren",real six-center image,EP04B_CHAKRA_008,hold,proof,"contain image; no crop destroying count"
B014,S3,"Sahasrara",real Serpent Power lotus/detail + B-G04,SHARED_CHAKRA_001+B-G04,normal,nuance,"not 'seventh fake'"
B015,S3,"Zählen ist bereits Interpretation",six-plus-above modern scaffold,IMG006,normal,interpretive_turn,"clearly modern explanatory graphic"
B016,S3,"Sanskritzeichen / Tiere / Formen",authentic plate details,SHARED_CHAKRA_001+002,dense,historical_strangeness,"show evidence"
B017,S3,"beginnt nun zu reisen",book package/transition,IMG011,normal,travel_setup,"no red route line"
B018,S4,"1919 erscheint",bibliographic card -> real 1924 scan,B-G05,normal,document_reveal,"never fake 1919 facsimile"
B019,S4,"Arthur Avalon",clean project/name card,B-G06,hold,identity_mystery,"not 'fake author' ridicule"
B020,S4,"Sir John Woodroffe",real High Court context + generic study,EP04B_PLACE_005+IMG008,normal,character_context,"NPG portrait remains reference-only"
B021,S4,"bengalischen Gelehrten",collaboration wide,IMG009,normal,counterhistory,"reconstruction label"
B022,S4,"Atal Bihari Ghose",hands/detail + name motion,IMG010+B-G06,normal,network_reveal,"no fake portrait"
B023,S4,"Gelehrsamkeit / Macht / Freundschaft / Übersetzung",network motion,B-G06,dense,system_view,"keep relations nuanced"
B024,S4,"Druck in London",real/process print visuals,IMG007+RSV01,normal,material_transition,"dry paper SFX"
B025,S5,"1927 ... Leadbeater",authentic Leadbeater portrait,EP04B_PORTRAIT_001,reset,new_authority,"real archive"
B026,S5,"Theosoph und Hellseher",real Theosophy/Adyar context,EP04B_GROUP_001+PLACE_001,normal,context,"date labels where needed"
B027,S5,"Ich sehe das direkt",authority shift motion,IMG013+B-G08,hold,epistemic_turn,"no supernatural validation"
B028,S5,"Bilder werden einflussreich",authentic Leadbeater plate sheet,EP04B_CHAKRA_002,hold,document_reveal,"let real colors carry beat"
B029,S5,"Andere Farben / Bewegungen / Funktionen",individual real plates,EP04B_CHAKRA_003+004+005+006,dense,variation,"source-native color only"
B030,S5,"drei Schichten",three-layer explanatory motion,B-G10,normal,recap_as_structure,"brief, not lecture"
B031,S6,"eigentliche Mutation",empty acetate stack -> real layers,IMG014+B-G10,dense,mutation_start,"authentic source compositing"
B032,S6,"Farben wichtiger",Leadbeater detail -> later layer,archive+motion,normal,layer_add,"no single inventor"
B033,S6,"Körperfunktionen / Psychologie / Entwicklungsstufen",separate labeled acetate sheets,B-G12,normal,layer_add,"labels are interpretive"
B034,S6,"klare Leiter",modern spectrum interface,IMG015,normal,standardization,"clearly modern"
B035,S6,"Rot ... Violett",spectrum locks in,B-G11,dense,visual_payoff,"clean sequence"
B036,S6,"anschlussfähiger",map absorbs contexts,IMG018,normal,system_turn,"not causal proof"
B037,S6,"Nähte",side-view stack,IMG019,hold,second_turn_setup,"seams visible"
B038,S7,"warum fühlt sie sich ... richtig an",modern life context,IMG016,reset,second_turn,"human relevance"
B039,S7,"Yoga / Büro / Therapie / App",contemporary documentary sequence,IMG016+IMG017,normal,cultural_fit,"ordinary life, no stock glamour"
B040,S7,"absorbiert die Karte alles",layer absorption conceptual,IMG018,normal,cultural_mechanism,"overlap, not magical merge"
B041,S7,"kulturell ... Superkraft",modern map works head-on,IMG020,hold,payoff,"not endorsement of metaphysical truth"
B042,S7,"C. G. Jung",real Jung portrait + historical map,archive+B-G14,normal,new_layer,"psychological interpretation as one layer"
B043,S7,"Muladhara / Manipura / Anahata",brief EP04A-style psychological labels,B-G14,normal,bridge,"do not reopen full EP04A explanation"
