beat,start,dur,states,text
1,0.1,5.28,EP13-C18,"Inside a crown of gold and pearls, in a shrine in Portugal, there is a bullet."
2,5.42,1.16,EP13-C13,It was fired at a pope.
3,7.12,0.69,EP13-C13,He survived.
4,8.34,7.18,H24_HAND_ON_ENVELOPE|H01_ENVELOPE_SEALED,"And two months later, still recovering from surgery, he asked for an envelope that had been sealed for thirty-seven years."
5,15.56,7.18,CLIP09_PUTTING_IT_AWAY,"Two popes before him had opened that envelope, read what was inside, and closed it again without telling anyone."
6,22.76,5.83,EP13-C01,"The shooting happened on the thirteenth of May, 1981, in Saint Peter's Square."
7,28.7,9.68,P08_SHEPHERD_CHILDREN_DISTANT|EP13-C07,"Sixty-four years earlier, on the thirteenth of May, 1917, three children herding sheep near a Portuguese village said that a woman of light had spoken to them."
8,38.42,3.68,EP13-C26,One of those children later wrote down part of what she saw.
9,42.14,2.75,H18_LOCKED_DOOR,That is the text inside the envelope.
10,44.94,5.02,V14_DOORWAY_LIGHT,"So this story asks two questions, and the second one is stranger than the first."
11,50.0,1.36,V13_PAGE_DISSOLVING,What did he read?
12,51.38,5.13,H28_GOLD_UNDER_GLASS,And how does a bullet fired in Rome end up set inside a crown in Portugal?
13,56.6,3.34,H08_ENVELOPE_CARRIED,"So follow the envelope, because the envelope can be traced."
14,59.95,2.81,CLIP03_WRITING,It begins with a girl and a pencil.
15,62.92,12.02,EP13-C14|EP13-C10|EP13-C11,"The reported apparitions at Fatima ran through the summer of 1917. The children spoke about prayer, about war, about Russia, and about things they would not describe in full."
16,74.98,7.52,CARD01_1944|P12_WOMAN_WRITING_ROOM,"Twenty-seven years later, on the third of January, 1944, one of them sat down and wrote the last part out."
17,82.58,3.18,EP13-C27,Lucia dos Santos was the only one of the three still alive.
18,85.8,4.18,H06_FOLDING_SHEET,"And the moment she put the pencil down, the story changed shape."
19,90.02,3.12,CLIP04_SEALING,A reported vision became an object.
20,93.24,7.18,H19_PAPERS_ON_DESK_NIGHT|H36_KEY_RING,"Paper. Ink. A sealed envelope that can be carried, stored, guarded, and handed to one person at a time."
21,100.5,5.14,CARD02_1957,In 1957 the envelope was brought to Rome and placed in the archive of the Holy Office.
22,105.7,4.88,P02_ARCHIVIST_AT_WORK,"Hold that situation in your mind for a second, because it is a strange one."
23,110.62,0.7,H35_SAFE_DOOR,A document exists.
24,111.38,3.07,P06_TWO_MEN_TALKING,Its author is alive and can be asked about it.
25,114.5,2.86,P09_CLERK_CARRYING_BOX,The men permitted to read it are known by name.
26,117.42,4.12,H16_NEWSPAPER_STACK,And everyone else is told only that it is there.
27,121.56,2.44,EP13-C12|H09_READING_ALONE,"In 1959, John the Twenty-Third read it."
28,124.06,2.14,H11_DESK_AFTER_READING,He did not publish it.
29,126.26,2.16,EP13-C04,"Six years later, Paul the Sixth read it."
30,128.46,2.66,CARD03_TWO_POPES,He sent it back to the archive.
31,131.26,6.3,CARD03_TWO_POPES,"Each time a pope opened that envelope, the silence afterwards became a decision instead of an accident."
32,137.6,3.7,P05_CONGREGATION_WAITING,And every decision made the empty space around it larger.
33,141.38,7.44,EP13-C05|EP13-C21,"People filled that space with wars, with a coming crisis in the Church, with the end of the world, with the deaths of popes."
34,148.9,5.14,P14_MAN_ALONE_PEW,Every one of those ideas grew out of a single fact: the page stayed closed.
35,154.1,3.12,H38_EMPTY_CHAIR_LAMP,What would you have assumed was inside?
36,157.28,3.3,EP13-C02,"Then came the thirteenth of May, 1981."
37,160.66,5.0,P03_CROWD_FACES_1981,Five nineteen in the afternoon. Saint Peter's Square is crowded.
38,165.7,5.02,P15_OPEN_CAR_IN_CROWD,John Paul II is moving slowly through the crowd in an open car.
39,171.27,0.78,P04_CROWD_ALARM_FACES,Mehmet Ali Agca fires.
40,172.4,4.82,H21_EMPTY_SQUARE_AFTER|P13_DOCTORS_CORRIDOR,"The pope is hit, driven out of the square, and taken into surgery."
41,177.26,0.2,H22_SURGICAL_LIGHT,He survives.
42,177.48,4.02,H23_WINDOW_AFTERNOON,"And while he is recovering, he does something nobody asked him to do."
43,181.56,1.92,P01_NURSE_BEDSIDE_1981,He asks for the envelope.
44,183.58,6.66,CARD04_1981|H14_TWO_ENVELOPES,"On the eighteenth of July, 1981, the Portuguese original and an Italian translation are brought to him."
45,190.26,2.06,P11_HANDOVER_TWO_MEN,Put yourself in that room.
46,192.44,1.92,H44_MIRROR_ROOM,You are recovering from gunshot wounds.
47,194.4,4.94,EP13-C03,You were shot on the anniversary of the day this entire story began.
48,199.4,12.94,H42_PRINTED_COLUMN|H46_SHELF_OF_BOXES,"On the table beside you is a text written thirty-seven years ago by a woman who is still alive. Sealed. Carried across a continent. Read by two of your predecessors, and explained by neither."
49,212.4,1.94,V17_LIGHT_THROUGH_PAPER,You are about to open it.
50,214.4,1.92,V15_LOOKING_FOR_THE_WORLD,Are you looking for the world in there?
51,216.36,3.92,V19_LOOKING_FOR_YOURSELF,Or are you looking for yourself?
52,220.4,2.42,CARD08_DECISION,Leave one word below: WORLD or MYSELF.
53,222.84,4.74,CARD08_DECISION,"Hold on to your answer, because it decides how you read the next part."
54,227.62,6.74,CARD05_2000,"The Vatican published the manuscript in the year 2000, as a photographic facsimile with a translation and a commentary."
55,234.44,1.96,H27_ARCHIVE_LEDGER,So we can read exactly what he read.
56,236.44,6.38,H45_OBJECT_LINE,Read it the way he had to. From a hospital bed. Two months after somebody shot you.
57,242.9,8.54,CLIP01_FLAMES_FAIL|V12_SWORD_ALONE,"The vision opens with an angel holding a flaming sword. The flames look as though they will set the world on fire, and they go out."
58,251.46,2.88,V02_FIGURE_IN_WHITE,Then the children see a bishop dressed in white.
59,254.4,3.86,V07_THE_IMPRESSION,They write that they had the impression this was the Holy Father.
60,258.32,3.66,V03_RUINED_STREET,"He walks through a large city, half of it in ruins."
61,262.02,2.44,CLIP10_THE_WAY,He passes bodies on the way.
62,264.5,7.66,CLIP06_THE_CLIMB|V05_THE_CLIMB,"He climbs a steep mountain with other bishops, priests and lay people, and at the top there is a large cross."
63,272.2,5.46,V06_THE_FALL,"There, at the top, a group of soldiers fires at him with bullets and arrows."
64,277.7,0.44,V06_THE_FALL,He falls.
65,278.18,2.06,V08_EMPTY_SUMMIT,The others are killed with him.
66,280.3,2.92,CARD06_CONTAINS,Now notice what the page never says.
67,283.24,1.24,CARD07_NEVER_SAYS,It gives no name.
68,284.52,1.34,CARD07_NEVER_SAYS,It gives no date.
69,285.9,3.95,CARD07_NEVER_SAYS,"There is no square, no car, no crowd, no ambulance."
70,289.86,2.62,V18_THE_MAN_DOES_NOT_RISE,And the bishop in white does not survive.
71,292.54,3.18,P07_PILGRIMS_CANDLES,The man reading it in July 1981 did.
72,295.76,3.25,V11_THE_PAGE_IN_YOUR_HANDS,"So what would you do with that page, if you were him?"
73,299.1,7.12,H41_THREE_CHAIRS_ANGLES,Which is where this stops being a story about a prophecy and becomes a story about reading.
74,306.3,9.78,EP13-C31|P10_PRESS_1981,"In 2000, Cardinal Angelo Sodano announced the publication at Fatima and described the pope's own conviction: that it was a mother's hand that guided the bullet's path."
75,316.16,11.18,EP13-C09|EP13-C16,"Before the release, Sister Lucia was interviewed again. According to the Vatican's record of that conversation, she confirmed that the central figure was a pope, without identifying which one."
76,327.4,9.48,EP13-C30|EP13-X11,"The Vatican's own commentary read the scene broadly, as an image of the persecutions of the twentieth century, and connected the 1981 attack to that image."
77,336.92,4.0,V10_MARTYRS_LINE,So one page carried three readings at the same time.
78,340.98,2.46,V10_MARTYRS_LINE,A century of martyrs.
79,343.5,1.32,EP13-C19,One afternoon in Rome.
80,344.88,3.45,EP13-C25,And one man's understanding of why he was still alive.
81,349.0,0.92,EP13-Y04,Which brings your answer back.
82,349.96,3.21,H39_CALENDAR_PAGES,When do we agree that a prophecy has been fulfilled?
83,353.22,2.36,H39_CALENDAR_PAGES,When it names an event in advance?
84,355.64,5.87,EP13-C23,Or when a person survives something and recognises their own experience inside an older image?
85,361.54,4.58,EP13-C24,The second kind is how most people actually use the texts they believe in.
86,366.16,2.98,EP13-X10,Which leaves the other question from the start of this episode.
87,369.16,3.28,EP13-Y01,How does a bullet get into a crown?
88,372.74,4.0,EP13-X03,"One year after the shooting, John Paul II travelled to Fatima."
89,376.78,3.53,EP13-X09,By then his survival had become part of this story for him.
90,380.36,4.38,EP13-X07,One of the projectiles from the attack was given to the shrine.
91,384.8,6.46,CLIP08_SETTING_THE_METAL|EP13-Y03,In 1989 it was set into the precious crown of the statue of Our Lady of the Rosary of Fatima.
92,391.32,0.78,EP13-X14,It is still there.
93,392.2,4.84,EP13-C06,And that is the image this whole episode has been walking toward.
94,397.4,4.92,V21_CROWN_SHAPE_DISSOLVE,"Metal from an assassination attempt, resting among gold and pearls and precious stones."
95,402.66,5.06,EP13-Y05,"An object made for violence, absorbed into an object made for devotion."
96,408.2,3.44,EP13-X04,"The thirteenth of May, 1981, now has a physical address."
97,411.7,4.54,H51_FIVE_FORMS_ROW,Look at what actually happened across those eighty-three years.
98,416.34,2.64,H48_PAGE_BECOMES_OBJECT,A reported vision became a handwritten page.
99,419.67,1.77,H52_ENVELOPE_ALONE_WIDE,The page became a sealed object.
100,421.54,4.63,H49_BOX_ON_SHELF_ALONE,The object entered an archive and gained power over people who were never allowed to read it.
