id,episodes,title,traffic_light,license,source_page,download_url,filename,relative_dir,auto_download,expected_kind
EP06_EXP_001,EP06,Sleep EEG Stage 1 polysomnographic record,GREEN,Public Domain dedication,https://commons.wikimedia.org/wiki/File:Sleep_EEG_Stage_1.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sleep%20EEG%20Stage%201.jpg,EP06_S03_Sleep_EEG_Stage_1_PSG_PD.jpg,EP06/01_ORIGINAL_GREEN/SCIENCE_LAB,1,image
EP06_EXP_002,EP06,Sleep EEG Stage 2 polysomnographic record,GREEN,Public Domain dedication,https://commons.wikimedia.org/wiki/File:Sleep_EEG_Stage_2.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sleep%20EEG%20Stage%202.jpg,EP06_S03_Sleep_EEG_Stage_2_PSG_PD.jpg,EP06/01_ORIGINAL_GREEN/SCIENCE_LAB,1,image
EP06_EXP_003,EP06,Polysomnography trace with obstructive sleep apnea,YELLOW,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Polysomnography.png,https://commons.wikimedia.org/wiki/Special:Redirect/file/Polysomnography.png,EP06_S03_Polysomnography_trace_CC-BY-SA-3.0.png,EP06/02_REVIEW_YELLOW/SCIENCE_DIAGRAM,1,image
EP06_EXP_004,EP06,Patient equipped for ambulatory polysomnography,YELLOW,Commons own-work upload; manual license check before final publish,https://commons.wikimedia.org/wiki/File:Polysmonograpy_equipped_patient.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Polysmonograpy%20equipped%20patient.jpg,EP06_S03_Polysomnography_equipped_patient_REVIEW.jpg,EP06/02_REVIEW_YELLOW/SCIENCE_LAB,1,image
EP06_EXP_005,EP06,EEG cap icon,GREEN,CC0 1.0,https://commons.wikimedia.org/wiki/File:EEG_Cap_-_The_Noun_Project.svg,https://commons.wikimedia.org/wiki/Special:Redirect/file/EEG%20Cap%20-%20The%20Noun%20Project.svg,EP06_S03_EEG_Cap_Icon_CC0.svg,EP06/01_ORIGINAL_GREEN/SCIENCE_ICONS,1,image
EP06_EXP_006,EP06,Fogo Island–Cape Freels electoral district map,YELLOW,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Fogo_Island-Cape_Freels_electoral_district_map.svg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Fogo%20Island-Cape%20Freels%20electoral%20district%20map.svg,EP06_S02_Fogo_Island_Cape_Freels_map_CC-BY-SA-4.0.svg,EP06/02_REVIEW_YELLOW/MAPS,1,image
EP06_EXP_007,EP06,64-channel EEG cap photograph,YELLOW,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:EEG_Cap_on_melon.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/EEG%20Cap%20on%20melon.jpg,EP06_S03_64_Channel_EEG_Cap_CC-BY-SA-4.0.jpg,EP06/02_REVIEW_YELLOW/SCIENCE_LAB,1,image
EP07_EXP_001,EP07,"Examinations of Sarah Good, Sarah Osburn, and Tituba, as Recorded by Ezekiel Cheever",GREEN,Massachusetts government record — available for public use,https://digitalarchives.sec.state.ma.us/uncategorised/SO_01d12510-bdb9-4463-b25a-3b7295a0e9a7/,https://digitalarchives.sec.state.ma.us/download/file/IO_4ea7554c-eee2-4abe-a2f7-2a11be4af72a,EP07_S01_Sarah_Good_Sarah_Osburn_Tituba_Examinations_1692,EP07/01_ORIGINAL_GREEN/SALEM_PRIMARY_DOCUMENTS,1,detect
EP07_EXP_002,EP07,Examination of Rebecca Nurse,GREEN,Massachusetts government record — available for public use,https://digitalarchives.sec.state.ma.us/uncategorised/SO_69f85161-f64b-428e-8fdf-0cb52fa44be7/,https://digitalarchives.sec.state.ma.us/download/file/IO_30910f55-5822-4b40-a1d7-d3e1f14ea968,EP07_S01_Rebecca_Nurse_Examination_1692,EP07/01_ORIGINAL_GREEN/SALEM_PRIMARY_DOCUMENTS,1,detect
EP07_EXP_003,EP07,Deposition of Mary Walcott and Elizabeth Hubbard v. John Proctor et al.,GREEN,Massachusetts government record — available for public use,https://digitalarchives.sec.state.ma.us/uncategorised/SO_78ee8ee6-7712-41e2-b2fa-8b9b74c4e64e/,https://digitalarchives.sec.state.ma.us/download/file/IO_1428d881-9690-4c15-97bc-006b10ff2524,EP07_S01_Mary_Walcott_Elizabeth_Hubbard_v_John_Proctor_1692,EP07/01_ORIGINAL_GREEN/SALEM_PRIMARY_DOCUMENTS,1,detect
EP07_EXP_004,EP07,"Mittimus for Martha Corey, Rebecca Nurse, Dorothy Good, Sarah Cloyce, John Proctor, and Elizabeth Proctor",GREEN,Massachusetts government record — available for public use,https://digitalarchives.sec.state.ma.us/uncategorised/SO_4ac3ae25-9c1c-42c0-9b94-b1257e2fc01e/,https://digitalarchives.sec.state.ma.us/download/file/IO_6032c3ab-46b4-4f59-9eaf-266bb2baa800,EP07_S01_Mittimus_Martha_Corey_Rebecca_Nurse_1692,EP07/01_ORIGINAL_GREEN/SALEM_PRIMARY_DOCUMENTS,1,detect
