cue_id,scene,scene_title,est_start,est_end,voice_anchor_start,voice_anchor_end,voice_excerpt,visual_type,visual_concept,reference_assets,generation_id,edit_hold_rule,highlight_rule,sync_rule
EP04_C001,S1,Das psychische Raetsel,0.0,8.0,1932 sitzt C. G. Jung,"ueber ein System, das aus","1932 sitzt C. G. Jung in Zuerich vor einem Kreis von Zuhoerern und spricht ueber ein System, das aus",AI_RECON,"1930s Zurich psychological seminar atmosphere, symbolic inner topography, restrained mysterious documentary editorial image, short legible text and referenced historical faces are allowed",,IMG01,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C002,S1,Das psychische Raetsel,8.0,16.0,einer voellig anderen geistigen Welt,dass Jung an diesem Abend,"einer voellig anderen geistigen Welt stammt: Kundalini-Yoga und die Chakren. Das Erstaunliche ist nicht, dass Jung an diesem Abend",AI_RECON,"1930s Zurich psychological seminar atmosphere, symbolic inner topography, restrained mysterious documentary editorial image, short legible text and referenced historical faces are allowed",,IMG02,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C003,S1,Das psychische Raetsel,16.0,24.0,ueber Esoterik spricht. Das Erstaunliche,"nicht wie sieben anatomische Organe,","ueber Esoterik spricht. Das Erstaunliche ist, was er damit macht. Er behandelt die Chakren nicht wie sieben anatomische Organe,",AI_RECON,"1930s Zurich psychological seminar atmosphere, symbolic inner topography, restrained mysterious documentary editorial image, short legible text and referenced historical faces are allowed",,IMG03,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C004,S1,Das psychische Raetsel,24.0,32.0,die irgendwo im Koerper nachgewiesen,"symbolische Topographie dafuer, wie sich","die irgendwo im Koerper nachgewiesen werden muessten. Er liest sie als Karte. Als eine symbolische Topographie dafuer, wie sich",AI_RECON,"1930s Zurich psychological seminar atmosphere, symbolic inner topography, restrained mysterious documentary editorial image, short legible text and referenced historical faces are allowed",,IMG04,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C005,S1,Das psychische Raetsel,32.0,40.0,menschliches Bewusstsein veraendern kann. Die,sich derselbe Mensch in verschiedenen,menschliches Bewusstsein veraendern kann. Die Frage dahinter ist bis heute unangenehm aktuell: Warum fuehlt sich derselbe Mensch in verschiedenen,AI_RECON,"1930s Zurich psychological seminar atmosphere, symbolic inner topography, restrained mysterious documentary editorial image, short legible text and referenced historical faces are allowed",,IMG05,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C006,S1,Das psychische Raetsel,40.0,47.9,"Situationen an, als wuerde er",Unter Bedrohung werden wir eng.,"Situationen an, als wuerde er aus verschiedenen Stockwerken seiner eigenen Psyche handeln? Unter Bedrohung werden wir eng.",AI_RECON,"1930s Zurich psychological seminar atmosphere, symbolic inner topography, restrained mysterious documentary editorial image, short legible text and referenced historical faces are allowed",,IMG06,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C007,S1,Das psychische Raetsel,47.9,55.9,In Begehren werden wir getrieben.,manchmal entsteht ploetzlich Abstand: Man,In Begehren werden wir getrieben. In Wut scheint etwas die Kontrolle zu uebernehmen. Und manchmal entsteht ploetzlich Abstand: Man,AI_RECON,"1930s Zurich psychological seminar atmosphere, symbolic inner topography, restrained mysterious documentary editorial image, short legible text and referenced historical faces are allowed",,IMG07,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C008,S1,Das psychische Raetsel,55.9,62.9,"fuehlt die Emotion noch, aber",mit ihr identisch. Jung sah,"fuehlt die Emotion noch, aber man ist nicht mehr vollkommen mit ihr identisch. Jung sah",AI_RECON,"1930s Zurich psychological seminar atmosphere, symbolic inner topography, restrained mysterious documentary editorial image, short legible text and referenced historical faces are allowed",,IMG08,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C009,S1,Das psychische Raetsel,62.9,67.9,in der alten Chakra-Symbolik eine,Sprache fuer genau solche Uebergaenge.,in der alten Chakra-Symbolik eine Sprache fuer genau solche Uebergaenge.,VECTOR_DIAGRAM,"1930s Zurich psychological seminar atmosphere, symbolic inner topography, restrained mysterious documentary editorial image, short legible text and referenced historical faces are allowed",,IMG09,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C010,S2,Woher die Karte kam,67.9,75.9,Jung erfand diese Karte nicht.,in Zuerich ueber tantrischen Yoga,Jung erfand diese Karte nicht. Anfang Oktober 1932 hatte der Indologe Jakob Wilhelm Hauer in Zuerich ueber tantrischen Yoga,AI_RECON,"historical cross-cultural scholarship, old books, tantric lotus diagrams, Zurich seminar notes, archival documentary composition, accurate period objects",,IMG10,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C011,S2,Woher die Karte kam,75.9,83.9,gesprochen. Kurz darauf folgten Jungs,Woodroffes Werk The Serpent Power.,gesprochen. Kurz darauf folgten Jungs eigene Seminarsitzungen. Eine wichtige westliche Textgrundlage war Sir John Woodroffes Werk The Serpent Power.,ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C012,S2,Woher die Karte kam,83.9,91.9,Woodroffe hatte unter dem Namen,machte im fruehen zwanzigsten Jahrhundert,Woodroffe hatte unter dem Namen Arthur Avalon tantrische Texte uebersetzt und kommentiert. Sein Buch machte im fruehen zwanzigsten Jahrhundert,AI_RECON,"historical cross-cultural scholarship, old books, tantric lotus diagrams, Zurich seminar notes, archival documentary composition, accurate period objects",,IMG11,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C013,S2,Woher die Karte kam,91.9,99.8,Darstellungen der sogenannten Zentren oder,hier ist eine Korrektur wichtig.,Darstellungen der sogenannten Zentren oder Lotusse fuer ein westliches Publikum sichtbar. Schon hier ist eine Korrektur wichtig.,ORIGINAL_ASSET,Use original asset B_AJNA_1918 with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_AJNA_1918,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C014,S2,Woher die Karte kam,99.8,107.8,"Es gibt nicht den einen,","Traditionen kennen unterschiedliche Anzahlen, Namen","Es gibt nicht den einen, zeitlosen Chakra-Plan, der ueberall identisch ueberliefert wurde. Verschiedene indische Traditionen kennen unterschiedliche Anzahlen, Namen",AI_RECON,"historical cross-cultural scholarship, old books, tantric lotus diagrams, Zurich seminar notes, archival documentary composition, accurate period objects",,IMG12,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C015,S2,Woher die Karte kam,107.8,115.8,"und Deutungen. Das System, mit",und den tausendblaettrigen Lotus Sahasrara.,"und Deutungen. Das System, mit dem Jung arbeitete, beschreibt eine aufsteigende Folge von Zentren und den tausendblaettrigen Lotus Sahasrara.",ORIGINAL_ASSET,Use original asset B_HAUER_1935 with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_HAUER_1935,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C016,S2,Woher die Karte kam,115.8,123.8,Fuer Jung war daran nicht,"war, dass die Symbole eine","Fuer Jung war daran nicht entscheidend, ob diese Zentren als messbare Koerperorgane existieren. Entscheidend war, dass die Symbole eine",AI_RECON,"historical cross-cultural scholarship, old books, tantric lotus diagrams, Zurich seminar notes, archival documentary composition, accurate period objects",,IMG13,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C017,S2,Woher die Karte kam,123.8,130.3,Bewegung darstellen: vom Gebundensein an,immer abstrakteren Formen psychischer Erfahrung.,Bewegung darstellen: vom Gebundensein an konkrete Existenz hin zu immer abstrakteren Formen psychischer Erfahrung.,ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C018,S3,Die unteren Zentren,130.3,138.3,"Jungs Ausgangspunkt war Muladhara, das","unserer bewussten, irdischen und persoenlichen","Jungs Ausgangspunkt war Muladhara, das Wurzelzentrum. In seinem Seminar deutete er es als Bild unserer bewussten, irdischen und persoenlichen",VECTOR_DIAGRAM,"clean symbolic vertical map of psychological modes from earth to water to fire, human silhouette, editorial diagram, not medical anatomy",,IMG14,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C019,S3,Die unteren Zentren,138.3,146.3,"Existenz. Erde, Gewicht, Verwurzelung, das","der Zustand, in dem Alltag,","Existenz. Erde, Gewicht, Verwurzelung, das Leben im Konkreten. Nicht niedrig im moralischen Sinn. Sondern der Zustand, in dem Alltag,",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C020,S3,Die unteren Zentren,146.3,154.2,"Koerper, Besitz, Rolle und unmittelbare",das mit Wasser verbunden ist.,"Koerper, Besitz, Rolle und unmittelbare Realitaet den Horizont bilden. Dann kommt Svadhisthana, das mit Wasser verbunden ist.",AI_RECON,"clean symbolic vertical map of psychological modes from earth to water to fire, human silhouette, editorial diagram, not medical anatomy",,IMG15,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C021,S3,Die unteren Zentren,154.2,162.2,In Jungs Lesart beginnt hier,mehr so sauber kontrollieren laesst.,"In Jungs Lesart beginnt hier die Begegnung mit einem Bereich, der sich nicht mehr so sauber kontrollieren laesst.",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C022,S3,Die unteren Zentren,162.2,170.2,Wasser wird zur passenden Metapher,nicht mehr auf festem Boden.,"Wasser wird zur passenden Metapher fuer das Unbewusste: Man kann hineinsteigen, aber man steht nicht mehr auf festem Boden.",AI_RECON,"clean symbolic vertical map of psychological modes from earth to water to fire, human silhouette, editorial diagram, not medical anatomy",,IMG16,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C023,S3,Die unteren Zentren,170.2,178.2,"Danach Manipura, das Feuerzentrum. Jung","Hitze, in der wir nicht","Danach Manipura, das Feuerzentrum. Jung verbindet es mit Leidenschaft, Affekt, Begehren und jener inneren Hitze, in der wir nicht",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_C024,S3,Die unteren Zentren,178.2,186.2,"nur etwas fuehlen, sondern vom",Ein Konflikt beginnt vielleicht mit,"nur etwas fuehlen, sondern vom Gefuehl ergriffen werden. Man kann das sehr alltaeglich lesen. Ein Konflikt beginnt vielleicht mit",AI_RECON,"clean symbolic vertical map of psychological modes from earth to water to fire, human silhouette, editorial diagram, not medical anatomy",,IMG17,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
