generation_id,episode,scene,role,cue_id,prompt,reference_assets,aspect,do_not_use_as_evidence,status
IMG01,EP03,1,MAIN,EP03_V_003,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: anonymous late-1970s defense analyst opening a thick foreign-technology report, no insignia. NARRATION BEAT TO MATCH: dem Deckblatt steht: *Paraphysics R&D — Warsaw Pact*. Er wurde von der Foreign. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01; P02; P03,16:9,YES,GENERATE
IMG02,EP03,1,MAIN,EP03_V_008,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: anonymous late-1970s defense analyst opening a thick foreign-technology report, no insignia. NARRATION BEAT TO MATCH: auf andere Menschen entstehen könnte. Das klingt wie eine Akte über eine fertige. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01; P02; P03,16:9,YES,GENERATE
IMG03,EP03,2,MAIN,EP03_V_011,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: clean Warsaw Pact map with research-to-assessment arrow, no modern political embellishment. NARRATION BEAT TO MATCH: Im Vorwort steht ziemlich genau, wozu die Studie gedacht war. Sie sollte. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01; P02; P03,16:9,YES,GENERATE
IMG04,EP03,2,MAIN,EP03_V_013,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: anonymous US defense analysts at a 1978 briefing table with translated scientific papers, no faces emphasized. NARRATION BEAT TO MATCH: laufende Forschung und mögliche zukünftige Entwicklungen. Der Schwerpunkt lag auf der Sowjetunion.. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01; P02; P03,16:9,YES,GENERATE
IMG05,EP03,2,MAIN,EP03_V_015,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: flow: Warsaw Pact publications -> US collection -> FTD assessment -> DoD/intelligence consumers. NARRATION BEAT TO MATCH: ausdrücklich nicht die breite Öffentlichkeit. Der Bericht war für Forschungseinrichtungen des US-Verteidigungsministeriums,. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01; P02; P03,16:9,YES,GENERATE
IMG06,EP03,2,MAIN,EP03_V_016,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: clean Warsaw Pact map with research-to-assessment arrow, no modern political embellishment. NARRATION BEAT TO MATCH: die Intelligence Community und weitere Regierungsstellen bestimmt. Das ist der erste. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01; P02; P03,16:9,YES,GENERATE
IMG07,EP03,2,MAIN,EP03_V_018,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: anonymous US defense analysts at a 1978 briefing table with translated scientific papers, no faces emphasized. NARRATION BEAT TO MATCH: wollten wissen, ob hinter sowjetischen Berichten über ungewöhnliche mentale Fähigkeiten etwas steckte,. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01; P02; P03,16:9,YES,GENERATE
IMG08,EP03,2,MAIN,EP03_V_020,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: flow: Warsaw Pact publications -> US collection -> FTD assessment -> DoD/intelligence consumers. NARRATION BEAT TO MATCH: Aber im Kalten Krieg reicht manchmal schon eine andere Frage: Was,. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01; P02; P03,16:9,YES,GENERATE
IMG09,EP03,2,MAIN,EP03_V_021,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: clean Warsaw Pact map with research-to-assessment arrow, no modern political embellishment. NARRATION BEAT TO MATCH: wenn der Gegner glaubt, dass sie möglich ist — und deshalb weiterforscht?. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01; P02; P03,16:9,YES,GENERATE
IMG10,EP03,3,MAIN,EP03_V_022,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: hierarchy diagram PARAPHYSICS -> PSYCHOENERGETICS -> BIOINFORMATION/BIOENERGETICS -> PSYCHOTRONICS instrumentation emphasis. NARRATION BEAT TO MATCH: „Psychotronik“ klingt heute nach einer fertigen Maschine, die Gedanken sendet oder. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01,16:9,YES,GENERATE
IMG11,EP03,3,MAIN,EP03_V_023,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: anonymous Eastern European research lab reconstruction with analog sensors, shielded cables and paper charts, no fantasy devices. NARRATION BEAT TO MATCH: Menschen fernsteuert. Der Bericht benutzt den Begriff vorsichtiger. Er beschreibt Paraphysik als. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01,16:9,YES,GENERATE
IMG12,EP03,3,MAIN,EP03_V_024,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: conceptual human-information interaction shown as restrained field lines, explicitly a model not proof. NARRATION BEAT TO MATCH: Sammelfeld für ungewöhnliche mentale Funktionen und Wechselwirkungen: Telepathie, Hellsehen, Fernwahrnehmung, Psychokinese. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01,16:9,YES,GENERATE
IMG13,EP03,3,MAIN,EP03_V_026,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: instrumentation emphasis graphic: human subject + sensors + measurement apparatus. NARRATION BEAT TO MATCH: der Begriff Psychoenergetik auf — informationsbezogene und energetische Prozesse, die mit paranormaler. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",P01,16:9,YES,GENERATE
