asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,hd_capable,bytes,sha256,shared_with
EP13-C01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_St_Peter_s_Square_Vatican_City_2025_03_10_jpg.jpg,"File:St Peter's Square, Vatican City 2025-03-10.jpg","https://commons.wikimedia.org/wiki/File:St_Peter's_Square,_Vatican_City_2025-03-10.jpg",CC0,C1815,2025-03-10 13:35:49,6000x4000,24.0,YES,12354017,6b58d3238c2624a5f4f67dc1b891d23fb7a0ce831ee11b79082799f83cedd1aa,-
EP13-C02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Saint_Peter_s_Square_Vatican_City_DSC00626_jpg.jpg,File:Saint Peter's Square - Vatican City - DSC00626.jpg,https://commons.wikimedia.org/wiki/File:Saint_Peter's_Square_-_Vatican_City_-_DSC00626.jpg,CC0,Daderot,2019-04-05 23:56:26,5472x3648,19.96,YES,8786744,a068b52b037d2955bc0253c4fe507e947e910353baabc1d22882f49b3b61bb68,-
EP13-C03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Saint_Peter_s_Square_Vatican_City_DSC00641_jpg.jpg,File:Saint Peter's Square - Vatican City - DSC00641.jpg,https://commons.wikimedia.org/wiki/File:Saint_Peter's_Square_-_Vatican_City_-_DSC00641.jpg,CC0,Daderot,2019-04-05 23:59:41,5472x3648,19.96,YES,10036100,6cf71a9a8e98d39ec2ce707f08424729f24c568f1ea4865381916cd38922f103,-
EP13-C04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Pope_Paul_VI_visiting_U_N_United_Nations_New_York_LCCN2020732639_jpg.jpg,"File:Pope (Paul VI), visiting U.N. (United Nations, New York) LCCN2020732639.jpg","https://commons.wikimedia.org/wiki/File:Pope_(Paul_VI),_visiting_U.N._(United_Nations,_New_York)_LCCN2020732639.jpg",Public domain,Bernard Gotfryd,Original:  1965;  This version,3348x4935,16.52,YES,824401,022a44099e5072be0a8122406ef267758c5c70d3f6ddfe0c87a21dd953e5061c,-
EP13-C05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Albrecht_D_rer_The_Seven_Angels_with_the_Trumpets_probably_c_1496_1498.jpg,"File:Albrecht Dürer, The Seven Angels with the Trumpets, probably c. 1496-1498, NGA 52559.jpg","https://commons.wikimedia.org/wiki/File:Albrecht_Dürer,_The_Seven_Angels_with_the_Trumpets,_probably_c._1496-1498,_NGA_52559.jpg",CC0,Albrecht Dürer,probably c. 1496/1498,2885x4000,11.54,YES,12576757,0e52142a70fe57fbef68bd95048005d881f66184d838235d6de514243641cda1,-
EP13-C06,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Popemobile_assassination_attempt_John_Paul_II_13_may_1981_Vatican_13_j.jpg,File:Popemobile assassination attempt John Paul II 13 may 1981 Vatican 13.jpg,https://commons.wikimedia.org/wiki/File:Popemobile_assassination_attempt_John_Paul_II_13_may_1981_Vatican_13.jpg,CC0,Jebulon,2013-08-21 14:36:10,3210x2582,8.29,YES,6398588,996c9b7d75b405cafa543b29fab471d311f81e990218bf619e7c870b5c0c7343,-
EP13-C07,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Children_of_F_tima_portrait_Attributed_to_Joshua_Benoliel_Ilustra_o_Po.jpg,"File:Children of Fátima portrait (Attributed to Joshua Benoliel) – Ilustração Portuguesa, 1917.jpg","https://commons.wikimedia.org/wiki/File:Children_of_Fátima_portrait_(Attributed_to_Joshua_Benoliel)_–_Ilustração_Portuguesa,_1917.jpg",Public domain,Attributed to Joshua Benoliel,circa October 1917date QS:P571,2217x2772,6.15,YES,3298625,5fc3bc180175536828e52bf2572d591c3de260a824024fc01647a3c74941e9c2,-
EP13-C08,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_President_Ronald_Reagan_Meeting_with_Pope_John_Paul_Ii_at_The_Fairbank.jpg,File:President Ronald Reagan Meeting with Pope John Paul Ii at The Fairbanks Airport in Alaska - DPLA - 953328610af199091e9c016c7c627a3b.jpg,https://commons.wikimedia.org/wiki/File:President_Ronald_Reagan_Meeting_with_Pope_John_Paul_Ii_at_The_Fairbanks_Airport_in_Alaska_-_DPLA_-_953328610af199091e9c016c7c627a3b.jpg,Public domain,President (1981-1989 : Reagan). White House Photographic Office. 1981-,2 May 1984,3000x1989,5.97,YES,2839669,2abfe5d48bafc6ad5895d74da9550d04a842bf3dac3a9566d404251fe697e0a2,-
EP13-C09,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_Jacinta_marto_lucia_santos_jpg.jpg,File:Jacinta marto lucia santos.jpg,https://commons.wikimedia.org/wiki/File:Jacinta_marto_lucia_santos.jpg,Public domain,Unknown authorUnknown author,1917,1240x1772,2.2,YES,1690533,e2672e2c7c01e577c5a7efa121c310d07474630093f5d15cd387061acebf1af6,-
EP13-C10,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP13_People_looking_miracle_sun_jpg.jpg,File:People looking miracle sun.jpg,https://commons.wikimedia.org/wiki/File:People_looking_miracle_sun.jpg,Public domain,Judah Bento Ruah,Taken on 13 October 1917,1669x1181,1.97,NO,379576,e95a29699a442b2a6214e4dbd4bce67417f93a8ac5cfd02fa5ef5a959be44a5e,-
