filename,cue_id,act,mode,sources,substituted,duration_s,resolution,camera_rule
EDIT001_LATE_NIGHT_SIGNAL_COLLAGE.mp4,V005,S1,hardcut,SRC003_RADIO_STUDIO_1996_FULL.png + SRC004_RADIO_CONSOLE_DETAIL.png + EP08_shortwave_radio_receiver.jpg,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT002_MESSAGE_COUNTER_MATERIAL.mp4,V015,S1,hardcut,CARD001_4500_NACHRICHTEN.png + IMG002_4500_MESSAGES_MATERIAL.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT003_FAX_TO_CRT_HARDCUTS.mp4,V018,S1,hardcut,SRC007_FAX_MACHINE_FULL.png + SRC010_CRT_MONITOR_FULL.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT004_NAMELESS_SIGNAL_NETWORK.mp4,V019,S1,reveal,IMG002_4500_MESSAGES_MATERIAL.png + IMG005_EARLY_WEB_FORUM_RECON.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT005_QUESTION_THRESHOLD.mp4,V020,S1,hold,SHOT08_DAWN_MONITOR_OFF.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT006_DRAWING_NAME_SEQUENCE.mp4,V035,S2,reveal,IMG006_SHADOW_DRAWINGS_SPREAD.png + IMG007_NAME_STABILIZES_SHAPE.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT007_BLANK_SKETCH_TO_SHADOW.mp4,V039,S2,reveal,SHOT06_BLANK_SKETCH_PAGE.png + IMG007_NAME_STABILIZES_SHAPE.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT008_UFO_ARCHIVE_CHRONOLOGY.mp4,V043,S3,hardcut,SRC015_ROSWELL_FBI_COVER.png + SRC016_ROSWELL_REPORTS_FULL.png + SRC017_AREA51_DIAGRAM_FULL.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT009_VESTIBULAR_LAYER_REVEAL.mp4,V051,S3,reveal,IMG011_FLOATING_SENSATION_RECON.png + IMG012_TOUCH_WITHOUT_AGENT.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT010_REALITY_CAUSE_SPLIT.mp4,V056,S3,split,IMG012_TOUCH_WITHOUT_AGENT.png + IMG016_LIE_VS_SPACESHIP_FALSE_CHOICE.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT012_MEMORY_LAYER_COMPOSITE.mp4,V070,S4,hold,IMG014_MEMORY_RECONSTRUCTION_LAYERS.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT013_MEMORY_TO_BRIM_BRIDGE.mp4,V074,S4,reveal,IMG014_MEMORY_RECONSTRUCTION_LAYERS.png + IMG018_HAT_BRIM_MINIMAL.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT014_HAT_VARIATION_SEQUENCE.mp4,V083,S5,hardcut,IMG020_HAT_MAN_REPORT_VARIATIONS.png + IMG021_MULTIPLE_CAUSES_SAME_SILHOUETTE.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT015_EVIDENCE_BOUNDARY.mp4,V088,S5,hardcut,SRC053_DPH_MEDICAL_STATEMENT.png + IMG021_MULTIPLE_CAUSES_SAME_SILHOUETTE.png,yes,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT016_SKETCH_CONVERGENCE.mp4,V095,S5,reveal,SHOT06_BLANK_SKETCH_PAGE.png + IMG023_PATTERN_OR_MEME_BASE.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT017_SEARCH_SEQUENCE.mp4,V101,S6,hardcut,IMG024_SEARCH_AFTER_EXPERIENCE.png + SRC056_WEB_ARCHIVE_STATUS.png,yes,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT018_PATTERN_MEME_EQUAL_SPLIT.mp4,V105,S6,split,IMG023_PATTERN_OR_MEME_BASE.png + IMG021_MULTIPLE_CAUSES_SAME_SILHOUETTE.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT019_BODY_STORY_THRESHOLD.mp4,V108,S6,reveal,IMG008_INTRUDER_OVERLAP_BASE.png + IMG026_FORUM_TO_IMAGE_TO_EXPECTATION.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT020_FEEDBACK_PREVIEW.mp4,V111,S6,reveal,IMG022_INTERNET_SUPPLIES_HAT.png + IMG026_FORUM_TO_IMAGE_TO_EXPECTATION.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT021_SIX_LAYER_LOOP_SETUP.mp4,V114,S6,hardcut,SRC034_SCHNEIDER_MONITOR_FULL.png + IMG022_INTERNET_SUPPLIES_HAT.png + IMG026_FORUM_TO_IMAGE_TO_EXPECTATION.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT022_FILM_IMAGE_SPREAD.mp4,V119,S7,hardcut,SRC058_NIGHTMARE_BIBLIOGRAPHY.png + IMG025_DOCUMENTARY_SCREENING_RECON.png,yes,3.50,1920x1080,NO_PAN_NO_ZOOM
EDIT023_GLOBAL_NODE_REVEAL.mp4,V132,S7,hold,IMG027_GLOBAL_VISUAL_MEMORY.png,no,3.50,1920x1080,NO_PAN_NO_ZOOM
