event,record_in_seconds,record_out_seconds,duration_seconds,record_in_frame,record_out_frame,visual_state_id,primary_asset_id,semantic_mode,internal_mode,motion_class,selected_file_path,first_cue,last_cue,viewer_function,long_hold_reason
KZ-EDL-001,0.000,2.800,2.800,0,70,KZ_CLIP_ROTATION_HOOK,KZ_CLIP_ROTATION_HOOK,PHYSICAL_CHAMBER,RECONSTRUCTION,PROGRESSIVE_MOTION,04_ASSETS/CLIPS/CONFORMED_25FPS/KZ_CLIP_ROTATION_HOOK.mp4,KZ-CUE-001,KZ-CUE-001,Open on the physical rotation question; 2.02-second concrete motion beat,
KZ-EDL-002,2.800,9.200,6.400,70,230,KZ_DATA_PATENT_FILING_ANCHOR,KZ_SEQ_PATENT_HOOK,CONTEMPORARY_CONTEXT,DATA_SOURCE_ANCHOR,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_DATA_PATENT_FILING_ANCHOR.png,KZ-CUE-002,KZ-CUE-002,Verified 1996 filing anchor before the legend expands,
KZ-EDL-003,9.200,15.640,6.440,230,391,KZ_DOC_002,KZ_SEQ_PATENT_HOOK,DOCUMENT_EVIDENCE,ORIGINAL_DOCUMENT,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DOCUMENT_EVIDENCE/KZ_DOC_002.png,KZ-CUE-003,KZ-CUE-003,Reveal the clinical title as an exact document crop,
KZ-EDL-004,15.640,20.880,5.240,391,522,KZ_CARD_MEDICAL_TO_TIME_MACHINE,KZ_SEQ_PATENT_HOOK,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_MEDICAL_TO_TIME_MACHINE.png,KZ-CUE-004,KZ-CUE-004,Make the medical-device versus time-machine escalation legible,
KZ-EDL-005,20.880,23.880,3.000,522,597,KZ_SRC_KOZYREV_PORTRAIT_1983,KZ_SEQ_1983_1996_CONTRADICTION,PERSON_HISTORY,ARCHIVE,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_SRC_KOZYREV_PORTRAIT_1983.png,KZ-CUE-005,KZ-CUE-005,Show Kozyrev at the death-date biography beat,
KZ-EDL-006,23.880,29.720,5.840,597,743,KZ_SRC_INVENTOR_PAIR_1996,KZ_SEQ_1983_1996_CONTRADICTION,PERSON_HISTORY,ARCHIVE,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_SRC_INVENTOR_PAIR_1996.png,KZ-CUE-006,KZ-CUE-006,Show Kaznacheev and Trofimov when the later filing is named,
KZ-EDL-007,29.720,35.720,6.000,743,893,KZ_CARD_1983_1996_CONTRADICTION,KZ_SEQ_1983_1996_CONTRADICTION,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_1983_1996_CONTRADICTION.png,KZ-CUE-007,KZ-CUE-008,Resolve the thirteen-year contradiction without implying Kozyrev built the device,
KZ-EDL-008,35.720,37.760,2.040,893,944,KZ_EN_HERO01,KZ_EN_HERO01,PHYSICAL_CHAMBER,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NANO_BANANA_PRO/KZ_EN_HERO01.png,KZ-CUE-009,KZ-CUE-009,Return once to the accepted chamber geometry for the second contradiction,
KZ-EDL-009,37.760,39.640,1.880,944,991,KZ_FIG_PATENT_CYLINDER,KZ_SEQ_PATENT_CONFIGURATIONS,DOCUMENT_EVIDENCE,ORIGINAL_TECHNICAL_FIGURE,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_FIG_PATENT_CYLINDER.png,KZ-CUE-010,KZ-CUE-010,Match the cylinder configuration claim to the patent figure,
KZ-EDL-010,39.640,41.120,1.480,991,1028,KZ_MODEL_CLOCKWISE_SPIRAL,KZ_SEQ_PATENT_CONFIGURATIONS,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_MODEL_CLOCKWISE_SPIRAL.png,KZ-CUE-011,KZ-CUE-011,Match clockwise spiral wording to the patent geometry,
KZ-EDL-011,41.120,43.200,2.080,1028,1080,KZ_MODEL_PATENT_FIG3_CCW,KZ_SEQ_PATENT_CONFIGURATIONS,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_MODEL_PATENT_FIG3_CCW.png,KZ-CUE-012,KZ-CUE-012,Mirror the verified geometry as an explicitly explanatory counterclockwise state,
KZ-EDL-012,43.200,47.080,3.880,1080,1177,KZ_FIG_PATENT_MOTORIZED_PLATFORM,KZ_SEQ_PATENT_CONFIGURATIONS,DOCUMENT_EVIDENCE,ORIGINAL_TECHNICAL_FIGURE,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_FIG_PATENT_MOTORIZED_PLATFORM.png,KZ-CUE-013,KZ-CUE-013,Show the motorized patent configuration at the rotation claim,
KZ-EDL-013,47.080,48.840,1.760,1177,1221,KZ_EN_REC01_ENTERING,KZ_EN_REC01_ENTERING,PHYSICAL_CHAMBER,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NANO_BANANA_PRO/KZ_EN_REC01_ENTERING.png,KZ-CUE-014,KZ-CUE-014,"Human scale and entry, with no meditation or effect claim",
KZ-EDL-014,48.840,55.680,6.840,1221,1392,KZ_FILM_LUNAR_STORM_SESSION,KZ_SRC_PATENT_LUNAR_GEOMAGNETIC,SUBJECTIVE_MYSTICAL,CLAIM_VISUALIZATION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/FINAL_DOCUMENT_REPAIR/KZ_FILM_LUNAR_STORM_SESSION.png,KZ-CUE-015,KZ-CUE-015,Attribute moon and storm conditions to the patent text,
KZ-EDL-015,55.680,58.120,2.440,1392,1453,KZ_CARD_THREE_THEORIES_OPEN,KZ_SEQ_THREE_THEORIES_INTRO,EXPLANATORY_GRAPHIC,EXPLANATORY_MODEL,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_THREE_THEORIES_OPEN.png,KZ-CUE-016,KZ-CUE-016,Open the three-way interpretive fork,
KZ-EDL-016,58.120,60.440,2.320,1453,1511,KZ_MYSTIC_THEORY_ISOLATION,KZ_SEQ_THREE_THEORIES_INTRO,SUBJECTIVE_MYSTICAL,INNER_HYPOTHESIS,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_MYSTIC_THEORY_ISOLATION.png,KZ-CUE-017,KZ-CUE-017,First competing explanation: isolation,
KZ-EDL-017,60.440,62.680,2.240,1511,1567,KZ_PHYSICAL_THEORY_BODY_BOUNDARY,KZ_SEQ_THREE_THEORIES_INTRO,PHYSICAL_CHAMBER,RECONSTRUCTION,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_PHYSICAL_THEORY_BODY_BOUNDARY.png,KZ-CUE-018,KZ-CUE-018,Second competing explanation: ordinary physical change,
KZ-EDL-018,62.680,65.520,2.840,1567,1638,KZ_MYSTIC_THEORY_INFORMATION_REFLECTION,KZ_SEQ_THREE_THEORIES_INTRO,SUBJECTIVE_MYSTICAL,INNER_HYPOTHESIS,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/NATIVE_IMAGEGEN/EXPERIENTIAL_UPGRADE/KZ_MYSTIC_THEORY_INFORMATION_REFLECTION.png,KZ-CUE-019,KZ-CUE-019,Third competing explanation: information access,
KZ-EDL-019,65.520,70.360,4.840,1638,1759,KZ_HISTORY_PULKOVO_OBSERVATORY,KZ_SEQ_KOZYREV_BIO_IDEA,PERSON_HISTORY,ARCHIVE,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_HISTORY_PULKOVO_OBSERVATORY.png,KZ-CUE-020,KZ-CUE-020,Use a genuinely different authenticated Kozyrev image from the earlier death-date block,
KZ-EDL-020,70.360,75.680,5.320,1759,1892,KZ_HISTORY_PULKOVO_REFRACTOR,KZ_SEQ_KOZYREV_BIO_IDEA,PERSON_HISTORY,ARCHIVE,STATIC_OR_NEAR_STATIC,04_ASSETS/GENERATED/DETERMINISTIC/KZ_HISTORY_PULKOVO_REFRACTOR.png,KZ-CUE-021,KZ-CUE-021,Move from the second portrait to a different authenticated astronomy context; no long portrait hold,
