generation_id,episode,scene,role,cue_id,prompt,reference_assets,aspect,do_not_use_as_evidence,status
IMG01,EP02,1,MAIN,EP02_V_003,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: anonymous Army intelligence officer in 1983 reading a thick assessment file at a plain government desk, face not identifiable. NARRATION BEAT TO MATCH: einen ungewöhnlichen Auftrag bekommen: Er sollte die sogenannte Gateway Experience beurteilen — ihre Mechanik. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",G01; G09,16:9,YES,GENERATE
IMG02,EP02,1,MAIN,EP02_V_008,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: anonymous Army intelligence officer in 1983 reading a thick assessment file at a plain government desk, face not identifiable. NARRATION BEAT TO MATCH: solche Zustände zur Informationsgewinnung nutzbar sein könnten. Die Akte existiert. Aber was genau beweist sie?. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",G01; G09,16:9,YES,GENERATE
IMG03,EP02,2,MAIN,EP02_V_009,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: provenance flow: Monroe Institute -> Army/USAINSCOM assessment -> later CIA FOIA archive copy. NARRATION BEAT TO MATCH: Im Internet wird das Dokument oft als „CIA Gateway Process“ bezeichnet. Das. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",G01; G09,16:9,YES,GENERATE
IMG04,EP02,2,MAIN,EP02_V_011,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: anonymous adult military analyst listening to audio headphones in a small 1980s office, no identifiable person. NARRATION BEAT TO MATCH: selbst trägt aber den Briefkopf des Department of the Army, U.S. Army. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",G01; G09,16:9,YES,GENERATE
IMG05,EP02,2,MAIN,EP02_V_013,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: myth correction graphic: CIA archive copy is not the same as CIA-authored technique. NARRATION BEAT TO MATCH: Kommandeur, er sei beauftragt worden, Gateway hinsichtlich Mechanik und praktischer Verwendbarkeit einzuschätzen.. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",G01; G09,16:9,YES,GENERATE
IMG06,EP02,2,MAIN,EP02_V_014,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: provenance flow: Monroe Institute -> Army/USAINSCOM assessment -> later CIA FOIA archive copy. NARRATION BEAT TO MATCH: Das ist schon bemerkenswert genug. Man muss daraus kein geheimes CIA-Programm erfinden.. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",G01; G09,16:9,YES,GENERATE
IMG07,EP02,2,MAIN,EP02_V_016,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: anonymous adult military analyst listening to audio headphones in a small 1980s office, no identifiable person. NARRATION BEAT TO MATCH: unterschiedliche Töne beziehungsweise auditive Muster nutzten, um veränderte Zustände zu erleichtern. Der. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",G01; G09,16:9,YES,GENERATE
IMG08,EP02,2,MAIN,EP02_V_018,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: myth correction graphic: CIA archive copy is not the same as CIA-authored technique. NARRATION BEAT TO MATCH: Und genau hier wird das Dokument gleichzeitig faszinierend und gefährlich leicht misszuverstehen.. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",G01; G09,16:9,YES,GENERATE
IMG09,EP02,3,MAIN,EP02_V_019,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: stereo audio diagram: left ear frequency, right ear frequency, perceived difference beat in center. NARRATION BEAT TO MATCH: Der Ausgangspunkt ist weniger exotisch als der Rest. Bei binauralen. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",G01,16:9,YES,GENERATE
IMG10,EP02,3,MAIN,EP02_V_020,"Cinematic investigative documentary reconstruction, late-20th-century research atmosphere, deep blue-black and graphite shadows, warm practical tungsten lamps, restrained cyan technical accents, tactile paper, brushed metal and glass, realistic optics, subtle film grain, sober mysterious mood, no fantasy magic, no supernatural glow, no text, no logos, no watermark, no synthetic portrait of a named real person, 16:9. Compose one strong documentary still that can hold 5-8 seconds with a subtle push-in. SUBJECT: adult participant wearing period-correct over-ear headphones in a dim but clinical room, no mystical glow. NARRATION BEAT TO MATCH: Beats hören linkes und rechtes Ohr leicht unterschiedliche Frequenzen. Das. Keep the image semantically aligned to this exact beat; do not introduce claims not present in the narration. Avoid: occult cliché, tarot props, glowing chakras, neon sci-fi, cyberpunk, horror monster imagery, conspiracy corkboard, readable fake documents, modern consumer electronics unless requested, deformed hands, extra fingers, text artifacts.",G01,16:9,YES,GENERATE
