decision,asset_or_group,source_episode,target_timecode,english_voice_beat,provenance_rights,embedded_text,technical_quality,treatment
USE,IMG001_SALEM_BEDROOM_COMAN_RECON.png,DE_EP07,00:00-00:07,locked Salem room,internal generated/no portrait claim,none,2K 16:9 clean,cool regrade+eased motion
USE,IMG002_COMAN_TRIES_TO_WAKE_WIFE.png,DE_EP07,00:07-00:14,cannot wake wife,internal generated/no portrait claim,none,2K 16:9 clean,warm lamp lift+eased motion
USE,Richard_Coman_document_progressive_sequence,DE_EP07,00:14-00:31,statement/pressure/cannot speak nor stir,PD Salem primary document,original English handwriting,high-res source derivative,static full+precise highlights continuous only
USE,IMG003_PRIVATE_NIGHT_TO_COURT.png,DE_EP07,00:31-00:40,private night crosses into court,internal generated,none,2K 16:9 clean,amber-to-cold regrade
USE,Bridget_Bishop_execution_archive_scan,DE_EP07,00:40-00:47,eight days later hanged,PD archival scan,original source text,moderate native resolution,static contain+source footer
USE,IMG004_BRIDGET_BISHOP_COURT_CONTEXT_RECON.png,DE_EP07,00:47-00:55,larger prosecution,internal reconstruction/no portrait claim,none,2K 16:9 clean,neutral court grade
USE,Salem_Village_1692_map_Upham_1866,DE_EP07,00:55-01:02,Salem context,PD 1866 map,original English map text,high-res,static viewer map once
USE,IMG050_PRIVATE_TO_PUBLIC_NETWORK.png,DE_EP07,01:02-01:10,what Salem did with it,internal generated,none,2K 16:9 clean,eased pullback
USE,Fuseli_The_Nightmare_progressive_sequence,DE_EP07,01:42-02:04,painting/woman/incubus/horse,PD artwork+DIA record,none,high-res,full context then continuous precise details
USE,IMG024_NIGHTMARE_PRINT_WORKSHOP.png,DE_EP07,02:04-02:11,image spreads,internal generated,none,2K 16:9 clean,warm grade+eased motion
USE,Abildgaard_Nightmare_1800_full,DE_EP07,02:11-02:17,European motif,PD artwork,none,high-res,full context
USE,CLIP002_NIGHTMARE_PRESSURE.mp4,DE_EP07,02:17-02:23,mare/mara pressure,internal generated,none,1080p24 clean,motion-interpolate 30p+visual QA
USE,IMG025_MANY_ORIGINS_ARCHIVE_TABLE.png,DE_EP07,02:23-02:30,many names no genealogy,internal generated,none,2K 16:9 clean,warm grade
USE,Jinn_from_Ali_manuscript_full,DE_EP07,02:30-02:36,traditions name agents,PD manuscript,source text,low-wide but usable,static contain
USE,Kunisada_The_Ghost_full_print,DE_EP07,02:36-02:42,Japanese spectral tradition,PD print,none,portrait moderate resolution,contain no zoom
USE,IMG027_KANASHIBARI_THRESHOLD.png,DE_EP07,02:42-02:49,kanashibari,internal generated,none,2K 16:9 clean,cool grade
