order,cue_id,section,voice_anchor,primary_visual,asset_spec,resolved_paths,open_editorial_tokens,pace,prevoice_duration_band,edit_function,notes,status
1,B001,S1,Diese Grafik,modern rainbow map,IMG001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG001_MODERN_RAINBOW_MAP.png,,dense,2.5–4.0 s,object_hook,clearly contemporary,READY
2,B002,S1,Sieben Zentren / sieben Farben,modern poster detail,IMG003,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG003_MODERN_POSTER_IN_ROOM.png,,dense,2.5–4.0 s,familiarity,no antiquity claim,READY
3,B003,S1,hundert Jahre zurück,rainbow layer peel,IMG002,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG002_RAINBOW_LAYER_PEEL.png,,dense,2.5–4.0 s,reversal,paper not magic,READY
4,B004,S1,Bilder verändern sich,real historical variants,B-G02,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G02_VIELE_KARTEN.png,,dense,2.5–4.0 s,proof_early,use authentic assets,READY
5,B005,S1,andere Zahl,historical six-center image + clean type,EP04B_CHAKRA_008+B-G03,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04B\01_ORIGINAL_GREEN\HISTORICAL_CHAKRA\EP04B_Yogin_six_chakras_late18c_PD.jpg;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G03_SECHS.png,,hold,5.0–8.0 s,number_promise,low-res source brief use,READY
6,B006,S1,Sechs,SECHS card,B-G03,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G03_SECHS.png,,hold,5.0–8.0 s,hook_payoff,minimal,READY
7,B007,S1,Wer hat die Karte gezeichnet,stack/table base + sources,IMG004,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG004_MANY_SYSTEMS_TABLE_BASE.png,,normal,4.0–6.0 s,central_question,no conspiracy board,READY
8,B008,S2,Fehler ... Singular,several authentic maps side by side,B-G02,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G02_VIELE_KARTEN.png,,normal,4.0–6.0 s,plurality,retain real proportions,READY
9,B009,S2,Andere Gottheiten / Silben / Lotusblätter,source details,archive,,ARCHIVE_SELECTION,dense,2.5–4.0 s,variety,real plates/details,EDITORIAL_SOURCE_OR_MOTION
10,B010,S2,Er macht sie sauber,modern map snaps into alignment,B-G01,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\MOTION_BASES_2K\EP04B\B-G01_04_HISTORISCHE_QUELLE.png,,normal,4.0–6.0 s,western_simplification,avoid ridicule,READY
11,B011,S3,Ṣaṭ-cakra-nirūpaṇa,material manuscript environment + source title context,IMG005+archive,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04B\MAIN\EP04B_IMG005_MANUSCRIPT_MATERIAL_WORLD.png,,normal,4.0–6.0 s,text_reveal,no fake Sanskrit,READY
12,B012,S3,1577,clean date card over real historical context,edit,,,normal,4.0–6.0 s,orientation,date wording can be 'häufig datiert auf 1577',EDITORIAL_SOURCE_OR_MOTION
