cue_id,section,anchor_text,planned_shots,edit_rule
EP08_TAKE_001,S1,Am zwölften April zweitausendeins sitzt der amerikanische Radiomoderator,8,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_002,S1,"An diesem Abend geht es um schwarze, menschliche",3,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_003,S1,"Dann geschieht etwas, das für diese Geschichte entscheidend",6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_004,S1,Menschen erzählen seit Jahrhunderten von nächtlichen Besuchern. Jetzt,5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_005,S2,Anfang der Zweitausender verbreitet sich der Ausdruck Shadow,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_006,S2,"Das überschneidet sich auffällig mit dem, was die",3,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_007,S2,Früher hörte jemand vielleicht erst nach dem Erlebnis,10,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_008,S3,Diese Frage führt zu einem zweiten modernen Mythos.,5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_009,S3,"Die Person wacht auf, doch der Körper reagiert",7,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_010,S3,Und nein: Nicht jeder Abduction-Bericht lässt sich auf,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_011,S4,Diese Frage landet ausgerechnet an Harvard. Der Psychiater,4,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_012,S4,"Susan Clancy, Richard McNally und andere Forscher gehen",3,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_013,S4,Ein Mensch kann eine Erinnerung mit voller emotionaler,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_014,S4,Vielleicht müssen wir also gar nicht zwischen Lüge,4,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_015,S5,"Unter den Shadow-People-Berichten sticht eine Figur heraus. Groß,",5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_016,S5,Online erscheint diese Figur nicht nur in Berichten,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_017,S5,Medizinisch dokumentiert sind Delirium und Halluzinationen; die konkrete,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_018,S5,Das klingt fast zu einfach. Aber darin könnte,5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_019,S6,"Stellt euch vor, ihr seht heute Nacht eine",5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_020,S6,Genau darin liegt die Falle. Ein wiederkehrendes neurologisches,14,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_021,S7,Zweitausendfünfzehn erscheint Rodney Aschers Dokumentarfilm The Nightmare. Menschen,4,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_022,S7,"Dasselbe geschieht in Foren, Videos, Podcasts und paranormalen",8,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_023,S7,Der Mensch erlebt etwas. Das Netz gibt ihm,8,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_024,S8,"Wenn man die drei Folgen zusammennimmt, beginnt alles",4,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_025,S8,"Alle Geister pauschal mit Schlafparalyse gleichzusetzen, würde zahllose",5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_026,S8,Der Kreis läuft deshalb in beide Richtungen. Das,5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP08_TAKE_027,S8,"Früher brauchte ein Dämon Jahrhunderte, um von einem",4,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
