start,end,anchor,visual_state,asset_type,viewer_function
0.000,1.879,Researchers interrupted,B01_INTERRUPTION_ACTION,imagegen_native_portrait,"bright laboratory action begins immediately"
1.879,3.659,sixteen healthy people,B02_SIXTEEN,science_vertical_card,"sixteen human participants become a concrete count"
3.659,10.599,Six isolated,B03_SIX_EPISODES,progressive_signal_clip,"six and only six event signals land on one through six"
10.599,11.500,They slept,B04_SLEEP_SENSORS,imagegen_native_portrait,"anonymous participant sleeps under plausible measurement"
11.500,13.359,were awakened,B05_SELECTED_AWAKENING,imagegen_native_portrait,"researcher performs the selected awakening"
13.359,14.639,stayed awake for an hour,B06_SIXTY_MINUTES,science_vertical_card,"one-hour interval resolves at the spoken beat"
14.639,17.520,then returned to bed,B07_RETURN_TO_BED,editorial_vertical_card,"the participant returns under continuing sensors"
17.520,24.399,Across four nights,B08_PROTOCOL_BOUNDARY,authentic_source_card,"four-night protocol and non-universal result are stated positively"
24.399,28.619,When they occurred,B09_AWARE_IMMOBILE,imagegen_native_portrait,"eyes recognize the lab while the body remains still"
28.619,33.419,All but one,B10_AV_DISTURBANCE,imagegen_native_portrait,"visual and auditory disturbance stays subjective"
33.419,38.639,The recordings caught,B11_AWARENESS_ATONIA,authentic_science_card,"waking awareness and persistent muscle atonia meet"
38.639,43.159,The doorway was measurable,B12_MEASURABLE_THRESHOLD,imagegen_native_portrait,"clinical threshold opens into an occupied-feeling room"
43.159,45.479,The full experiment,B13_LONGFORM_BRIDGE,authentic_vertical_card,"actual paper and linked longform carry the complete account"
45.479,48.623,"BODY, BRAIN",B14_VIEWER_CHOICE,viewer_choice_card,"interaction closes on body brain or presence"
