beat,actual_tc,voice_anchor,claim_ids,delivery,sync_obligation
B01,00:00-00:11,1692/night/locked,C01,intimate low immediate,room-lock-lamp-wife
B02,00:11-00:22,Bishop/pressure/cannot move,C01,controlled pressure,primary document progressive highlights
B03,00:22-00:30,oath/eight days/hanged,C02,factual spare,private-to-court/execution scan
B04,00:30-00:47,larger prosecution/public reality,C02,investigative widening,map/public network
B05,00:47-01:02,record cannot tell/state vs use,C01-C02,quiet precise,new state no document return
B06,01:02-01:27,sequence/REM/witchcraft,C04,analytic uncanny,room threshold/physiology counterimage
B07,01:27-01:47,Fuseli 1781,C03,visual wonder,painting full then continuous details
B08,01:47-02:15,mara/incubus/kanashibari/Old Hag,C04,rhythmic respectful,cross-cultural art and people
B09,02:15-02:31,no family tree/shared pattern,C04,reflective,archive table/body relief
B10,02:31-03:10,cause/ritual/practical,C04,warm humane,household objects/historical page
B11,03:10-03:22,bedroom to court,C02,forward widening,public transformation
B12,03:22-03:49,Hufford fieldwork/personal experience,C05,curious respectful,generic fieldwork no invented portrait
B13,03:49-04:07,pattern before story,C05,clear reversal,first episode/body trace/masks
B14,04:07-04:12,what culture does to second episode,C10,direct suspenseful,two thresholds/two contexts
B15,04:12-04:29,two people/Jalal Hinton,C06,precise,people and maps
B16,04:29-04:52,Egypt Denmark/specific samples,C06-C09,measured,new English scope panel
B17,04:52-05:16,episodes/duration/fear association,C07-C08,controlled gravity,result panel/science assets
B18,05:16-05:29,association/entangled,C08-C10,scientific counterweight,form/feedback entity
B19,05:29-05:53,fear-sleep-episode loop,C10,accelerating then silent,three unique loop states
B20,05:53-06:26,Coman synthesis/public truth,C01-C02,grave spacious,public memory no opening return
B21,06:26-06:39,kind of reality,INFERENCE,wonder/unease,body-memory-community
B22,06:39-06:47,EXPERIENCE or STORY,INTERACTION,warm direct,minimal mobile card
B23,06:47-06:53,body opens/face travels,POETIC_CONDITIONAL,intimate slow,end transformation and tail
