asset_id,kind,register,model,file,bytes,sha256
D01_LETTER_WHOLE_SHEET,still,B DOCUMENT,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/D01_LETTER_WHOLE_SHEET.png,8449956,1388135636e7907d9e568c96aa57c4278008a8d155310e9613f34f371647f84b
D02_SEAL_ROW_SIDE,still,B DOCUMENT,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/D02_SEAL_ROW_SIDE.png,5975065,2ea31d06017e466a139db720628f7a58de08fd9a7320bb069fdaeccd7181a4de
D03_SKIPPET_OPEN_MACRO,still,B DOCUMENT,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/D03_SKIPPET_OPEN_MACRO.png,6975116,209efb73ee4cde1e64ab4ede102ac4ff2e4cc9983647598d52e46c4108fc1328
D04_EMPTY_POSITION,still,B DOCUMENT,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/D04_EMPTY_POSITION.png,8221309,baee72edf141b28da895d78b9ed6e71ae41d794fdda92645de37f8f158420ba1
D05_SIGNATURE_COLUMNS,still,B DOCUMENT,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/D05_SIGNATURE_COLUMNS.png,5283549,2537951c72ef1cf72f1f5d3064d8e3f2cb31a2c16e534134b8905c92d3dc58aa
D06_CORD_THROUGH_FOLD,still,B DOCUMENT,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/D06_CORD_THROUGH_FOLD.png,5952655,1760761f58685cec48159d999af540e3814aa689dd5ff99483e69152d0be5f3c
H01_SEALING_TABLE_1530,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H01_SEALING_TABLE_1530.png,7389543,71d34e03bf2c1e40ed71a9616810c4349f2ffb86ca3e32f42c13940a74a22586
H02_LORDS_ASSEMBLY,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H02_LORDS_ASSEMBLY.png,6749099,27287a918e6ba65e80e6fd7eaec7ca90cf67c4c724286c8d63467b8e2fb523c9
H03_COURIER_LEAVES,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H03_COURIER_LEAVES.png,7245470,ad5a55790242abca40936db243480aeafcd7e93abb5747dbd96dc3704bacc3cd
H04_POPE_DESK_REFUSAL,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H04_POPE_DESK_REFUSAL.png,6113690,5a14442c5b8cdf89ca739b3b60a11853cb99977ea6056778cef09a662bd18947
H10_READING_ROOM,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H10_READING_ROOM.png,7357274,224e53e2902d820476a9a0f910df0de486a8ce375603df2fb6c418ff99248d00
H11_CALL_SLIP,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H11_CALL_SLIP.png,7138604,9e8962558d1ad975c06d81dccfdb1e3afc42984282df25ca2b16528b5e2e5729
H12_CATALOGUE_DRAWER,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H12_CATALOGUE_DRAWER.png,5991460,232298a0e0083139b89f22d55c508a38625d532051c2b104afad58359bfc2702
H13_SHELVING_KILOMETRES,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H13_SHELVING_KILOMETRES.png,6691668,c25e43f7dba9dcf0074d3f2abcd6e0d4cd630d6475b9965eed17a338d9b355d7
H14_HANDS_ON_REGISTER,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H14_HANDS_ON_REGISTER.png,7168269,ff1ac0e4dd57a081553a1a28883c461fd3ff80dd792ec9938d3baabc77b99c2f
H15_OLD_HANDS_CLOSE,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H15_OLD_HANDS_CLOSE.png,7094108,5988e7ec4b707ff63a001882292a2f52b1e17335b68783fc471fab49514417e9
H20_CRATES_PACKED,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H20_CRATES_PACKED.png,8092861,0fd815076ccf60eaeb02bf909d366efbaaf0f53518c8dd1d7590ffa8caf8b6f5
H21_CONVOY_ROAD,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H21_CONVOY_ROAD.png,7226356,ded0c3382b7bfd6a7ff361f77b04eff841472a3b3023d27caeb484cb7db0f17e
H22_ALPINE_PASS,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H22_ALPINE_PASS.png,8525663,774c2bfcf8257b9444abd37f6cb3bf8470e0a13440592b724b9fd837cea62ab0
H23_PARIS_UNLOADING,still,A HISTORICAL,gemini-3-pro-image,03_VISUALS/ASSETS/SELECTED/GENERATED/H23_PARIS_UNLOADING.png,8077718,dfd9d0f80cf6091412ba6ea02a44481c283d8d15d68acc8fc46c941d806f3dce
