file,reason,commons_title
EP14_Cortile_della_Pigna_Vatican_Museums_September_2015_2_jpg.jpg,ShareAlike (CC BY-SA 4.0),Cortile della Pigna (Vatican Museums) September 2015-2.
EP14_Galileo_before_the_Holy_Office_jpg.jpg,gehört zu einem früheren Entwurf,Galileo before the Holy Office.jpg
EP14_Galileo_Galilei_1564_1642_Recantation_1633_1_png.png,gehört zu einem früheren Entwurf,"Galileo Galilei (1564 - 1642) - Recantation, 1633 - 1.p"
EP14_La_Forbie_jpg.jpg,gehört zu einem früheren Entwurf,La Forbie.jpg
EP14_Galileo_s_sketches_of_the_moon_png.png,gehört zu einem früheren Entwurf,Galileo's sketches of the moon.png
EP14_Der_Daemon_Baphomet_PNG.png,gehört zu einem früheren Entwurf,Der Daemon Baphomet.PNG
EP14_Baphomet_png.png,gehört zu einem früheren Entwurf,Baphomet.png
EP14_Hayton_of_Corycus_before_Pope_Clement_V_jpg.jpg,gehört zu einem früheren Entwurf,Hayton of Corycus before Pope Clement V.jpg
EP14_Musea_Brugge_HUB_2014_GRO0019_093_III_jpg.jpg,gehört zu einem früheren Entwurf,"Musea Brugge, HUB, 2014 GRO0019 093 III.jpg"
EP14_Baphomet_by_liphas_L_vi_jpg.jpg,gehört zu einem früheren Entwurf,Baphomet by Éliphas Lévi.jpg
EP14_Pergamino_de_chinon_jpg.jpg,gehört zu einem früheren Entwurf,Pergamino de chinon.jpg
EP14_The_trial_of_Galileo_Galilei_before_the_Inquisition_1633_17th_century.jpg,gehört zu einem früheren Entwurf,"The trial of Galileo Galilei before the Inquisition, 16"
EP14_Galileo_Galilei_Disegni_originali_delle_Lune_1609_Biblioteca_Nazionale.jpg,gehört zu einem früheren Entwurf,"Galileo Galilei, Disegni originali delle Lune, 1609, Bi"
EP14_Delpech_Philip_IV_of_France_jpg.jpg,gehört zu einem früheren Entwurf,Delpech - Philip IV of France.jpg
EP14_Templars_Burning_jpg.jpg,gehört zu einem früheren Entwurf,Templars Burning.jpg
EP14_Garde_Train_GA_jpg.jpg,gehört zu einem früheren Entwurf,Garde Train GA.jpg
EP14_Templar_jpg.jpg,gehört zu einem früheren Entwurf,Templar.jpg
EP14_Pope_Clement_V_jpg.jpg,gehört zu einem früheren Entwurf,Pope Clement-V.jpg
EP14_Seal_of_Templars_jpg.jpg,gehört zu einem früheren Entwurf,Seal of Templars.jpg
EP14_Jacques_de_Molay_engraving_jpg.jpg,gehört zu einem früheren Entwurf,Jacques de Molay engraving.jpg
EP14_X_Seal_matrix_wax_copy_FindID_475078_jpg.jpg,ShareAlike (CC BY-SA 4.0),Seal matrix wax copy (FindID 475078).jpg
EP14_X_Portrait_of_Henry_VIII_of_England_Holbein_jpg.jpg,ShareAlike (CC BY-SA 4.0),Portrait of Henry VIII of England (Holbein).jpg
EP14_X_Seal_matrix_wax_impression_FindID_480917_jpg.jpg,ShareAlike (CC BY-SA 2.0),Seal matrix wax impression (FindID 480917).jpg
EP14_X_T_Gismondi_Portes_des_Archives_vaticanes_d_tail_1_jpg.jpg,ShareAlike (CC BY-SA 4.0),T. Gismondi - Portes des Archives vaticanes - détail 1.
EP14_X_Medieval_ring_seal_FindID_500974_jpg.jpg,ShareAlike (CC BY-SA 4.0),Medieval ring seal (FindID 500974).jpg
EP14_X_Thomas_Wolsey_Bust_Ipswich_jpg.jpg,ShareAlike (CC BY-SA 4.0),Thomas Wolsey Bust - Ipswich.jpg
EP14_X_Medieval_seal_matrix_top_profile_base_seal_impression_FindID_23976.jpg,ShareAlike (CC BY-SA 4.0),"Medieval seal matrix (top, profile, base, seal impressi"
EP14_X_Medieval_seal_matrix_FindID_283902_jpg.jpg,ShareAlike (CC BY-SA 2.0),Medieval seal matrix (FindID 283902).jpg
EP14_X_Statue_of_Thomas_Wolsey_Ipswich_jpg.jpg,ShareAlike (CC BY-SA 4.0),Statue of Thomas Wolsey - Ipswich.jpg
