cue_id,scene,scene_title,est_start,est_end,voice_anchor_start,voice_anchor_end,voice_excerpt,visual_type,visual_concept,reference_assets,generation_id,edit_hold_rule,highlight_rule,sync_rule
EP03_V_001,1,Eine Akte über eine mögliche Waffe,00:00,00:06,Im Kalten Krieg untersuchten amerikanische Verteidigungsstellen eine,"eine mögliche Waffenklasse, von der sie nicht","Im Kalten Krieg untersuchten amerikanische Verteidigungsstellen eine mögliche Waffenklasse, von der sie nicht",ORIGINAL_DOCUMENT,"DIA/FTD report cover PARAPHYSICS R&D WARSAW PACT, original page",P01; P02; P03,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP03_V_002,1,Eine Akte über eine mögliche Waffe,00:06,00:13,"einmal wussten, ob sie wirklich existierte. Der",Der Bericht trägt die Kennung DST-1810S-202-78. Auf,"einmal wussten, ob sie wirklich existierte. Der Bericht trägt die Kennung DST-1810S-202-78. Auf",DOCUMENT_HIGHLIGHT,"crop classification/date/provenance markings, highlight only real text",P01; P02; P03,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP03_V_003,1,Eine Akte über eine mögliche Waffe,00:13,00:20,dem Deckblatt steht Paraphysics R&D Warsaw Pact*.,Warsaw Pact*. Er wurde von der Foreign,dem Deckblatt steht: *Paraphysics R&D — Warsaw Pact*. Er wurde von der Foreign,AI_RECON,"anonymous late-1970s defense analyst opening a thick foreign-technology report, no insignia",P01; P02; P03,IMG01,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP03_V_004,1,Eine Akte über eine mögliche Waffe,00:20,00:26,Technology Division der U.S. Air Force erstellt,erstellt und von der Defense Intelligence Agency,Technology Division der U.S. Air Force erstellt und von der Defense Intelligence Agency,LOCATION_PHOTO,Wright-Patterson 1972 institutional location photo,P01; P02; P03,,Slow Ken Burns motion permitted; caption date/source accurately where needed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP03_V_005,1,Eine Akte über eine mögliche Waffe,00:26,00:32,gebilligt. Die ursprüngliche Fassung stammt von 1978,eine überarbeitete Version trägt das Datum 4.,gebilligt. Die ursprüngliche Fassung stammt von 1978; eine überarbeitete Version trägt das Datum 4.,ORIGINAL_DOCUMENT,report executive-summary page as visual spine,P01; P02; P03,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP03_V_006,1,Eine Akte über eine mögliche Waffe,00:32,00:39,Februar 1980. Auf 144 Seiten geht es,"es um Telepathie, Psychokinese, Fernwahrnehmung, sogenannte psychoenergetische","Februar 1980. Auf 144 Seiten geht es um Telepathie, Psychokinese, Fernwahrnehmung, sogenannte psychoenergetische",ORIGINAL_DOCUMENT,"DIA/FTD report cover PARAPHYSICS R&D WARSAW PACT, original page",P01; P02; P03,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP03_V_007,1,Eine Akte über eine mögliche Waffe,00:39,00:46,"Prozesse und um die Frage, ob daraus","ob daraus Kommunikation, Informationsgewinnung oder sogar Einfluss","Prozesse — und um die Frage, ob daraus Kommunikation, Informationsgewinnung oder sogar Einfluss",DOCUMENT_HIGHLIGHT,"crop classification/date/provenance markings, highlight only real text",P01; P02; P03,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP03_V_008,1,Eine Akte über eine mögliche Waffe,00:46,00:52,auf andere Menschen entstehen könnte. Das klingt,klingt wie eine Akte über eine fertige,auf andere Menschen entstehen könnte. Das klingt wie eine Akte über eine fertige,AI_RECON,"anonymous late-1970s defense analyst opening a thick foreign-technology report, no insignia",P01; P02; P03,IMG02,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP03_V_009,1,Eine Akte über eine mögliche Waffe,00:52,00:58,Geheimwaffe. Aber genau das ist sie nicht.,nicht. Sie ist etwas Interessanteres der Versuch,Geheimwaffe. Aber genau das ist sie nicht. Sie ist etwas Interessanteres: der Versuch,LOCATION_PHOTO,Wright-Patterson 1972 institutional location photo,P01; P02; P03,,Slow Ken Burns motion permitted; caption date/source accurately where needed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP03_V_010,1,Eine Akte über eine mögliche Waffe,00:58,01:05,"eines Nachrichtendienstsystems, eine Möglichkeit zu bewerten, deren",deren Wirklichkeit selbst Teil des Problems war.,"eines Nachrichtendienstsystems, eine Möglichkeit zu bewerten, deren Wirklichkeit selbst Teil des Problems war.",ORIGINAL_DOCUMENT,report executive-summary page as visual spine,P01; P02; P03,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
