episode,kind,filename,status,width,height,mean_luma,brightness_flag,normalization,bytes,sha256,path
EP04A,MAIN,EP04A_IMG001_SEMINAR_ROOM_WIDE.png,PASS,2752,1536,54.84,,CENTER_CROP_RESIZE_2560x1440,7050637,f765559ef64dac1b6cc039f5689b099ad98b5b7e7c324a1228e806dcf0e0c485,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG001_SEMINAR_ROOM_WIDE.png
EP04A,MAIN,EP04A_IMG002_JUNG_WARNING_RECON.png,PASS,2752,1536,58.67,,CENTER_CROP_RESIZE_2560x1440,5402148,7d61ec168dcd9dec5a59ea85bf1441471461af7870d8710b4c8dc7f4847efb85,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG002_JUNG_WARNING_RECON.png
EP04A,MAIN,EP04A_IMG003_BLACK_SNAKE_HOOK.png,PASS,2752,1536,21.47,DARK_REVIEW,CENTER_CROP_RESIZE_2560x1440,6463103,1c20b69291b4c43bfaf7a191d4ee2932f97cfddd1148bfd0006c245b44424986,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG003_BLACK_SNAKE_HOOK.png
EP04A,MAIN,EP04A_IMG004_RED_SUN_UNDER_WATER_FLASH.png,PASS,2752,1536,23.04,DARK_REVIEW,CENTER_CROP_RESIZE_2560x1440,4286309,ee1afc20317f3f40fb17e1856e6830a095fc09dbe1ce9fa2e8e33bdfbb94e3dd,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG004_RED_SUN_UNDER_WATER_FLASH.png
EP04A,MAIN,EP04A_IMG005_JUNG_BEFORE_UNKNOWN_MAP.png,PASS,2752,1536,57.45,,CENTER_CROP_RESIZE_2560x1440,5716118,77218961af2ecd3d1fd1a739de1287ace34d6aa696248ad5846392d154f137e7,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG005_JUNG_BEFORE_UNKNOWN_MAP.png
EP04A,MAIN,EP04A_IMG006_TRAIN_1913_NORMAL.png,PASS,2752,1536,81.44,,CENTER_CROP_RESIZE_2560x1440,6465994,5d8527ae5194e0862bbe8db644e52cd5726ee51c6b4db3bb438af49959bec1fc,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG006_TRAIN_1913_NORMAL.png
EP04A,MAIN,EP04A_IMG007_TRAIN_YELLOW_FLOOD.png,PASS,2752,1536,73.17,,CENTER_CROP_RESIZE_2560x1440,6489739,a2e019afdb5044e8ce1a1a577d66a6ddc84a032f00f7225400a1fc020edc586a,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG007_TRAIN_YELLOW_FLOOD.png
EP04A,MAIN,EP04A_IMG008_FLOOD_RED_TRANSITION.png,PASS,2752,1536,103.48,,CENTER_CROP_RESIZE_2560x1440,7308426,614d01927aead2bd8c85feff201e972e4a40d9035acc209993121808d62cc876,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG008_FLOOD_RED_TRANSITION.png
EP04A,MAIN,EP04A_IMG009_JUNG_TRAIN_REACTION.png,PASS,2752,1536,85.43,,CENTER_CROP_RESIZE_2560x1440,6636230,3b82fddf953f16c77f65d47ab267f6f561c202fc5985b73da8e1391de892cdbd,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG009_JUNG_TRAIN_REACTION.png
EP04A,MAIN,EP04A_IMG010_CLINICAL_GROUNDING_DESK.png,PASS,2752,1536,78.32,,CENTER_CROP_RESIZE_2560x1440,6118024,2cc602f0676ad9c78febcbaf0ee9b4042b35330c8fafbb4be537986dfae272ff,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\00_RAW_VERTEX\EP04A\MAIN\EP04A_IMG010_CLINICAL_GROUNDING_DESK.png
