start,end,anchor,visual_state,asset_type,viewer_function
0.000,1.159,The door opens,A01_DOOR_EYE,imagegen_native_portrait,"eye opens as the door physically moves"
1.159,3.000,Footsteps cross,A02_FOOTSTEPS,vertical_recomposition,"two human-scale footstep shadows cross the floor"
3.000,5.500,You try to move,A03_FAILED_HAND,imagegen_native_portrait,"visible motor command fails in a human hand"
5.500,7.679,Then the mattress sinks,A04_MATTRESS,imagegen_native_portrait,"mattress depression lands as a bodily event"
7.679,11.079,This happened to David Hufford,A05_HUFFORD_IDENTITY,authentic_vertical_card,"authentic Hufford context enters after the encounter"
11.079,12.659,Years later,A06_FOGO_COAST,authentic_vertical_recomposition,"daylight Newfoundland reset"
12.659,14.920,strangers described,A07_ORAL_HISTORY,vertical_recomposition,"human conversation and field notes carry the sequence"
14.920,17.659,gave the visitor a name,A08_NAME_BEFORE,imagegen_native_portrait,"unnamed experience approaches a folklore form"
17.659,19.119,the Old Hag,A09_OLD_HAG_REVEAL,historical_vertical_composite,"warm historical nightmare iconography reveals the name"
19.119,24.299,REM physiology,A10_REM_ATONIA,science_vertical_card,"PSG and body explain immobility positively"
24.299,26.879,But Hufford's puzzle,A11_INTENTION,imagegen_native_portrait,"face and directed presence open the remaining puzzle"
26.879,27.979,why the footsteps,A11B_FOOTSTEPS_QUESTION,vertical_recomposition,"the sound returns from a new explanatory viewpoint"
27.979,28.639,the weight,A11C_WEIGHT_QUESTION,vertical_recomposition,"chest pressure becomes a separate unanswered feature"
28.639,32.719,the certainty,A11D_INTENTION_QUESTION,vertical_recomposition,"the certainty of intention and recurring shape land together"
32.719,35.079,Does folklore,A12_FOLKLORE_MASK,editorial_vertical_card,"a story gives recurring experience a cultural face"
35.079,38.500,Or do recurring encounters,A13_ENCOUNTER_LOOP,editorial_vertical_card,"encounters feed the legend in the reverse direction"
38.500,40.639,The full investigation,A14_LONGFORM_BRIDGE,authentic_vertical_card,"Hufford book and linked longform promise the evidence trail"
40.639,43.793,Which came first,A15_LEGEND_OR_ENCOUNTER,viewer_choice_card,"interaction lands as the unresolved final fork"
