order,cue_id,section,voice_anchor,primary_visual,asset_spec,resolved_paths,open_editorial_tokens,pace,prevoice_duration_band,edit_function,notes,status
1,A001,S1,1932 warnt C. G. Jung,Zurich/context -> seminar room,archive+IMG001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG001_SEMINAR_ROOM_WIDE.png,,dense,2.5–4.0 s,location_hook,first hard visual change early; no title intro,READY
2,A002,S1,vor Kundalini,authentic historical lotus/chakra detail,SHARED_CHAKRA_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\00_SHARED\01_ORIGINAL_GREEN\SERPENT_POWER\SHARED_Serpent_Power_Lotuses_Wellcome_M0005455_CC-BY-4.0.jpg,,dense,2.5–4.0 s,object_reveal,real source object,READY
3,A003,S1,psychisch in Gefahr,Jung warning reconstruction,IMG002,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG002_JUNG_WARNING_RECON.png,,dense,2.5–4.0 s,stakes,reconstruction label on first generated historical scene,READY
4,A004,S1,Eine Flut / Eine Höhle,two flash frames,IMG007+IMG015,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG007_TRAIN_YELLOW_FLOOD.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG015_CAVE_WIDE.png,,dense,2.5–4.0 s,future_promise,subjective imagery,READY
5,A005,S1,rote Sonne,underwater red disk,IMG004,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG004_RED_SUN_UNDER_WATER_FLASH.png,,hold,5.0–8.0 s,mystery_image,allow image to land,READY
6,A006,S1,große schwarze Schlange,black snake hook,IMG003,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG003_BLACK_SNAKE_HOOK.png,,hold,5.0–8.0 s,central_motif,never historical Kundalini proxy,READY
7,A007,S1,indische Karte,Jung before neutral map + real plate in edit,IMG005+SHARED_CHAKRA_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG005_JUNG_BEFORE_UNKNOWN_MAP.png;C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\00_SHARED\01_ORIGINAL_GREEN\SERPENT_POWER\SHARED_Serpent_Power_Lotuses_Wellcome_M0005455_CC-BY-4.0.jpg,,normal,4.0–6.0 s,central_question,parallel not proof,READY
8,A008,S2,Oktober 1913,normal train reality,IMG006,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG006_TRAIN_1913_NORMAL.png,,reset,voice-anchored,timeline_reset,dry sound,READY
9,A009,S2,Bruch mit Sigmund Freud,real Clark/Freud-Jung context,EP04A_GROUP_001,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\REFERENCES_EP04AB\EP04A\01_ORIGINAL_GREEN\GATHERINGS\EP04A_Clark_University_group_1909_PD.jpg,,normal,4.0–6.0 s,biography_context,year label,READY
10,A010,S2,Mitten am Tag kommt ein Bild,train reaction,IMG009,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG009_JUNG_TRAIN_REACTION.png,,normal,4.0–6.0 s,threshold,reality before vision,READY
11,A011,S2,Europa unter Wasser,yellow flood,IMG007,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG007_TRAIN_YELLOW_FLOOD.png,,dense,2.5–4.0 s,spectacle,subjective reconstruction,READY
12,A012,S2,Meer rot,red flood,IMG008,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\JUNG_SERIES_V1\FINAL_STILLS\EP04A\MAIN\EP04A_IMG008_FLOOD_RED_TRANSITION.png,,hold,5.0–8.0 s,mystery_hold,no gore,READY
