cue_id,scene,scene_title,est_start,est_end,voice_anchor_start,voice_anchor_end,voice_excerpt,visual_type,visual_concept,reference_assets,generation_id,edit_hold_rule,highlight_rule,sync_rule,editor_asset
EP01_V_001,1,Der Hammer,00:00,00:06,"Russische Forscher bauten eine Maschine, mit der",Informationen außerhalb ihrer normalen Zeit wahrnehmen sollten.,"Russische Forscher bauten eine Maschine, mit der Menschen angeblich Informationen außerhalb ihrer normalen Zeit wahrnehmen sollten.",AI_RECON,immediate cold-open reveal of an anonymous adult seated inside the near-three-meter polished aluminum spiral chamber,K04; K05; K03,IMG04,Cold open with immediate restrained push-in; no logo or title pre-roll.,Do not imply the extraordinary effect is proven.,Retimestamp to actual narration word timestamps; cut on the first spoken word.,
EP01_V_002,1,Der Hammer,00:06,00:13,"Fast drei Meter hohe, gebogene Aluminiumplatten. Innen",einer Spirale verbunden. Ein Mensch sitzt im,"Fast drei Meter hohe, gebogene Aluminiumplatten. Innen poliert. Zu einer Spirale verbunden. Ein Mensch sitzt im",AI_RECON,"anonymous adult test subject seated inside a near-three-meter polished aluminum spiral chamber, camera outside the opening",K04; K05; K03,IMG01,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
EP01_V_003,1,Der Hammer,00:13,00:19,Zentrum. Heute kennt man diese Konstruktionen als,"das Merkwürdige ist nicht nur die Geschichte,","Zentrum. Heute kennt man diese Konstruktionen als Kozyrev-Spiegel. Und das Merkwürdige ist nicht nur die Geschichte,",VECTOR_DIAGRAM,clean engineering cutaway of curved aluminum plates forming a spiral around a seated human silhouette,K04; K05; K03,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG04_MIRROR_2014_FULL_WIDE.png
EP01_V_004,1,Der Hammer,00:19,00:26,die über sie erzählt wird. Das Merkwürdige,eine sehr ähnliche Apparatur existiert tatsächlich ein,die über sie erzählt wird. Das Merkwürdige ist: Für eine sehr ähnliche Apparatur existiert tatsächlich ein,ORIGINAL_PHOTO,macro crop of the cleared 1996 apparatus photo showing brushed aluminum curvature and fasteners,K03,,Hold the cleared apparatus photo through the full voice anchor; use a restrained push-in and identify it as a historical apparatus image.,Credit K03 under CC BY-SA 4.0; do not present the photograph as proof of any claimed effect.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG10_PATENT_PAGE1_FULL_WIDE.png
EP01_V_005,1,Der Hammer,00:26,00:32,russisches Patent. Eingereicht 1996 von Vlail,Alexander Trofimov. Doch schon auf der ersten,russisches Patent. Eingereicht 1996 von Vlail Kaznacheev und Alexander Trofimov. Doch schon auf der ersten,AI_RECON,wide laboratory reconstruction of a physically plausible Kozyrev-mirror-like apparatus in a modest 1990s Russian research room,K04; K05; K03,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG11_PATENT_HEADER_WIDE.png
EP01_V_005A,1,Der Hammer,TBD,TBD,Eingereicht 1996 von Vlail Kaznacheev und Alexander,Trofimov. Doch schon auf der ersten Seite beginnt,Eingereicht 1996 von Vlail Kaznacheev und Alexander Trofimov. Doch schon auf der ersten Seite beginnt,EDITOR_RECONSTRUCTION,verified patent evidence card emphasizing filing year and inventor names,K04; K05; K03,,4-7 second evidence beat; reveal metadata in two steps.,Use only verified names and filing year; no fabricated patent scan.,Retimestamp to actual narration word timestamps.,03_EDITOR_CARDS/CARD01_PATENT_EVIDENCE.png
EP01_V_006,1,Der Hammer,00:32,00:39,Seite beginnt das Rätsel. Denn dort steht,Dort steht eine Vorrichtung zur Korrektur psychosomatischer,Seite beginnt das Rätsel. Denn dort steht nicht „Zeitmaschine“. Dort steht: eine Vorrichtung zur Korrektur psychosomatischer,EDITOR_RECONSTRUCTION,editor-created title card with the verified patent title and publication number,K04,,Hold the editor-created title card through the full claim; reveal TIME MACHINE crossed out then the verified patent title.,Use the exact verified English patent title only; no scan and no invented document text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,03_EDITOR_CARDS/CARD02_PATENT_TITLE.png
EP01_V_007,1,Der Hammer,00:39,00:45,Erkrankungen. Wie wird aus so einem Patent,die angeblich Zeit und Entfernung verändern kann?,"Erkrankungen. Wie wird aus so einem Patent eine Maschine, die angeblich Zeit und Entfernung verändern kann?",AI_RECON,"anonymous adult test subject seated inside a near-three-meter polished aluminum spiral chamber, camera outside the opening",K04; K05; K03,,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG16_COMMONS_PATENT_APPARATUS_WIDE.png
EP01_V_008,2,"Der Mann, der sie nicht gebaut hat",00:45,00:52,Der erste Irrtum steckt schon im Namen.,im Namen. Nikolai Alexandrowitsch Kozyrev war sowjetischer,Der erste Irrtum steckt schon im Namen. Nikolai Alexandrowitsch Kozyrev war sowjetischer,ORIGINAL_PORTRAIT,"use actual Kozyrev portrait with slow crop, no synthetic replacement",K01; K07; K06,,Slow Ken Burns motion permitted; caption date/source accurately where needed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,05_ORIGINAL_COMPOSITES/ORIG01_KOZYREV_FULL_WIDE.png
EP01_V_009,2,"Der Mann, der sie nicht gebaut hat",00:52,00:58,Astronom und Astrophysiker. Er starb 1983 mehr,starb 1983 mehr als ein Jahrzehnt bevor,Astronom und Astrophysiker. Er starb 1983 — mehr als ein Jahrzehnt bevor,TIMELINE_GRAPHIC,minimal chronological timeline 1908-1983-1996-1998 with portrait and patent milestones,K01; K07; K06,IMG05,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.,
