cue_id,scene,scene_title,est_start,est_end,voice_anchor_start,voice_anchor_end,voice_excerpt,visual_type,visual_concept,reference_assets,generation_id,edit_hold_rule,highlight_rule,sync_rule
EP02_V_001,1,9. Juni 1983,00:00,00:07,Am 9. Juni 1983 geht in Fort,ein Bericht an den Kommandeur einer Einheit,Am 9. Juni 1983 geht in Fort Meade ein Bericht an den Kommandeur einer Einheit,ORIGINAL_DOCUMENT,"Gateway report title page, date and Army origin highlighted",G01; G09,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP02_V_002,1,9. Juni 1983,00:07,00:14,des U.S. Army Intelligence and Security Command.,"Verfasser, Lieutenant Colonel Wayne M. McDonnell, hatte","des U.S. Army Intelligence and Security Command. Der Verfasser, Lieutenant Colonel Wayne M. McDonnell, hatte",DOCUMENT_HIGHLIGHT,close crop of report header and assignment language,G01; G09,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP02_V_003,1,9. Juni 1983,00:14,00:21,einen ungewöhnlichen Auftrag bekommen Er sollte die,die sogenannte Gateway Experience beurteilen ihre Mechanik,einen ungewöhnlichen Auftrag bekommen: Er sollte die sogenannte Gateway Experience beurteilen — ihre Mechanik,AI_RECON,"anonymous Army intelligence officer in 1983 reading a thick assessment file at a plain government desk, face not identifiable",G01; G09,IMG01,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP02_V_004,1,9. Juni 1983,00:21,00:28,und ihre praktische Verwendbarkeit. Der Bericht beginnt,mit Meditation oder Religion. Er beginnt wie,und ihre praktische Verwendbarkeit. Der Bericht beginnt nicht mit Meditation oder Religion. Er beginnt wie,ORIGINAL_DOCUMENT,"slow push across original report pages, real typography only",G01; G09,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP02_V_005,1,9. Juni 1983,00:28,00:34,"ein technisches Assessment. Dann kommen Begriffe, die",kaum jemand erwarten würde Hemi-Sync. Veränderte Bewusstseinszustände.,"ein technisches Assessment. Dann kommen Begriffe, die dort kaum jemand erwarten würde: Hemi-Sync. Veränderte Bewusstseinszustände.",LOCATION_PHOTO,"Fort Meade location anchor, accurately captioned as modern photo if used",G01; G09,,Slow Ken Burns motion permitted; caption date/source accurately where needed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP02_V_006,1,9. Juni 1983,00:34,00:41,Außerkörperliche Erfahrung. Bewusstsein außerhalb normaler Raum-Zeit-Grenzen. Focus,"15, eine Stufe, die im Bericht mit","Außerkörperliche Erfahrung. Bewusstsein außerhalb normaler Raum-Zeit-Grenzen. Focus 15, eine Stufe, die im Bericht mit",ORIGINAL_DOCUMENT,"Gateway report title page, date and Army origin highlighted",G01; G09,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP02_V_007,1,9. Juni 1983,00:41,00:48,"Vergangenheit verbunden wird. Focus 21, mit Zukunft.","am Ende steht sogar die Frage, ob","Vergangenheit verbunden wird. Focus 21, mit Zukunft. Und am Ende steht sogar die Frage, ob",DOCUMENT_HIGHLIGHT,close crop of report header and assignment language,G01; G09,,Hold this document/page continuously through the full voice anchor; use pan/zoom or a new crop rather than cutting away mid-claim.,Highlight only the exact verified line/term being spoken; dim surrounding page 20-35%; no fabricated text.,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP02_V_008,1,9. Juni 1983,00:48,00:55,solche Zustände zur Informationsgewinnung nutzbar sein könnten.,Akte existiert. Aber was genau beweist sie?,solche Zustände zur Informationsgewinnung nutzbar sein könnten. Die Akte existiert. Aber was genau beweist sie?,AI_RECON,"anonymous Army intelligence officer in 1983 reading a thick assessment file at a plain government desk, face not identifiable",G01; G09,IMG02,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP02_V_009,2,Das ist keine „CIA-Technik“,00:55,01:02,Im Internet wird das Dokument oft als,oft als CIA Gateway Process bezeichnet. Das,Im Internet wird das Dokument oft als „CIA Gateway Process“ bezeichnet. Das,FLOW_DIAGRAM,provenance flow: Monroe Institute -> Army/USAINSCOM assessment -> later CIA FOIA archive copy,G01; G09,IMG03,5-8 second visual beat; subtle camera move in edit is allowed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
EP02_V_010,2,Das ist keine „CIA-Technik“,01:02,01:09,ist zu grob. Die heute leicht auffindbare,auffindbare Kopie liegt im CIA-FOIA-Bestand. Der Bericht,ist zu grob. Die heute leicht auffindbare Kopie liegt im CIA-FOIA-Bestand. Der Bericht,LOCATION_PHOTO,Fort Meade exterior/location context,G01; G09,,Slow Ken Burns motion permitted; caption date/source accurately where needed.,,Retimestamp to actual narration word timestamps; cut on the first word of start anchor and leave on the last word of end anchor.
