take_id,section,cue_range,word_count,estimated_seconds_at_141_wpm,pickup_note
EP04A_TAKE_001_WARNUNG,S1,A001-A003,49,20.9,"Hook als ein Gedanke; keine künstliche Pause nach dem ersten Satz"
EP04A_TAKE_002_DAS_GELAENDE,S1,A004-A007,79,33.6,"Bildliste rhythmisch, Schlussfrage nicht überdramatisieren"
EP04A_TAKE_003_OKTOBER_1913,S2,A008-A012,61,26.0,"Sachlich beginnen; Bildbruch erst ab Europa unter Wasser"
EP04A_TAKE_004_DER_PSYCHIATER,S2,A013-A014,51,21.7,"Nüchtern und fachlich, nicht klinisch kalt"
EP04A_TAKE_005_DER_KRIEG,S2,A015-A017,69,29.4,"Gefahr liegt in der Deutung, nicht in Trailer-Spannung"
EP04A_TAKE_006_AKTIVE_IMAGINATION,S3,A018-A019,58,24.7,"Fließend; aktive Imagination nicht esoterisch betonen"
EP04A_TAKE_007_DIE_HOEHLE,S3,A020-A023,40,17.0,"Kurze Bilder mit Luft, aber ohne Horrorflüstern"
EP04A_TAKE_008_PHILEMON,S3,A024-A025,74,31.5,"Neugierig und offen; keine Offenbarungsstimme"
EP04A_TAKE_009_DER_BODEN,S3,A026-A027,41,17.4,"Patienten bis Alltag trocken setzen; Schlussfrage tragen"
EP04A_TAKE_010_ZURUECK_1932,S4,A028-A030,69,29.4,"Deutlicher Realitäts-Reset nach Zürich"
EP04A_TAKE_011_WESTLICHER_ZUGRIFF,S4,A031-A033,62,26.4,"Wir-Liste leicht beschleunigen, nicht karikieren"
EP04A_TAKE_012_ZUSTAENDE,S4,A034,47,20.0,"Erklärend und zugänglich"
EP04A_TAKE_013_MULADHARA,S5,A035-A037,59,25.1,"Konkrete Wörter körperlich, nicht mantraartig"
EP04A_TAKE_014_MANIPURA,S5,A038-A040,42,17.9,"Spannung aus der Alltagsszene entwickeln"
EP04A_TAKE_015_ANAHATA,S5,A041-A042,57,24.3,"Mehr Raum in der Stimme, aber keine Meditation"
EP04A_TAKE_016_DIE_WAHL,S5,A043,29,12.3,"Klarer Mikro-Höhepunkt ohne Pathos"
EP04A_TAKE_017_DIE_NACHRICHT,S6,A044-A046,40,17.0,"Nah und gegenwärtig"
EP04A_TAKE_018_ZWEI_SEKUNDEN,S6,A047,25,10.6,"Nach dem Take zwei Sekunden echte Stille im Edit"
EP04A_TAKE_019_DER_IMPULS,S6,A048,31,13.2,"Ruhig einsetzen; natürliche Fortsetzung nach der Pause"
EP04A_TAKE_020_DAS_SYMBOL,S6,A048-A049,51,21.7,"Warm erklären, nicht beweisen"
EP04A_TAKE_021_KARTE_ODER_SPIEGEL,S6,A049-A050,35,14.9,"CTA direkt; danach Tonwechsel zur Quellenfrage"
EP04A_TAKE_022_SECHS_ZENTREN,S7,A051-A053,48,20.4,"Titel und Sanskrit zuerst im Aussprachetest prüfen"
EP04A_TAKE_023_DIE_KARTE_REIST,S7,A054-A055,71,30.2,"Investigativ und etwas zügiger"
EP04A_TAKE_024_ZURUECK_ZU_JUNG,S8,A056-A059,78,33.2,"Offene Deutung; drei Vielleicht-Sätze gleichwertig"
EP04A_TAKE_025_WAS_BLEIBT,S8,A059-A060,58,24.7,"Ruhig verdichten; Gewicht auf zu viel zutraute"
EP04A_TAKE_026_PAULI,S8,A061-A062,44,18.7,"Wolfgang Pauli, Nobelpreisträger und Physiker klar absetzen"

