id,episodes,title,traffic_light,license,source_page,download_url,filename,relative_dir,auto_download,expected_kind,note
EP05_SRC01,EP05,"Wolfgang Pauli, 1924",YELLOW,"Commons source locked; verify concrete PD/license block at download",https://commons.wikimedia.org/wiki/File:Wolfgang_Pauli.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Wolfgang%20Pauli.jpg,SRC01_Wolfgang_Pauli_1924.jpg,EP05/02_REVIEW_YELLOW/PORTRAITS,1,image,"Identity anchor; archive concrete Commons rights block."
EP05_SRC02,EP05,"Wolfgang Pauli, 1945",GREEN,"Public Domain per locked source map",https://commons.wikimedia.org/wiki/File:Pauli.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Pauli.jpg,SRC02_Wolfgang_Pauli_1945.jpg,EP05/01_ORIGINAL_GREEN/PORTRAITS,1,image,"Optional second Pauli portrait."
EP05_SRC03,EP05,"Solvay Conference 1927 — Version 2",YELLOW,"Commons source locked; verify concrete PD basis at download",https://commons.wikimedia.org/wiki/File:Solvay_conference_1927_Version2.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Solvay%20conference%201927%20Version2.jpg,SRC03_Solvay_Conference_1927_Version2.jpg,EP05/02_REVIEW_YELLOW/GROUPS,1,image,"Scientific reality anchor; one of two useful versions."
EP05_SRC04,EP05,"Solvay Conference 1927 — alternate",YELLOW,"Commons source locked; verify concrete PD basis at download",https://commons.wikimedia.org/wiki/File:Solvay_conference_1927.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Solvay%20conference%201927.jpg,SRC04_Solvay_Conference_1927.jpg,EP05/02_REVIEW_YELLOW/GROUPS,1,image,"Alternative framing; retained so production can choose locally."
EP05_SRC05,EP05,"Carl Gustav Jung portrait",YELLOW,"Commons source locked; verify concrete PD/license block at download",https://commons.wikimedia.org/wiki/File:Carl_Gustav_Jung_portrait.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Carl%20Gustav%20Jung%20portrait.jpg,SRC05_Carl_Gustav_Jung_Portrait.jpg,EP05/02_REVIEW_YELLOW/PORTRAITS,1,image,"Identity anchor; do not replace with synthetic portrait."
EP05_SRC06,EP05,"ETH Zürich, historical 1880",YELLOW,"Commons / Baugeschichtliches Archiv; verify concrete rights block",https://commons.wikimedia.org/wiki/File:ETH_Zuerich_1880.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/ETH%20Zuerich%201880.jpg,SRC06_ETH_Zuerich_Historical.jpg,EP05/02_REVIEW_YELLOW/PLACES,1,image,"Institutional context; not an exact image of Pauli's ETH years."
EP05_SRC07,EP05,"Johannes Kepler portrait",GREEN,"Public Domain per locked source map",https://commons.wikimedia.org/wiki/File:Portrait_of_Johannes_Kepler.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Portrait%20of%20Johannes%20Kepler.jpg,SRC07_Johannes_Kepler_Portrait.jpg,EP05/01_ORIGINAL_GREEN/PORTRAITS,1,image,"Kepler reveal."
EP05_SRC08,EP05,"Cetonia aurata species reference",YELLOW,"Commons source locked; verify concrete license block at download",https://commons.wikimedia.org/wiki/File:Cetonia_aurata.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Cetonia%20aurata.jpg,SRC08_Cetonia_Aurata_Species.jpg,EP05/02_REVIEW_YELLOW/SPECIES,1,image,"Species reference only; never claim this is Jung's historical beetle."
EP05_SRC09,EP05,"Cetonia aurata alternative species reference",GREEN,"CC0 per locked source map",https://commons.wikimedia.org/wiki/File:Cetonia-aurata-21-fws.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Cetonia-aurata-21-fws.jpg,SRC09_Cetonia_Aurata_CC0.jpg,EP05/01_ORIGINAL_GREEN/SPECIES,1,image,"CC0 alternative retained in addition to SRC08."
EP05_DOC01,EP05,"Jung/Pauli correspondence scan",RED,"PERMISSION REQUIRED — CERN/ETH correspondence is not automatically reusable",https://scientific-info.cern/archives/Pauli_archive/guide/letters,,EP05_DOC01_JUNG_PAULI_LETTER.url.txt,EP05/03_REFERENCE_ONLY/DOCUMENTS,0,none,"Do not auto-download or use scan without explicit reproduction permission."
EP05_DOC02,EP05,"Naturerklärung und Psyche, 1952",RED,"METADATA CLEARED — scan reproduction permission required",https://www.helveticarchives.ch/detail.aspx?ID=184586,,EP05_DOC02_NATURERKLAERUNG_UND_PSYCHE_1952.url.txt,EP05/03_REFERENCE_ONLY/DOCUMENTS,0,none,"Use bibliographic reconstruction by default; no scan without permission."
