order,kind,output_filename,references,prompt_source,prompt_line,status
1,STYLE_MASTER,STYLE_CINEMATIC_EP08.png,Keine,01_PROMPTS/NANOBANANA_GUIDE_V4.md,29,READY
2,STYLE_MASTER,STYLE_CONCEPTUAL_EP08.png,Keine,01_PROMPTS/NANOBANANA_GUIDE_V4.md,34,READY
3,STYLE_MASTER,STYLE_MEDIA_EP08.png,EP08_Art_Bell_portrait_2000.webp,01_PROMPTS/NANOBANANA_GUIDE_V4.md,39,READY
4,MAIN,IMG001_ART_BELL_RADIO_RECON.png,STYLE_MEDIA_EP08.png; EP08_Art_Bell_portrait_2000.webp,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,8,READY
5,MAIN,IMG002_4500_MESSAGES_MATERIAL.png,STYLE_MEDIA_EP08.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,13,READY
6,MAIN,IMG003_SHADOW_DOORWAY_GENERIC.png,STYLE_CONCEPTUAL_EP08.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,18,READY
7,MAIN,IMG004_SHADOW_PERIPHERAL_GLIMPSE.png,STYLE_CONCEPTUAL_EP08.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,23,READY
8,MAIN,IMG005_EARLY_WEB_FORUM_RECON.png,STYLE_MEDIA_EP08.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,28,READY
9,MAIN,IMG006_SHADOW_DRAWINGS_SPREAD.png,STYLE_CONCEPTUAL_EP08.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,33,READY
10,MAIN,IMG007_NAME_STABILIZES_SHAPE.png,STYLE_CONCEPTUAL_EP08.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,38,READY
11,MAIN,IMG008_INTRUDER_OVERLAP_BASE.png,STYLE_CONCEPTUAL_EP08.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,43,READY
12,RESERVE,SHOT01_RADIO_MICROPHONE_MACRO.png,STYLE_MEDIA_EP08.png,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,52,READY
