cue_id,start,end,duration,voice_text,internal_mode,primary_asset,asset_state,fallback_asset,editorial_use,visible_mode_badge,reconstruction_context
GW-CUE-001,0.120,0.880,0.760,Three observers.,MODEL,GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.mp4,three observers,,linear Recommendation H hook,NO,none
GW-CUE-002,1.240,1.830,0.590,One target.,MODEL,GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.mp4,one target,,linear Recommendation H hook,NO,none
GW-CUE-003,2.540,3.369,0.829,One sees it now.,MODEL,GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.mp4,present,,linear Recommendation H hook,NO,none
GW-CUE-004,3.780,5.280,1.500,One searches the immediate past.,MODEL,GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.mp4,immediate past,,linear Recommendation H hook,NO,none
GW-CUE-005,5.620,7.110,1.490,One searches the immediate future.,MODEL,GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.mp4,immediate future,,linear Recommendation H hook,NO,none
GW-CUE-006,7.920,10.440,2.520,Their descriptions are compared only after the session.,MODEL,GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.mp4,compare after session,,linear Recommendation H hook,NO,none
GW-CUE-007,11.030,13.100,2.070,This was not written for a science-fiction film.,ORIGINAL DOCUMENT,GW_EN_DOC20_TASKING.png,tasking line,,document reality anchor,NO,none
GW-CUE-008,13.480,17.290,3.810,It is Recommendation H in a report prepared for the United States Army.,ORIGINAL DOCUMENT,GW_EN_DOC15_RECOMMENDATION_H.png,Recommendation H source line,,hook payoff,NO,none
GW-CUE-009,17.900,19.510,1.610,"June ninth, 1983.",ORIGINAL DOCUMENT,GW_EN_DOC44_DATE.png,9 June 1983 detail,,date proof,NO,none
GW-CUE-010,19.980,22.260,2.280,Written by Lieutenant Colonel Wayne M. McDonnell.,ORIGINAL DOCUMENT,GW_EN_DOC02_MCDONNELL_SIGNATURE.png,signature block,,McDonnell introduction through verified signature,NO,none
GW-CUE-011,22.680,23.850,1.170,"Fort Meade, Maryland.",MAP,GW_EN_MAP01_FORT_MEADE_CONTEXT.png,regional context,,Fort Meade location,NO,none
GW-CUE-012,24.370,27.770,3.400,The declassified copy now carries CIA archive release marks.,ORIGINAL DOCUMENT,GW_EN_CLIP02_ARCHIVE_CHAIN.mp4,archive marks,,CIA release marks,NO,none
GW-CUE-013,28.280,31.240,2.960,That is why the internet calls it the CIA Gateway Report.,ORIGINAL DOCUMENT,GW_EN_CLIP02_ARCHIVE_CHAIN.mp4,archive chain resolves,,internet naming versus custody,NO,none
GW-CUE-014,31.860,35.200,3.340,"But this was an Army analysis, not a CIA-authored report.",MODEL,GW_EN_CARD_ARMY_NOT_CIA.png,authorship correction,,Army authorship separated from CIA custody,NO,none
GW-CUE-015,35.800,39.200,3.400,And Recommendation H was not McDonnell's strangest proposal.,MODEL,GW_EN_CARD_H_RECOMMENDATION_H.png,H before stranger clause,,Recommendation H callback with new graphic,NO,none
GW-CUE-016,39.840,45.760,5.920,"He also wanted personnel prepared for possible encounters with intelligent, non-corporeal energy forms.",INNER / HYPOTHESIS,GW_EN_CLIP09_NONPHYSICAL_PRESENCE_SAFE.mp4,controlled perimeter distortion,,non-corporeal idea in hook,NO,none
GW-CUE-017,45.840,47.840,2.000,How did an intelligence officer arrive there?,RECONSTRUCTION,GW_EN_STILL01_MCDONNELL_REPORT_V2_FINAL.png,officer studies report from behind,,anonymous officer action anchored earlier by signature,NO,optional 1.5-2.0s at first block entry only
GW-CUE-018,48.380,51.140,2.760,The path begins with two tones in a pair of headphones.,MODEL,GW_EN_CARD_CROSSING_SOUND.png,sound begins,,two-tone path preview,NO,none
GW-CUE-019,51.640,54.010,2.370,It ends with time treated like a military coordinate.,MODEL,GW_EN_CARD_TIME_COORDINATE.png,time as coordinate,,time-coordinate preview,NO,none
GW-CUE-020,54.460,56.820,2.360,And hidden in the middle is a test with ten digits.,MODEL,GW_EN_CARD_DIGITS_SOME.png,some digits,,ten-digit preview,NO,none
GW-CUE-021,57.280,59.320,2.040,The result was too weak to prove the claim.,MODEL,GW_EN_CARD_DIGITS_NONE.png,none complete,,negative result preview,NO,none
GW-CUE-022,59.700,62.340,2.640,"And, to McDonnell, interesting enough not to discard.",MODEL,GW_EN_CARD_WEAK_NOT_DISCARDED.png,prove versus discard,,weak but retained result,NO,none
GW-CUE-023,62.910,65.160,2.250,The first man in the chain was Robert Monroe.,ORIGINAL DOCUMENT,GW_EN_DOC64_MONROE_INVENTOR.png,patent inventor line,,Robert Monroe introduction,NO,none
