beat,state,canonical,in,out,hold,text
1,EP13-C18,EP13-C18,0.1,6.18,6.08,"In einer Krone aus Gold und Perlen, in einem Heiligtum in Portugal, steckt eine Kugel."
2,EP13-C13,EP13-C13,6.3,8.7,2.4,Sie wurde auf einen Papst abgefeuert.
3,EP13-C13,EP13-C13,8.74,9.42,0.68,Er überlebte.
4,H24_HAND_ON_ENVELOPE,H24_HAND_ON_ENVELOPE,10.16,14.76,4.6,"Und zwei Monate später, noch nicht genesen von der Operation, ließ er sich einen Umschlag bringen, der seit si"
4,H01_ENVELOPE_SEALED,H01_ENVELOPE_SEALED,14.76,19.36,4.6,"Und zwei Monate später, noch nicht genesen von der Operation, ließ er sich einen Umschlag bringen, der seit si"
5,CLIP09_PUTTING_IT_AWAY,H10_BOX_RETURNED,19.46,28.6,9.14,"Zwei Päpste vor ihm hatten diesen Umschlag geöffnet, gelesen, was darin stand, und ihn wieder verschlossen, oh"
6,EP13-C01,EP13-C01,28.66,33.34,4.68,Die Schüsse fielen am dreizehnten Mai 1981 auf dem Petersplatz.
7,P08_SHEPHERD_CHILDREN_DISTANT,P08_SHEPHERD_CHILDREN_DISTANT,34.06,39.36,5.3,"Vierundsechzig Jahre zuvor, am dreizehnten Mai 1917, sagten drei Hirtenkinder bei einem portugiesischen Dorf, "
7,EP13-C07,EP13-C07,39.36,44.66,5.3,"Vierundsechzig Jahre zuvor, am dreizehnten Mai 1917, sagten drei Hirtenkinder bei einem portugiesischen Dorf, "
8,EP13-C26,EP13-C26,45.42,49.72,4.3,"Eines dieser Kinder schrieb später einen Teil dessen auf, was sie gesehen hatte."
9,H18_LOCKED_DOOR,H18_LOCKED_DOOR,50.62,52.28,1.66,Das ist der Text in dem Umschlag.
10,V14_DOORWAY_LIGHT,V14_DOORWAY_LIGHT,52.94,57.72,4.78,"Diese Geschichte stellt also zwei Fragen, und die zweite ist die seltsamere."
11,V13_PAGE_DISSOLVING,V13_PAGE_DISSOLVING,57.78,58.69,0.91,Was hat er gelesen?
12,H28_GOLD_UNDER_GLASS,H28_GOLD_UNDER_GLASS,59.46,64.06,4.6,"Und wie kommt eine Kugel, die in Rom abgefeuert wurde, in eine Krone in Portugal?"
13,H08_ENVELOPE_CARRIED,H08_ENVELOPE_CARRIED,65.02,68.2,3.18,"Folgen wir dem Umschlag, denn der Umschlag lässt sich verfolgen."
14,CLIP03_WRITING,H05_WRITING_HAND_1944,68.74,71.18,2.44,Er beginnt mit einem Mädchen und einem Bleistift.
15,EP13-C14,EP13-C14,72.18,76.17,3.99,"Die berichteten Erscheinungen von Fatima zogen sich durch den Sommer 1917. Die Kinder sprachen von Gebet, von "
15,EP13-C10,EP13-C10,76.17,80.17,4.0,"Die berichteten Erscheinungen von Fatima zogen sich durch den Sommer 1917. Die Kinder sprachen von Gebet, von "
15,EP13-C11,EP13-C11,80.17,84.16,3.99,"Die berichteten Erscheinungen von Fatima zogen sich durch den Sommer 1917. Die Kinder sprachen von Gebet, von "
16,CARD01_1944,CARD01_1944,85.1,89.59,4.49,"Siebenundzwanzig Jahre später, am dritten Januar 1944, setzte sich eines von ihnen hin und schrieb den letzten"
16,P12_WOMAN_WRITING_ROOM,P12_WOMAN_WRITING_ROOM,89.59,94.08,4.49,"Siebenundzwanzig Jahre später, am dritten Januar 1944, setzte sich eines von ihnen hin und schrieb den letzten"
17,EP13-C27,EP13-C27,94.14,98.2,4.06,"Lucia dos Santos war die Einzige der drei, die noch lebte."
