transition,boundary_seconds,pre_seconds,post_seconds,from_asset,to_asset,mean_abs_pixel_difference,exact_same_frame,status
1,10.735,10.600,10.867,GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.mp4,GW_EN_DOC20_TASKING.png,141.9201,False,PASS
2,13.290,13.167,13.400,GW_EN_DOC20_TASKING.png,GW_EN_DOC15_RECOMMENDATION_H.png,37.2968,False,PASS
3,17.595,17.467,17.700,GW_EN_DOC15_RECOMMENDATION_H.png,GW_EN_DOC44_DATE.png,35.2274,False,PASS
4,19.745,19.633,19.867,GW_EN_DOC44_DATE.png,GW_EN_DOC02_MCDONNELL_SIGNATURE.png,30.2751,False,PASS
5,22.470,22.367,22.600,GW_EN_DOC02_MCDONNELL_SIGNATURE.png,GW_EN_MAP01_FORT_MEADE_CONTEXT.png,159.9732,False,PASS
6,24.110,24.000,24.233,GW_EN_MAP01_FORT_MEADE_CONTEXT.png,GW_EN_CLIP02_ARCHIVE_CHAIN.mp4,152.9236,False,PASS
7,31.550,31.433,31.667,GW_EN_CLIP02_ARCHIVE_CHAIN.mp4,GW_EN_CARD_ARMY_NOT_CIA.png,0.3947,False,PASS
8,35.500,35.367,35.633,GW_EN_CARD_ARMY_NOT_CIA.png,GW_EN_CARD_H_RECOMMENDATION_H.png,8.9378,False,PASS
9,39.520,39.400,39.633,GW_EN_CARD_H_RECOMMENDATION_H.png,GW_EN_CLIP09_NONPHYSICAL_PRESENCE_SAFE.mp4,19.7329,False,PASS
10,45.800,45.667,45.933,GW_EN_CLIP09_NONPHYSICAL_PRESENCE_SAFE.mp4,GW_EN_STILL01_MCDONNELL_REPORT_V2_FINAL.png,67.5038,False,PASS
11,48.110,48.000,48.233,GW_EN_STILL01_MCDONNELL_REPORT_V2_FINAL.png,GW_EN_CARD_CROSSING_SOUND.png,66.0772,False,PASS
12,51.390,51.267,51.500,GW_EN_CARD_CROSSING_SOUND.png,GW_EN_CARD_TIME_COORDINATE.png,5.6486,False,PASS
13,54.235,54.100,54.367,GW_EN_CARD_TIME_COORDINATE.png,GW_EN_CARD_DIGITS_SOME.png,7.2963,False,PASS
14,57.050,56.933,57.167,GW_EN_CARD_DIGITS_SOME.png,GW_EN_CARD_DIGITS_NONE.png,4.9406,False,PASS
15,59.510,59.400,59.633,GW_EN_CARD_DIGITS_NONE.png,GW_EN_CARD_WEAK_NOT_DISCARDED.png,7.6790,False,PASS
16,62.625,62.500,62.733,GW_EN_CARD_WEAK_NOT_DISCARDED.png,GW_EN_DOC64_MONROE_INVENTOR.png,159.2939,False,PASS
17,65.450,65.333,65.567,GW_EN_DOC64_MONROE_INVENTOR.png,GW_EN_FILMIC06_MONROE_RADIO_STUDIO_FINAL.png,158.9581,False,PASS
18,69.355,69.233,69.467,GW_EN_FILMIC06_MONROE_RADIO_STUDIO_FINAL.png,GW_EN_CLIP03_MONROE_EXIT.mp4,40.3931,False,PASS
19,75.300,75.167,75.433,GW_EN_CLIP03_MONROE_EXIT.mp4,GW_EN_FILMIC07_MONROE_LAB_BUILDER_FINAL.png,49.4153,False,PASS
20,80.925,80.800,81.033,GW_EN_FILMIC07_MONROE_LAB_BUILDER_FINAL.png,GW_EN_FILMIC08_GATEWAY_TRAINING_SESSION_FINAL.png,40.6381,False,PASS
21,88.550,88.433,88.666,GW_EN_FILMIC08_GATEWAY_TRAINING_SESSION_FINAL.png,GW_EN_DOC03_HEMISYNC.png,121.8333,False,PASS
22,90.310,90.200,90.433,GW_EN_DOC03_HEMISYNC.png,GW_EN_DOC21_HYPNOSIS.png,34.8167,False,PASS
23,94.780,94.666,94.900,GW_EN_DOC21_HYPNOSIS.png,GW_EN_DOC17_BIBLIOGRAPHY.png,33.4240,False,PASS
24,99.515,99.400,99.633,GW_EN_DOC17_BIBLIOGRAPHY.png,GW_EN_DOC65_BENTOV_INVENTOR.png,23.2295,False,PASS
25,101.800,101.666,101.933,GW_EN_DOC65_BENTOV_INVENTOR.png,GW_EN_FILMIC09_BENTOV_CATHETER_BENCH_FINAL.png,152.6515,False,PASS
26,105.230,105.100,105.366,GW_EN_FILMIC09_BENTOV_CATHETER_BENCH_FINAL.png,GW_EN_FILMIC10_BODY_OSCILLATION_TEST_FINAL.png,48.9147,False,PASS
27,109.450,109.333,109.566,GW_EN_FILMIC10_BODY_OSCILLATION_TEST_FINAL.png,GW_EN_INNER05_BODY_RESONANCE_NATIVE.png,32.6379,False,PASS
28,113.395,113.266,113.500,GW_EN_INNER05_BODY_RESONANCE_NATIVE.png,GW_EN_INNER06_COHERENT_FIELD_NATIVE.png,29.8466,False,PASS
29,118.900,118.766,119.033,GW_EN_INNER06_COHERENT_FIELD_NATIVE.png,GW_EN_DOC19_NTSB_FLIGHT191.png,145.1871,False,PASS
30,125.010,124.900,125.133,GW_EN_DOC19_NTSB_FLIGHT191.png,GW_EN_MAP02_FLIGHT191_ROUTE_CONTEXT.png,148.3025,False,PASS
31,127.200,127.066,127.333,GW_EN_MAP02_FLIGHT191_ROUTE_CONTEXT.png,AA191_CRASH_SITE_NTSB_PD.png,64.8425,False,PASS
32,131.150,131.033,131.266,AA191_CRASH_SITE_NTSB_PD.png,GW_EN_DOC58_BENTOV_REAPPEARS.png,123.8957,False,PASS
33,135.190,135.066,135.300,GW_EN_DOC58_BENTOV_REAPPEARS.png,GW_EN_FILMIC12_RIGHT_EAR_HEADPHONE_MACRO_FINAL.png,129.6095,False,PASS
34,137.175,137.066,137.300,GW_EN_FILMIC12_RIGHT_EAR_HEADPHONE_MACRO_FINAL.png,GW_EN_STILL02_BENTOV_OSCILLATOR_OBJECT_V4_FINAL.png,61.4998,False,PASS
35,139.605,139.500,139.733,GW_EN_STILL02_BENTOV_OSCILLATOR_OBJECT_V4_FINAL.png,GW_EN_STILL04_REPORTS_SIDE_BY_SIDE_V2_FINAL.png,69.9960,False,PASS
36,141.390,141.266,141.500,GW_EN_STILL04_REPORTS_SIDE_BY_SIDE_V2_FINAL.png,GW_EN_DOC23_BIOFEEDBACK.png,95.9784,False,PASS
37,144.550,144.433,144.666,GW_EN_DOC23_BIOFEEDBACK.png,GW_EN_CARD_BEAT_400.png,163.6772,False,PASS
38,147.110,147.000,147.233,GW_EN_CARD_BEAT_400.png,GW_EN_CARD_BEAT_410.png,4.4043,False,PASS
39,149.130,149.000,149.266,GW_EN_CARD_BEAT_410.png,GW_EN_CLIP04_BEAT_RESONANCE.mp4,2.4556,False,PASS
