id,episodes,title,traffic_light,license,source_page,download_url,filename,relative_dir,auto_download,expected_kind
EP06_PLACE_001,EP06,"Fogo Island fishing village, Newfoundland",GREEN,Public Domain (author dedication),https://commons.wikimedia.org/wiki/File:Carlb-fogo-newfoundland-fishery-2002.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Carlb-fogo-newfoundland-fishery-2002.jpg,EP06_S02_Fogo_Island_Newfoundland_fishing_village_2002.jpg,EP06/01_ORIGINAL_GREEN/PLACE,1,image
EP06_PLACE_002,EP06,Admiralty Chart No. 293 — Fogo Island to Cape Bonavista (1873),GREEN,Public Domain — UK Crown copyright expired,"https://commons.wikimedia.org/wiki/File:Admiralty_Chart_No_293_Fogo_Island_to_Cape_Bonavista,_Puublished_1873.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Admiralty%20Chart%20No%20293%20Fogo%20Island%20to%20Cape%20Bonavista%2C%20Puublished%201873.jpg,EP06_S02_Fogo_Island_to_Cape_Bonavista_Admiralty_Chart_1873.jpg,EP06/01_ORIGINAL_GREEN/MAPS,1,image
SHARED_SCI_001,EP06;EP08,NHLBI Sleep Studies illustration,GREEN,Public Domain — U.S. Federal Government (NHLBI/NIH),https://commons.wikimedia.org/wiki/File:Sleep_studies.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sleep%20studies.jpg,SHARED_Sleep_Studies_NHLBI_Polysomnography_PD.jpg,00_SHARED/01_ORIGINAL_GREEN/SCIENCE_LAB,1,image
SHARED_SCI_002,EP06;EP08,EEG cap photograph,YELLOW,Public Domain dedication; personality-rights warning,https://commons.wikimedia.org/wiki/File:EEG_cap.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/EEG%20cap.jpg,SHARED_EEG_cap_subject_PD_personality_review.jpg,00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB,1,image
SHARED_SCI_003,EP06;EP08,Polysomnography tester,YELLOW,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Polysomnography_tester.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Polysomnography%20tester.jpg,SHARED_Polysomnography_tester_CC-BY-SA-4.0.jpg,00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB,1,image
SHARED_SCI_004,EP06;EP08,Polysomnography connections close-up,YELLOW,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Polysomnography_connections.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Polysomnography%20connections.jpg,SHARED_Polysomnography_sensor_connections_CC-BY-SA-4.0.jpg,00_SHARED/02_REVIEW_YELLOW/SCIENCE_LAB,1,image
SHARED_SCI_005,EP06,Simplified Sleep Phases diagram,YELLOW,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Simplified_Sleep_Phases.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Simplified%20Sleep%20Phases.jpg,EP06_S03_Simplified_Sleep_Phases_CC-BY-SA-3.0.jpg,EP06/02_REVIEW_YELLOW/SCIENCE_DIAGRAM,1,image
EP06_REF_001,EP06,David Hufford official biography / portrait reference,RED,No clear reuse license found for portrait,https://davidhufford.org/hbb/about/david-hufford/,,EP06_REFERENCE_David_Hufford_official_bio.url.txt,EP06/03_REFERENCE_ONLY/PORTRAITS,0,none
EP06_REF_002,EP06,Allan Cheyne — University of Waterloo profile,RED,University webpage; image reuse license not stated,https://uwaterloo.ca/psychology/contacts/allan-cheyne,,EP06_REFERENCE_Allan_Cheyne_Waterloo_profile.url.txt,EP06/03_REFERENCE_ONLY/PORTRAITS,0,none
EP06_REF_003,EP06,Takeuchi et al. 1992 — Isolated sleep paralysis elicited by sleep interruption,RED,Copyrighted journal article / bibliographic reference,https://pubmed.ncbi.nlm.nih.gov/1621022/,,EP06_REFERENCE_Takeuchi_1992_sleep_interruption_study.url.txt,EP06/03_REFERENCE_ONLY/PAPERS,0,none
EP07_DOC_001,EP07,Bridget Bishop examination — Massachusetts Archives,GREEN,Massachusetts government record — available for public use,https://digitalarchives.sec.state.ma.us/uncategorised/IO_c671978f-11b3-46ea-b82d-b42589999ce5/?view=gallery,https://digitalarchives.sec.state.ma.us/download/file/IO_c671978f-11b3-46ea-b82d-b42589999ce5,EP07_S01_Bridget_Bishop_Examination_1692,EP07/01_ORIGINAL_GREEN/SALEM_PRIMARY_DOCUMENTS,1,detect
EP07_DOC_002,EP07,Richard Coman testimony v. Bridget Bishop — Massachusetts Archives,GREEN,Massachusetts government record — available for public use,https://digitalarchives.sec.state.ma.us/uncategorised/IO_cacbfdf0-5d5a-4707-afcc-3d5b9aa1be4d/,https://digitalarchives.sec.state.ma.us/download/file/IO_cacbfdf0-5d5a-4707-afcc-3d5b9aa1be4d,EP07_S01_Richard_Coman_Testimony_v_Bridget_Bishop_1692,EP07/01_ORIGINAL_GREEN/SALEM_PRIMARY_DOCUMENTS,1,detect
EP07_ART_001,EP07,Henry Fuseli — The Nightmare,GREEN,Public Domain / PD-Art,https://commons.wikimedia.org/wiki/File:John_Henry_Fuseli_-_The_NightmareFXD.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/John%20Henry%20Fuseli%20-%20The%20NightmareFXD.jpg,EP07_S02_Fuseli_The_Nightmare_1781_PD.jpg,EP07/01_ORIGINAL_GREEN/HISTORICAL_ART,1,image
EP07_ART_002,EP07,Nicolai Abildgaard — Nightmare,GREEN,Public Domain / faithful reproduction,https://commons.wikimedia.org/wiki/File:Abildgaard_Nightmare.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Abildgaard%20Nightmare.jpg,EP07_S02_Abildgaard_Nightmare_1800_PD.jpg,EP07/01_ORIGINAL_GREEN/HISTORICAL_ART,1,image
EP07_ART_003,EP07,Queen of the Night / Burney Relief — British Museum photograph,GREEN,CC0 1.0,https://commons.wikimedia.org/wiki/File:British_Museum_Queen_of_the_Night.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/British%20Museum%20Queen%20of%20the%20Night.jpg,EP07_S03_Queen_of_the_Night_Burney_Relief_CC0.jpg,EP07/01_ORIGINAL_GREEN/ANCIENT_OBJECTS,1,image
EP07_ART_004,EP07,Burney Relief alternate photograph,YELLOW,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Burney_Relief_Babylon_-1800-1750.JPG,https://commons.wikimedia.org/wiki/Special:Redirect/file/Burney%20Relief%20Babylon%20-1800-1750.JPG,EP07_Burney_Relief_alternate_CC-BY-SA-3.0.JPG,EP07/02_REVIEW_YELLOW/ANCIENT_OBJECTS,1,image
