edit_shot_id,start,end,duration,cue_first,cue_last,primary_asset,asset_state,internal_mode,editorial_use,fallback_asset,source_in,source_out,playback_rate,retention_review,visible_mode_badge,series_usage
GW-SHOT-001,0.000,10.735,10.735,GW-CUE-001,GW-CUE-006,GW_EN_CLIP01_THREE_TIMES_RECOMMENDATION_H.mp4,three observers → one target → present → immediate past → immediate future → compare after session,MODEL,linear Recommendation H hook,,0.000,10.500,0.978x,ACCEPT: 10.7s hook contains six visible protocol stages and one continuous source pass; no restart.,NO,EP02_ONLY
GW-SHOT-002,10.735,13.290,2.555,GW-CUE-007,GW-CUE-007,GW_EN_DOC20_TASKING.png,tasking line,ORIGINAL DOCUMENT,document reality anchor,,,,,,NO,EP02_ONLY
GW-SHOT-003,13.290,17.595,4.305,GW-CUE-008,GW-CUE-008,GW_EN_DOC15_RECOMMENDATION_H.png,Recommendation H source line,ORIGINAL DOCUMENT,hook payoff,,,,,,NO,EP02_ONLY
GW-SHOT-004,17.595,19.745,2.150,GW-CUE-009,GW-CUE-009,GW_EN_DOC44_DATE.png,9 June 1983 detail,ORIGINAL DOCUMENT,date proof,,,,,,NO,EP02_ONLY
GW-SHOT-005,19.745,22.470,2.725,GW-CUE-010,GW-CUE-010,GW_EN_DOC02_MCDONNELL_SIGNATURE.png,signature block,ORIGINAL DOCUMENT,McDonnell introduction through verified signature,,,,,,NO,EP02_ONLY
GW-SHOT-006,22.470,24.110,1.640,GW-CUE-011,GW-CUE-011,GW_EN_MAP01_FORT_MEADE_CONTEXT.png,regional context,MAP,Fort Meade location,,,,,,NO,EP02_ONLY
GW-SHOT-007,24.110,31.550,7.440,GW-CUE-012,GW-CUE-013,GW_EN_CLIP02_ARCHIVE_CHAIN.mp4,archive marks → archive chain resolves,ORIGINAL DOCUMENT,CIA release marks / internet naming versus custody,,0.000,7.000,0.941x,,NO,EP02_ONLY
GW-SHOT-008,31.550,35.500,3.950,GW-CUE-014,GW-CUE-014,GW_EN_CARD_ARMY_NOT_CIA.png,authorship correction,MODEL,Army authorship separated from CIA custody,,,,,,NO,EP02_ONLY
GW-SHOT-009,35.500,39.520,4.020,GW-CUE-015,GW-CUE-015,GW_EN_CARD_H_RECOMMENDATION_H.png,H before stranger clause,MODEL,Recommendation H callback with new graphic,,,,,,NO,EP02_ONLY
GW-SHOT-010,39.520,45.800,6.280,GW-CUE-016,GW-CUE-016,GW_EN_CLIP09_NONPHYSICAL_PRESENCE_SAFE.mp4,controlled perimeter distortion,INNER / HYPOTHESIS,non-corporeal idea in hook,,0.000,6.000,0.955x,,NO,EP02_ONLY
