asset_id,category,title_subject,source_page,direct_download_or_record,creator_institution,date,rights_status,priority,intended_use,claim_limit,status
EP11_PORTRAIT_BLAVATSKY_RIJKSMUSEUM,portrait,Helena Petrovna Blavatsky portrait,"https://commons.wikimedia.org/wiki/File:Portret_van_Helena_Blavatsky,_RP-F-2001-7-67-105.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Portret_van_Helena_Blavatsky,_RP-F-2001-7-67-105.jpg",Rijksmuseum / anonymous,ca. 1881-1891,CC0,1,Primary identity anchor for Blavatsky introduction,Identity only; do not overstate exact sitting date,ACQUIRE
EP11_PORTRAIT_SPENCER,portrait,Walter Baldwin Spencer portrait,https://commons.wikimedia.org/wiki/File:Walter_Baldwin_Spencer.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Walter_Baldwin_Spencer.jpg,historical photograph / Wikimedia Commons,19th-20th c.,Public domain per Commons metadata; verify source-country tag,1,Humanize nineteenth-century comparative anatomy section,Use only as identity portrait; no claim that portrait relates to pineal-eye paper,ACQUIRE_VERIFY
EP11_PORTRAIT_LEYDIG,portrait,Franz Leydig portrait,https://commons.wikimedia.org/wiki/File:Franz_Leydig.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Franz_Leydig.jpg,historical photograph / Wikimedia Commons,19th c.,Public domain per Commons metadata; verify source-country tag,1,Early comparative-anatomy researcher identity beat,Identity only,ACQUIRE_VERIFY
EP11_PORTRAIT_LEADBEATER,portrait,Charles Webster Leadbeater portrait,https://commons.wikimedia.org/wiki/File:Charles_Webster_Leadbeater.003.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Charles_Webster_Leadbeater.003.jpg,historical photograph / Wikimedia Commons,early 20th c.,Public domain/reuse status to verify on file page,2,Identity anchor for 1927 mapping section,Identity only,ACQUIRE_VERIFY
EP11_PORTRAIT_WOODROFFE,portrait,Sir John Woodroffe / Arthur Avalon portrait,https://commons.wikimedia.org/wiki/File:Sir_John_Woodroffe.png,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sir_John_Woodroffe.png,historical portrait / Wikimedia Commons,early 20th c.,Verify Commons rights tag and source-country status,2,Identity context for The Serpent Power/Ajna source,Identity only,ACQUIRE_VERIFY
EP11_DOC_SECRET_DOCTRINE_V2,primary_document,The Secret Doctrine Vol. II 1888 pages 289 and 294-301,https://www.theosociety.org/pasadena/sd/sd-hp.htm,,H. P. Blavatsky / Theosophical Publishing Co.,1888,Underlying work public domain; final image must come from rights-clean scan,1,Central evidence montage: third eye pineal gland Eye of Shiva and lost-human-past synthesis,Blavatsky's occult claims remain attributed to her text,LOCATE_PD_SCAN
EP11_DOC_SECRET_DOCTRINE_TRANSCRIPTION,primary_document,The Secret Doctrine Vol. II searchable transcription,https://sacred-texts.com/the/sd/sd2-0-co.htm,,Sacred Texts transcription / H. P. Blavatsky text,1888 text / modern transcription,Reference only,2,Page and wording verification,Not preferred viewer-facing archive image,REFERENCE_ONLY
EP11_SCI_SPENCER_PAPER,scientific_document,W. Baldwin Spencer historical work on pineal/parietal eye in Lacertilia,https://archive.org/search?query=%22pineal+eye%22+Spencer+Lacertilia,,W. Baldwin Spencer,1880s,Underlying publication public domain; verify selected scan,1,Primary nineteenth-century scientific evidence,Reptile anatomy only; never evidence for a former human eye,LOCATE_PD_SCAN
EP11_SCI_PARIETAL_HATTERIA,scientific_plate,Historical pineal eye illustration in Hatteria/Sphenodon,https://commons.wikimedia.org/wiki/File:PSM_V33_D805_Pineal_eye_in_hatteria.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/PSM_V33_D805_Pineal_eye_in_hatteria.jpg,Popular Science Monthly / historical source,19th c.,Public domain per age/source; verify Commons metadata,1,Readable anatomical third-eye visual before occult synthesis,Historical scientific illustration; species-specific anatomy only,ACQUIRE_VERIFY
EP11_SCI_PARIETAL_VARANUS,scientific_plate,Historical pineal eye illustration in Varanus giganteus,https://commons.wikimedia.org/wiki/File:PSM_V33_D806_Pineal_eye_in_varanus_giganteus.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/PSM_V33_D806_Pineal_eye_in_varanus_giganteus.jpg,Popular Science Monthly / historical source,19th c.,Public domain per age/source; verify Commons metadata,1,Alternative historical parietal-eye diagram,Species-specific anatomy only,ACQUIRE_VERIFY
EP11_SCI_IGUANA_PARietal,scientific_plate,Parietal eye of Iguana historical diagram,https://commons.wikimedia.org/wiki/File:Klinckowstroem_1894_parietal_eye_of_Iguana.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Klinckowstroem_1894_parietal_eye_of_Iguana.jpg,Klinckowstroem / historical zoological publication,1894,Public domain due age; verify Commons metadata,1,Close-up scientific plate for eye-like morphology,Do not imply human homology beyond scientific context,ACQUIRE_VERIFY
EP11_SCI_ANOLIS_PHOTO,scientific_photo,Anolis carolinensis visible parietal eye,https://commons.wikimedia.org/wiki/File:Anolis_carolinensis_parietal_eye.JPG,https://commons.wikimedia.org/wiki/Special:Redirect/file/Anolis_carolinensis_parietal_eye.JPG,Wikimedia Commons contributor,modern,Check exact Commons license on file page,2,Modern real-animal visual demonstrating parietal eye externally,Use species-specific identification only,ACQUIRE_VERIFY
EP11_SCI_PINEAL_MORPHOLOGY_BOOK,scientific_document,Morphology and Evolutional Significance of the Pineal Body,https://commons.wikimedia.org/wiki/File:Morphology_and_Evolutional_Significance_of_the_Pineal_Body.pdf,https://commons.wikimedia.org/wiki/Special:Redirect/file/Morphology_and_Evolutional_Significance_of_the_Pineal_Body.pdf,historical scientific monograph,1919,Public domain or Commons-marked old work; verify scan metadata,1,Deep pool of pineal/parietal anatomical plates and evolutionary diagrams,Use as historical scientific source not modern consensus by itself,ACQUIRE_VERIFY
EP11_ANAT_GRAY_PINEAL,anatomy,Gray's Anatomy pineal body illustration,https://commons.wikimedia.org/wiki/Category:Pineal_gland,,Henry Gray / historical anatomy editions,1918 or earlier,Public domain for old Gray plates; select exact file and verify,2,Human anatomical orientation: deep brain location and pineal body,Anatomical location only; not evidence for spiritual function,SELECT_AND_ACQUIRE
EP11_AJNA_WELLCOME,esoteric_primary,The centres or Lotuses of Yoga in Avalon's The Serpent Power,"https://commons.wikimedia.org/wiki/File:The_centres_or_Lotuses_of_Yoga,_in_Avalon%27s_The_Serpent_Power_Wellcome_M0005455.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/The_centres_or_Lotuses_of_Yoga,_in_Avalon%27s_The_Serpent_Power_Wellcome_M0005455.jpg",Wellcome Collection / Arthur Avalon publication,1919,Verify Commons/Wellcome rights statement; likely reusable historical image,1,Historically grounded chakra-system visual separated from endocrine anatomy,Use as esoteric/subtle-body map; never relabel as gland diagram,ACQUIRE_VERIFY
EP11_AJNA_TRADITIONAL_BROW,esoteric_art,Traditional Hindu diagram of brow chakra Ajna,https://commons.wikimedia.org/wiki/Category:Ajna,,traditional Indian iconography / museum or historical source,various,Select only exact file with clear PD/CC rights,1,Ajna lotus close-up and forehead-center visual,Spiritual iconography only; no modern pineal claim,SELECT_RIGHTS_CLEAN
EP11_AJNA_RAJASTHAN,esoteric_art,Brow/crown/throat chakra diagram Rajasthan 18th century,https://commons.wikimedia.org/wiki/Category:Chakras,,Indian historical artwork / museum collection,18th c.,Underlying artwork public domain; verify photograph/reproduction rights,2,Pre-modern chakra visual proving older subtle-body imagery predates modern gland mapping,Do not claim specific textual school unless source metadata identifies it,SELECT_RIGHTS_CLEAN
EP11_ESO_COSMIC_MAN,esoteric_art,Cosmic man with yogic chakra transformation diagram,https://commons.wikimedia.org/wiki/Category:Chakras,,Newar/Hindu-Buddhist historical artwork,various,Select exact museum/Commons file with clear reuse status,3,Rich esoteric montage showing body-as-symbolic-map tradition,Contextual spiritual art only,SELECT_RIGHTS_CLEAN
EP11_LEADBEATER_PINEAL_PITUITARY,esoteric_primary,Leadbeater Pineal Gland and Pituitary Body diagram,https://commons.wikimedia.org/wiki/Category:The_Chakras_by_C._W._Leadbeater,,C. W. Leadbeater / The Chakras,1927,Copyright status varies by jurisdiction; Commons hosting alone is not sufficient for EU commercial clearance,1,Crucial visual for unstable gland-to-chakra mapping,Use only after rights verification or recreate diagram editorially,RIGHTS_HOLD
EP11_LEADBEATER_CHAKRA_PLATES,esoteric_primary,Leadbeater chakra color plates,https://commons.wikimedia.org/wiki/Category:The_Chakras_by_C._W._Leadbeater,,C. W. Leadbeater / The Chakras,1927,Jurisdiction-sensitive; verify before commercial reuse,2,Show how twentieth-century occult illustration systematized subtle centers,Historical occult illustration not ancient source,RIGHTS_HOLD
EP11_LEADBEATER_NERVOUS_PLEXI,esoteric_primary,Leadbeater nervous plexi diagram,https://commons.wikimedia.org/wiki/Category:The_Chakras_by_C._W._Leadbeater,,C. W. Leadbeater / The Chakras,1927,Jurisdiction-sensitive; verify before reuse,2,Bridge between subtle centers and physical anatomy in later occult mapping,Attributed to Leadbeater's model only,RIGHTS_HOLD
EP11_SHIVA_MET,esoteric_art,Shiva third-eye object/artwork candidate from Metropolitan Museum collection,https://www.metmuseum.org/art/collection,,The Metropolitan Museum of Art,various,Select only Open Access object marked Public Domain/CC0,1,Eye of Shiva visual resonance during Blavatsky synthesis,Religious/art-historical image only; do not imply source endorses pineal equation,SELECT_MET_OPEN_ACCESS
EP11_SHIVA_CLEVELAND,esoteric_art,Shiva third-eye artwork candidate from Cleveland Museum of Art,https://www.clevelandart.org/art/collection/search,,Cleveland Museum of Art,various,Select only Open Access/Public Domain object,1,Alternative museum-cleared Shiva third-eye visual,Religious/art-historical context only,SELECT_OPEN_ACCESS
EP11_THEOSOPHICAL_SEAL,esoteric_history,Historical Theosophical Society seal/emblem,https://commons.wikimedia.org/wiki/Category:Theosophical_Society,,Theosophical Society historical material,19th-20th c.,Select old/public-domain or clearly licensed file,3,Atmosphere/context for Theosophical movement and synthesis,Organizational context only,SELECT_RIGHTS_CLEAN
EP11_THEOSOPHICAL_ADYAR,archive_photo,Historical Theosophical Society Adyar headquarters/photo,https://commons.wikimedia.org/wiki/Category:Theosophical_Society_Adyar,,historical photographers / collections,19th-20th c.,Select exact public-domain or CC file,3,Period/place texture for movement history,Do not imply Blavatsky present unless source says so,SELECT_RIGHTS_CLEAN
EP11_THOUGHT_FORMS,esoteric_art,Thought-Forms by Annie Besant and C. W. Leadbeater plates,https://archive.org/search?query=%22Thought-Forms%22+Besant+Leadbeater,,Annie Besant / C. W. Leadbeater,1901,Underlying historical edition old; verify scan/reproduction rights and jurisdiction,3,Visual example of occultism turning invisible experience into systematic colored diagrams,Do not present as scientific measurement,LOCATE_RIGHTS_CLEAN_SCAN
EP11_DESCARTES_PINEAL_DIAGRAM,history_science,Descartes brain/pineal diagram,https://commons.wikimedia.org/wiki/Category:Pineal_gland_in_historical_illustrations,,René Descartes / historical editions,17th c.,Underlying work public domain; select exact clean reproduction,2,Brief callback to earlier episode: pineal as soul-body meeting point,Historical philosophical anatomy only,SELECT_AND_ACQUIRE
EP11_DESCARTES_PORTRAIT,portrait,René Descartes historical portrait,https://commons.wikimedia.org/wiki/Category:Portraits_of_Ren%C3%A9_Descartes,,various historical artists,17th c.,Select public-domain museum/Commons file,3,Short callback montage to series history,Identity/context only,SELECT_RIGHTS_CLEAN
EP11_SCI_DMT_2019,scientific_document,Dean et al. 2019 Scientific Reports article,https://www.nature.com/articles/s41598-019-45812-w,https://www.nature.com/articles/s41598-019-45812-w.pdf,Dean et al. / Scientific Reports,2019,Open access; verify exact article Creative Commons terms on page/PDF,1,Final bridge to EP12 and pinealectomy result,Rat cortex only; no direct inference to human mystical states,ACQUIRE_LICENSE_CAPTURE
EP11_SCI_DMT_PMC,scientific_document,Dean et al. PMC mirror,https://pmc.ncbi.nlm.nih.gov/articles/PMC6597727/,,NCBI/PMC,2019,Repository copy under article OA terms,2,Backup searchable scientific evidence,Same rat-data boundary,ACQUIRE_METADATA
