take_id,section,cue_range,word_count,estimated_seconds_at_136_wpm,pickup_note
EP08_TAKE_001_DIE_NACHTSENDUNG,S1,V001-V006,43,19.0,Nachtstudio nüchtern eröffnen; Datum nicht pathetisch setzen
EP08_TAKE_002_NUR_SILHOUETTEN,S1,V007-V009,38,16.8,Silhouetten fließend aufzählen; kein Horrorflüstern
EP08_TAKE_003_VIERTAUSENDFUENFHUNDERT,S1,V010-V015,42,18.5,Zahl klar tragen; Infrastruktur als eigentlichen Wendepunkt setzen
EP08_TAKE_004_DAS_GESICHT_VOR_DEM_ERLEBNIS,S1,V016-V020,53,23.4,"Fragen wirklich stellen, nicht wie Schlussfolgerungen lesen"
EP08_TAKE_005_SHADOW_PEOPLE,S2,V021-V026,43,19.0,Begriff sachlich einführen; Heidi Hollis nicht als Erfinderin behaupten
EP08_TAKE_006_DER_INTRUDER,S2,V027-V029,45,19.9,"Erklärend, aber offen; keine Identitätsbehauptung"
EP08_TAKE_007_DIE_UMGEKEHRTE_REIHENFOLGE,S2,V030-V039,58,25.6,Direkte Du-Passage nah und ruhig; Schlussfrage offen halten
EP08_TAKE_008_EINE_MODERNE_MASKE,S3,V040-V044,57,25.1,"Popkultur als Kontext, nicht als Spottfolie"
EP08_TAKE_009_DIE_BAUSTEINE,S3,V045-V051,62,27.4,"Körperliche Details glaubwürdig, ohne Trailersteigerung"
EP08_TAKE_010_WAS_HEISST_REAL,S3,V052-V057,52,22.9,Das Wort real hörbar prüfen; drei Fragen nicht künstlich trennen
EP08_TAKE_011_JOHN_MACK,S4,V058-V061,45,19.9,Mack fair und nüchtern darstellen
EP08_TAKE_012_DER_ANDERE_WEG,S4,V062-V064,46,20.3,Forschung zugänglich; kleine menschliche Reaktion auf interessanter
EP08_TAKE_013_ERINNERUNG_IST_KEINE_DATEI,S4,V065-V070,52,22.9,Fließend erklären; Gedächtnis nicht mechanisch klingen lassen
EP08_TAKE_014_LUEGE_ODER_RAUMSCHIFF,S4,V071-V074,51,22.5,Lüge oder Raumschiff trocken; Übergang zum Hut langsam zuspitzen
EP08_TAKE_015_DER_HUTRAND,S5,V075-V079,47,20.7,"Hutrand als visuelles Detail, nicht als Monsterenthüllung"
EP08_TAKE_016_EIN_ZWEITER_KONTEXT,S5,V080-V085,42,18.5,Medizinisch sachlich; Diphenhydramin sauber artikulieren
EP08_TAKE_017_WAS_NICHT_BELEGT_IST,S5,V086-V091,39,17.2,"Dreifaches Vielleicht gleichwertig, ohne Scheingewissheit"
EP08_TAKE_018_WENIG_INFORMATION,S5,V092-V096,47,20.7,Gedanken ruhig landen lassen
EP08_TAKE_019_MUSTER_ODER_MEME,S6,V097-V101,55,24.3,Publikumsfrage direkt und unaufdringlich; Muster oder Meme klar
EP08_TAKE_020_DIE_FALLE,S6,V102-V115,59,26.0,"Falle als Erkenntnis, nicht als Gotcha-Moment"
EP08_TAKE_021_DAS_NETZ_ZEIGT_MIT,S7,V116-V119,56,24.7,Filmtitel neutral; keine Werbe- oder Rezensionstonlage
EP08_TAKE_022_DIE_SCHNELLE_SCHLEIFE,S7,V120-V127,67,29.6,"Schleife etwas zügiger, aber verständlich"
EP08_TAKE_023_GLOBALES_VISUELLES_GEDAECHTNIS,S7,V128-V135,76,33.5,Globales Gedächtnis als zweite Wendung tragen
EP08_TAKE_024_DREI_FOLGEN,S8,V136-V139,64,28.2,Rückblick rhythmisch; Begriffslisten zusammenhängend lesen
EP08_TAKE_025_DER_KREIS,S8,V140-V144,64,28.2,Keine Debunking-Haltung; Aussage bewusst begrenzen
EP08_TAKE_026_DER_KREIS,S8,V145-V146,51,22.5,"Viergliedrigen Kreis klar, ruhig und gleichmäßig lesen"
EP08_TAKE_027_EIN_UPLOAD,S8,V147-V150,41,18.1,Nach Upload kurz denken; Schluss leiser und näher
