id,episodes,title,traffic_light,license,source_page,download_url,filename,relative_dir,auto_download,expected_kind,script_act,shot_use,verification_status,verification_date
EP04A_PORTRAIT_001,EP04A,"C. G. Jung vor dem Burghölzli, ca. 1909/1910",YELLOW,Public domain in the U.S.; Commons warns status may differ in Germany/Switzerland because author is unknown,https://commons.wikimedia.org/wiki/File:Jung%201910.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Jung%201910.jpg,EP04A_Jung_Burghoelzli_ca1909_1910.jpg,EP04A/02_REVIEW_YELLOW/PORTRAITS,1,image,S2,Früher Jung/medizinische Identität; 3–4 s. Nicht als 1932-Portrait ausgeben.,SOURCE_OK_ORIGINAL_PRESENT_RIGHTS_JURISDICTION_REVIEW,2026-08-23
EP04A_GROUP_001,EP04A,"Clark University 1909: Freud, Jung u. a.",GREEN,"Public domain; photographers Louis Schervee (d. 1923) / Franz Bushong (d. 1938), term expired",https://commons.wikimedia.org/wiki/File:Freud%20at%20Clark%20University%20in%201909.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Freud%20at%20Clark%20University%20in%201909.jpg,EP04A_Clark_University_group_1909_PD.jpg,EP04A/01_ORIGINAL_GREEN/GATHERINGS,1,image,S2,"Vor-1913 intellektuelles Umfeld; kurzer Gruppen-Reveal, 3–4 s.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04A_PLACE_001,EP04A,"Psychologischer Club Zürich, Gemeindestrasse 27 – heutige Außenansicht",YELLOW,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Gemeindestra%C3%9Fe%2027,%20Z%C3%BCrich.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Gemeindestra%C3%9Fe%2027%2C%20Z%C3%BCrich.jpg,EP04A_Psychologischer_Club_Zuerich_current_CC-BY-SA-4.0.jpg,EP04A/02_REVIEW_YELLOW/PLACES,1,image,S1;S4,"Heutiges Clubhaus als Ortsanker; immer als heutige Ansicht kennzeichnen, nicht als Foto des Seminars 1932.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK_SHAREALIKE,2026-08-23
EP04A_PLACE_002,EP04A,"Zürich Bahnhofplatz / Bahnhofstrasse, 1930",YELLOW,CC BY-SA 4.0 — Baugeschichtliches Archiv der Stadt Zürich,https://commons.wikimedia.org/wiki/File:Bahnhofplatz%201930.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bahnhofplatz%201930.jpg,EP04A_Zuerich_Bahnhofplatz_1930_CC-BY-SA-4.0.jpg,EP04A/02_REVIEW_YELLOW/PLACES,1,image,S1;S4,Period establishing Zürich um 1930; 2–3 s. Nicht als Seminarort ausgeben.,SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK_SHAREALIKE,2026-08-23
EP04A_PLACE_003,EP04A,Klinik Burghölzli um 1890 – historische Darstellung,GREEN,Public domain / old work; Graphische Sammlung ZB Zürich,https://commons.wikimedia.org/wiki/File:Burgh%C3%B6lzli%20Stich.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Burgh%C3%B6lzli%20Stich.jpg,EP04A_Burghoelzli_c1890_PD.jpg,EP04A/01_ORIGINAL_GREEN/CLINIC,1,image,S2,Psychiatrischer Institutionsanker; langsamer Push-in 4 s.,SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04A_PLACE_004,EP04A,Klinik Burghölzli – heutige Außenansicht,YELLOW,CC BY-SA 3.0 (also legacy compatible licenses on source page),https://commons.wikimedia.org/wiki/File:Klinik%20Burgh%C3%B6lzli.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Klinik%20Burgh%C3%B6lzli.jpg,EP04A_Burghoelzli_current_CC-BY-SA-3.0.jpg,EP04A/02_REVIEW_YELLOW/CLINIC,1,image,S2,"Alt/Neu-Matchcut mit historischer Klinik; heutige Ansicht labeln.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK_SHAREALIKE,2026-08-23
EP04A_OBJECT_001,EP04A,"Galvanometer aus Jungs Burghölzli-Kontext, 1904/1905",GREEN,Public domain / old work,https://commons.wikimedia.org/wiki/File:Galvanom%C3%A8tre.png,https://commons.wikimedia.org/wiki/Special:Redirect/file/Galvanom%C3%A8tre.png,EP04A_Jung_Galvanometer_Burghoelzli_1904_1905_PD.png,EP04A/01_ORIGINAL_GREEN/CLINIC_OBJECTS,1,image,S2,"Starker Detailshot für klinisch-experimentellen Jung; 3–5 s. Nicht mit Kundalini verknüpfen.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04A_DOC_001,EP04A,Jung: Association Method – historische Chart/Abbildung,GREEN,"Public domain / old work (Jung, 1910 context)",https://commons.wikimedia.org/wiki/File:Association-Method.png,https://commons.wikimedia.org/wiki/Special:Redirect/file/Association-Method.png,EP04A_Jung_Association_Method_1910_PD.png,EP04A/01_ORIGINAL_GREEN/CLINIC_DOCUMENTS,1,image,S2,"Wissenschaftlicher Kontrast zu den späteren inneren Bildern; 2–3 s Detailpan.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
EP04A_PLACE_005,EP04A,C. G. Jung Haus Küsnacht – Außenansicht,YELLOW,CC BY-SA 3.0 — Roland zh / Roland Fischer,"https://commons.wikimedia.org/wiki/File:K%C3%BCsnacht%20-%20Wohnhaus%20von%20C.%20G.%20Jung,%20Seestrasse%20228%202011-08-26%2014-59-46.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/K%C3%BCsnacht%20-%20Wohnhaus%20von%20C.%20G.%20Jung%2C%20Seestrasse%20228%202011-08-26%2014-59-46.jpg,EP04A_Jung_House_Kuesnacht_CC-BY-SA-3.0.jpg,EP04A/02_REVIEW_YELLOW/PLACES,1,image,S3;S8,"Alltag/Boden-Gegengewicht zu inneren Bildern; moderne Aufnahme als Ort kennzeichnen.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK_SHAREALIKE,2026-08-23
EP04A_PORTRAIT_002,EP04A,"C. G. Jung in seiner Hausbibliothek in Küsnacht, 1950er",GREEN,CC BY 4.0 — Kairos Film Foundation photo,"https://commons.wikimedia.org/wiki/File:Carl_Gustav_(C.G.)_Jung_at_his_home_library_in_K%C3%BCsnacht,%20Switzerland._Kairos_Film_Foundation_photo.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Carl%20Gustav%20%28C.G.%29%20Jung%20at%20his%20home%20library%20in%20K%C3%BCsnacht%2C%20Switzerland.%20Kairos%20Film%20Foundation%20photo.jpg,EP04A_Jung_home_library_1950s_CC-BY-4.0.jpg,EP04A/01_ORIGINAL_GREEN/PORTRAITS,1,image,S3;S8,"Intimer Jung-Beat; 1950er klar labeln, nicht als 1913/1932-Aufnahme verwenden.",SOURCE_OK_ORIGINAL_PRESENT_LICENSE_OK,2026-08-23
