source_id,local_file,source_url,source_type,creator_or_publisher,date,rights_or_license,rights_status,intended_use,spoken_claim,viewer_treatment
EP10-SRC-001,ORIGINALS/Oeuvres_Descartes_AT_III_pages/,"https://fr.wikisource.org/wiki/Livre:Descartes_-_%C5%92uvres,_ed._Adam_et_Tannery,_III.djvu",primary correspondence facsimile,René Descartes / Elisabeth of Bohemia; ed. Charles Adam and Paul Tannery,1899,Historical edition public domain; retain facsimile/source provenance,CLEARED,AT III 660-697 letter pages,1643 correspondence dates and arguments,Readable original page with restrained highlight and source/date line
EP10-SRC-002,REFERENCE/Early_Modern_Texts_Descartes_1643.pdf,https://www.earlymoderntexts.com/assets/pdfs/descartes1643_1.pdf,modernized English correspondence adaptation,Jonathan Bennett,modern,Copyright retained / all rights reserved,REFERENCE_ONLY,Internal English cross-check for 1643 letters,English comprehension of correspondence,Not viewer-facing
EP10-SRC-003,ORIGINALS/Descartes_Passions_1649_pages/,"https://fr.wikisource.org/wiki/Livre:Descartes_-_Les_Passions_de_l%E2%80%99%C3%A2me,_ed._1649.djvu",primary philosophical facsimile,René Descartes / Henry Le Gras,1649,Underlying work public domain,CLEARED,Part I arts. 31-35,pineal as privileged central structure in Descartes model,Use scanned historical page rather than modern webpage chrome
EP10-SRC-004,ORIGINALS/Descartes_L_Homme_1664_source/,https://wellcomecollection.org/works/uft3tqv6,primary historical book source hub,René Descartes / Claude Clerselier / Louis de La Forge,1664,Historical work public domain; retain Wellcome provenance,SOURCE_HUB,Brain nerves cavities animal-spirit mechanics,Cartesian mechanical body and animal spirits,Prefer specific cleared image records for final edit
EP10-SRC-005,ORIGINALS/Descartes_burning_pain_Wellcome.jpg,https://wellcomecollection.org/works/ptrsyn9e,historical diagram reproduction,Wellcome Collection; diagram after Descartes,1956 reproduction of 1664 diagram,Public Domain Mark,CLEARED,Embodied mechanism / nerve pathway beat,Mechanical account of bodily sensation,Historical diagram with brief credit
EP10-SRC-006,ORIGINALS/Descartes_Frans_Hals_PD.jpg,"https://commons.wikimedia.org/wiki/File:Frans_Hals,_Portrait_of_Ren%C3%A9_Descartes.jpg",authentic historical portrait,Frans Hals,c.1649,Public domain / Public Domain Mark,CLEARED,First Descartes reveal,René Descartes historical identity,No archive badge; credit in manifest/end credits
EP10-SRC-007,ORIGINALS/Elisabeth_Cooper_Rijksmuseum_PD.jpg,https://www.rijksmuseum.nl/en/collection/object/Portrait-of-Elizabeth-1618-80-Countess-Palatine-Daughter-of-Frederik-V-King-of-Bohemia-called-the-Winter-King--db33371b4392015e94ce2dea5eb31f28,historical portrait miniature,Alexander Cooper after Gerard van Honthorst,1640-1650,Public-domain object in Rijksmuseum open collection,CLEARED,First Elisabeth reveal,Elisabeth of Bohemia historical identity,Use museum master; retain object ID
EP10-SRC-008,REFERENCE/SEP_pineal_gland_archive.html,https://plato.stanford.edu/archives/fall2023/entries/pineal-gland/,authoritative secondary reference,Stanford Encyclopedia of Philosophy,Fall 2023 archive,Copyright retained; research citation only,REFERENCE_ONLY,Historical source verification,Descartes rationale for selecting pineal gland,Not viewer-facing
EP10-SRC-009,REFERENCE/SEP_elisabeth_bohemia.html,https://plato.stanford.edu/entries/elisabeth-bohemia/,authoritative secondary reference,Stanford Encyclopedia of Philosophy,current,Copyright retained; research citation only,REFERENCE_ONLY,Chronology and philosophical context,Elisabeth 1643 objection and correspondence,Not viewer-facing
EP10-SRC-010,ORIGINALS/Elisabeth_Honthorst_1636.jpg,https://commons.wikimedia.org/wiki/File:1636_Elisabeth_of_Bohemia.jpg,historical portrait,Gerard van Honthorst,1636,Public domain,CLEARED,Secondary Elisabeth hero portrait,Status/court context,Use before Cooper miniature for visual variation
EP10-SRC-011,ORIGINALS/Descartes_SMK_DEP7.jpg,"https://commons.wikimedia.org/wiki/File:Frans_I_Hals,_Ren%C3%A9_Descartes_1596-1650,_DEP7,_Statens_Museum_for_Kunst.jpg",historical portrait reproduction,Frans Hals / Statens Museum for Kunst,c.1649,Public domain; digital reproduction CC0,CLEARED,Alternate Descartes portrait crop,Descartes identity,Use as no-repeat alternate
EP10-SRC-012,ORIGINALS/Descartes_Rijksmuseum_print.jpg,"https://commons.wikimedia.org/wiki/File:Portret_van_Ren%C3%A9_Descartes,_RP-P-1910-4316.jpg",historical print,Rijksmuseum collection,historical,CC0 / Rijksmuseum open data,CLEARED,Later Descartes reply / montage,Descartes reception/identity,Engraving texture rather than repeated Hals painting
EP10-SRC-013,ORIGINALS/L_Homme_titlepage_1664.jpg,https://commons.wikimedia.org/wiki/File:Page_de_titre_de_L%27Homme_de_Descartes.jpg,historical title page,René Descartes / BnF source,1664,Public domain,CLEARED,Authenticate L'Homme source,Historical mechanical-body source,Brief title-page reveal
EP10-SRC-014,ORIGINALS/Passions_titlepage_1649.jpg,https://commons.wikimedia.org/wiki/File:Descartes_Les_passions_de_l%27ame.jpg,historical title page,René Descartes,1649,Public domain / PDM,CLEARED,Authenticate Passions source,Pineal text source,Brief title-page reveal
EP10-SRC-015,ORIGINALS/Animal_spirits_machine.jpg,https://commons.wikimedia.org/wiki/File:Action_des_esprits_animaux_sur_la_machine_du_corps.jpg,historical scientific engraving,Descartes L'Homme / Gallica source,1664,Public domain,CLEARED,Animal spirits / body-machine sequence,Cartesian physiology,Slow push/highlight with no false alteration
EP10-SRC-016,ORIGINALS/Descartes_brain_section.png,https://commons.wikimedia.org/wiki/File:Descartes_brain_section.png,historical scientific diagram,Descartes Treatise of Man,historical,Public domain,CLEARED,Brain-section bridge,Ventricles and central anatomy,Use before pineal-specific diagrams
