take_id,section,title,plan_start,plan_end,word_count,character_count,source_file,voice_status
EP07_TAKE_001,S1,COMANS NACHT,00:00.00,00:23.00,40,263,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_001_COMANS_NACHT.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_002,S1,LAEHMUNG UND MUSTER,00:23.00,00:47.00,61,384,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_002_LAEHMUNG_UND_MUSTER.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_003,S1,VOM ZIMMER INS GERICHT,00:47.00,01:16.00,71,480,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_003_VOM_ZIMMER_INS_GERICHT.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_004,S2,FUESSLIS NACHTMAHR,01:16.00,01:43.00,51,335,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_004_FUESSLIS_NACHTMAHR.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_005,S2,EIN BILD FUER DAS GEFUEHL,01:43.00,02:08.00,84,535,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_005_EIN_BILD_FUER_DAS_GEFUEHL.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_006,S2,VIELE URSPRUENGE,02:08.00,02:34.00,51,393,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_006_VIELE_URSPRUENGE.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_007,S3,MAHR INCUBUS KANASHIBARI,02:34.00,03:00.00,63,429,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_007_MAHR_INCUBUS_KANASHIBARI.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_008,S3,JINN CHINA OLD HAG,03:00.00,03:25.00,60,441,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_008_JINN_CHINA_OLD_HAG.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_009,S3,DER KOERPER VOR DEM MYTHOS,03:25.00,03:49.00,56,365,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_009_DER_KOERPER_VOR_DEM_MYTHOS.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_010,S4,EINE WELT VOLLER URSACHEN,03:49.00,04:14.00,60,429,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_010_EINE_WELT_VOLLER_URSACHEN.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_011,S4,WAS MENSCHEN DAGEGEN TUN,04:14.00,04:40.00,62,431,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_011_WAS_MENSCHEN_DAGEGEN_TUN.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_012,S4,WENN EINE NACHT OEFFENTLICH WIRD,04:40.00,05:07.00,57,432,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_012_WENN_EINE_NACHT_OEFFENTLICH_WIRD.txt,TEXT_READY_NOT_GENERATED
EP07_TAKE_013,S5,HUFFORD HOERT ZU,05:07.00,05:33.00,60,395,C:\Users\iQPrinceps\Documents\Codex\Youtube Modelle des Geistes\06_PRODUCTION\EP07_SCHLAFPARALYSE_V4\VOICE_EP07\source\EP07_TAKE_013_HUFFORD_HOERT_ZU.txt,TEXT_READY_NOT_GENERATED
