shot_id,take_id,act,take_start_est,take_end_est,visual_start_est,visual_end_est,semantic_anchor,asset_id,asset_class,asset_path_or_plan,asset_status,motion_policy,sfx_cue,music_atmo,edit_note
A001,EP06_TAKE_001_DEZEMBER_1963,S1,00:00:00.000,00:00:17.400,00:00:00.000,00:00:02.486,Dezember 1963 / Hufford,IMG033,PLANNED_GENERATED_STILL,PLANNED/IMG033_HUFFORD_1963_STUDENT_RECON.png,MISSING_TO_CREATE_OR_LICENSE,GENTLE_PUSH_MAX_1.025_EASED,ROOMTONE_DORM,MX_LOW_0.90+MX_NOISE_ROOM,
A002,EP06_TAKE_001_DEZEMBER_1963,S1,00:00:00.000,00:00:17.400,00:00:02.486,00:00:04.971,Dezember / Winter / Nacht,IMG045,PLANNED_GENERATED_STILL,PLANNED/IMG045_DECEMBER_WINDOW_CONTEXT.png,MISSING_TO_CREATE_OR_LICENSE,STATIC_HOLD,WINTER_WINDOW_AIR,MX_LOW_0.90+MX_NOISE_ROOM,
A003,EP06_TAKE_001_DEZEMBER_1963,S1,00:00:00.000,00:00:17.400,00:00:04.971,00:00:07.457,College-Kontext,ORIG024,PLANNED_ORIGINAL_ASSET,PLANNED/ORIG024_1960S_DORM_CONTEXT.jpg,MISSING_TO_CREATE_OR_LICENSE,CONTAIN_STATIC_NO_CROP,ROOMTONE_DORM,MX_LOW_0.90+MX_NOISE_ROOM,Jahr + Kontextlabel
A004,EP06_TAKE_001_DEZEMBER_1963,S1,00:00:00.000,00:00:17.400,00:00:07.457,00:00:09.943,dunkles Zimmer / Tür,IMG001,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG001_1963_BEDROOM_DOOR.png,READY,GENTLE_PUSH_MAX_1.025_EASED,DOOR_LATCH_SOFT,MX_LOW_0.90+MX_NOISE_ROOM,
A005,EP06_TAKE_001_DEZEMBER_1963,S1,00:00:00.000,00:00:17.400,00:00:09.943,00:00:12.429,Tür geht auf,SHOT01,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT01_EMPTY_HALLWAY.png,READY,STATIC_HOLD,ROOMTONE_DARK,MX_LOW_0.90+MX_NOISE_ROOM,
A006,EP06_TAKE_001_DEZEMBER_1963,S1,00:00:00.000,00:00:17.400,00:00:12.429,00:00:14.914,Schritte,IMG002,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG002_FOOTSTEPS_APPROACH.png,READY,GENTLE_PUSH_MAX_1.025_EASED,FOOTSTEPS_DISTANT_2,MX_LOW_0.90+MX_NOISE_ROOM,
A007,EP06_TAKE_001_DEZEMBER_1963,S1,00:00:00.000,00:00:17.400,00:00:14.914,00:00:17.400,direkt auf ihn zu,IMG034,PLANNED_GENERATED_STILL,PLANNED/IMG034_DOOR_HANDLE_NO_RESPONSE.png,MISSING_TO_CREATE_OR_LICENSE,GENTLE_PUSH_MAX_1.025_EASED,FOOTSTEP_SINGLE_NEAR,MX_LOW_0.90+MX_NOISE_ROOM,
A008,EP06_TAKE_002_DER_KOERPER_ANTWORTET_NICHT,S1,00:00:17.650,00:00:43.550,00:00:17.650,00:00:21.967,Arm bewegt sich nicht,IMG003,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG003_HAND_WILL_NOT_MOVE.png,READY,STATIC_HOLD,FABRIC_HAND_MICRO,MX_LOW_0.90+MX_NOISE_ROOM,
A009,EP06_TAKE_002_DER_KOERPER_ANTWORTET_NICHT,S1,00:00:17.650,00:00:43.550,00:00:21.967,00:00:26.283,motorischer Befehl blockiert,CLIP005,PLANNED_TRANSFORM_CLIP,PLANNED/CLIP005_MOTOR_FREEZE.mp4,MISSING_TO_CREATE_OR_LICENSE,NATIVE_MOTION_NO_RETIME_NO_EXTRA_CAMERA,EEG_TICK_SUBTLE,MX_LOW_0.90+MX_NOISE_ROOM,wissenschaftliche Metapher
A010,EP06_TAKE_002_DER_KOERPER_ANTWORTET_NICHT,S1,00:00:17.650,00:00:43.550,00:00:26.283,00:00:30.600,Matratze gibt nach,IMG004,GENERATED_STILL,IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG004_MATTRESS_WEIGHT.png,READY,GENTLE_PUSH_MAX_1.025_EASED,MATTRESS_WEIGHT_SOFT,MX_LOW_0.90+MX_NOISE_ROOM,
