asset_id,story_beat,asset_type,source_url,creator_or_institution,date_or_period,rights_status,rights_note,exact_use,source_location,acquisition_state
EP09-A01,Opening real third eye,historical scientific plate,https://commons.wikimedia.org/wiki/File:Parietal_eye_of_Anolis,_after_Spencer_(1886).jpg,W. Baldwin Spencer / historical scientific plate,1886,Public domain,"Historical scientific illustration; verify Commons file page and original publication metadata during download.",Use as authentic evidence that vertebrate parietal eyes were anatomically documented; label as historical lizard anatomy and not as tuatara.,Wikimedia Commons file page; original 1886 plate,PENDING_CODEX
EP09-A02,Tuatara anatomy,historical paper plates,https://www.biodiversitylibrary.org/item/99486#page/537/mode/1up,Arthur Dendy / Royal Society publication,1899,Public domain,"Work published 1899; download scan from BHL and retain title/plate context. Confirm plate page numbers XI-XIII in acquired PDF/image sequence.",Readable source-document reveal for Sphenodon pineal/parietal anatomy; do not crop away species/title context.,Dendy 1899 paper: “On the Development of the Parietal Eye and adjacent Organs in Sphenodon punctatus”,PENDING_CODEX
EP09-A03,Living tuatara identity,photograph,https://commons.wikimedia.org/wiki/Category:Sphenodon_punctatus,Wikimedia Commons contributors,current photographs,LICENSE_PER_FILE,"Choose one high-resolution image with explicit CC BY/CC BY-SA or public-domain status; store author, license version and attribution exactly from selected file page.",Establish living animal before moving into anatomy; no claim that the visible scale spot alone shows the functional eye unless source image specifically documents it.,Commons category; exact file to be locked by Codex,PENDING_CODEX
EP09-A04,Human pineal anatomy,historical anatomy plate,https://commons.wikimedia.org/wiki/File:Gray719.png,Henry Vandyke Carter / Gray's Anatomy,1918 edition,Public domain,"Public-domain anatomical plate. Keep original attribution in manifest.",Orient pineal location in the human brain; crop may guide attention but retain enough anatomy to avoid misleading scale.,Gray's Anatomy plate 719,PENDING_CODEX
EP09-A05,Retina-SCN-pineal route,diagram,https://commons.wikimedia.org/wiki/File:Input_and_output_pathways_of_the_suprachiasmatic_nuclei_(SCN).jpg,Commons-listed scientific diagram,modern,CC BY 4.0,"Verify exact creator/attribution and license string on file page before use.",Mechanism anchor for retina → SCN → autonomic pathway; animate with a clean guided trace rather than showing dense diagram full-screen.,Commons file page; cross-check against Moore 1996 and Endotext,PENDING_CODEX
EP09-A06,E-reader experiment,scientific paper/document,https://pmc.ncbi.nlm.nih.gov/articles/PMC4313820/,Chang et al. / PNAS,2015,SOURCE_IDENTIFICATION_OR_RECREATE,"Do not assume every article figure is CC licensed. Capture citation/title/Methods/Results context for editorial source identification where permitted; recreate simple charts from reported numerical values rather than copying figure artwork unless rights are explicitly confirmed.",Reveal randomized crossover design and five-evening four-hour exposure; then use recreated data graphic for melatonin phase/suppression and sleep latency.,Results; Materials and Methods; pp. 1232-1237,PENDING_CODEX
EP09-A07,Descartes handoff,portrait,https://commons.wikimedia.org/wiki/File:Frans_Hals_-_Portret_van_Ren%C3%A9_Descartes.jpg,Frans Hals,17th century,Public domain,"Painting is public domain; verify digital reproduction status on Commons file page.",Human-face transition into EP10; use briefly after the biological payoff.,Wikimedia Commons file page,PENDING_CODEX
EP09-A08,Descartes pineal doctrine,historical source page,https://plato.stanford.edu/entries/pineal-gland/,Stanford Encyclopedia of Philosophy,current reference,CITATION_ONLY,"Use SEP for fact-checking and locator information, not as a viewer-facing copied page unless separately cleared. Primary Descartes facsimile should be acquired for EP10.",Research locator for the 29 Jan 1640 letter and Passions references.,SEP §2.2,PENDING_CODEX
EP09-A09,Elisabeth cliffhanger,public-domain text/facsimile,https://fr.wikisource.org/wiki/Correspondance_avec_%C3%89lisabeth/%C3%89lisabeth_%C3%A0_Descartes_-_La_Haye%2C_16_mai_1643,René Descartes / Princess Elisabeth; Adam & Tannery edition,1899,Public domain text edition,"Prefer scan/facsimile from Gallica/Internet Archive or another archival host for final viewer-facing document. Wikisource is a locator/transcription aid.",End on the question about how an immaterial soul can move matter; full document treatment continues in EP10.,AT III pp. 660-662,PENDING_CODEX
EP09-A10,Pineal-retina evolutionary relationship,scientific source,https://pmc.ncbi.nlm.nih.gov/articles/PMC3570627/,Rath et al.,2013,OPEN_ACCESS_SOURCE,"Use as evidence source; do not reuse figures unless specific article license permits. Recreate molecular/evolution graphic instead.",Research support for shared retinal/pineal developmental and molecular features.,§3 “Evolution of the mammalian pinealocyte: pineal and retinal similarities”,PENDING_CODEX
EP09-A11,Pineal evolution boundary,scientific source,https://pmc.ncbi.nlm.nih.gov/articles/PMC1693265/,Ekström & Meissl / Royal Society,2003,OPEN_ACCESS_SOURCE,"Use source for claims and document identification; verify article license before direct figure reuse.",Supports non-mammalian photosensory pineal organs and cautions against simplistic linear transformation language.,Abstract and pp. 1679-1700,PENDING_CODEX
EP09-A12,Human pineal physiology,authoritative review,https://www.ncbi.nlm.nih.gov/books/NBK550972/,Arendt & Aulinas / Endotext,2022,REFERENCE_SOURCE,"Use as authoritative citation and mechanism reference; recreate pathway visuals rather than copying figures unless license explicitly allows.",Supports melatonin-as-darkness signal and human retinal/circadian control.,Main Function; Control of Melatonin Synthesis,PENDING_CODEX
