cue_id,section,voice_anchor,primary_visual,source_or_generated,pace,edit_function,notes
A001,S1,"1932 warnt C. G. Jung",Zurich/context -> seminar room,archive+IMG001,dense,location_hook,"first hard visual change early; no title intro"
A002,S1,"vor Kundalini",authentic historical lotus/chakra detail,SHARED_CHAKRA_001,dense,object_reveal,"real source object"
A003,S1,"psychisch in Gefahr",Jung warning reconstruction,IMG002,dense,stakes,"reconstruction label on first generated historical scene"
A004,S1,"Eine Flut / Eine Höhle",two flash frames,IMG007+IMG015,dense,future_promise,"subjective imagery"
A005,S1,"rote Sonne",underwater red disk,IMG004,hold,mystery_image,"allow image to land"
A006,S1,"große schwarze Schlange",black snake hook,IMG003,hold,central_motif,"never historical Kundalini proxy"
A007,S1,"indische Karte",Jung before neutral map + real plate in edit,IMG005+SHARED_CHAKRA_001,normal,central_question,"parallel not proof"
A008,S2,"Oktober 1913",normal train reality,IMG006,reset,timeline_reset,"dry sound"
A009,S2,"Bruch mit Sigmund Freud",real Clark/Freud-Jung context,EP04A_GROUP_001,normal,biography_context,"year label"
A010,S2,"Mitten am Tag kommt ein Bild",train reaction,IMG009,normal,threshold,"reality before vision"
A011,S2,"Europa unter Wasser",yellow flood,IMG007,dense,spectacle,"subjective reconstruction"
A012,S2,"Meer rot",red flood,IMG008,hold,mystery_hold,"no gore"
A013,S2,"Jahre in der Psychiatrie",Burgholzli + clinical materials,EP04A_PLACE_003+EP04A_DOC_001,normal,grounding,"real evidence reset"
A014,S2,"von einer Psychose bedroht",clinical corridor reconstruction,IMG011,normal,stakes,"no patient stock"
A015,S2,"Sommer 1914",real Europe map,EP04A_MAP_001,dense,reality_snap,"do not imply prophecy proof"
A016,S2,"nicht alles darin nur privat",INNERES/AUSSERES motion,A-G04,normal,question_turn,"no causal arrow"
A017,S2,"geht absichtlich zurück hinein",night desk,IMG012,hold,cliffhanger,"sound falls inward"
A018,S3,"wartet auf Bilder",waiting at desk,IMG013,normal,ritual_start,"not occult ritual"
A019,S3,"fällt er in die Tiefe",vertical descent,IMG014,dense,threshold,"POV fall"
A020,S3,"landet in einer Höhle",cave wide,IMG015,hold,world_reveal,"spacious sound"
A021,S3,"Leichnam / Käfer / rote Sonne",detail sequence,IMG017+IMG016,dense,symbol_density,"no gore"
A022,S3,"Elias / Salome",fragmented figures,IMG019,normal,character_mystery,"no Red Book imitation"
A023,S3,"große schwarze Schlange",snake wide,IMG018,hold,story_payoff,"pay hook"
A024,S3,"Dann kommt Philemon",Philemon distance,IMG020,hold,character_reveal,"dignified not fantasy"
A025,S3,"subjektiv nicht wie Dinge",reflection/space detail,IMG020 or RSV01,normal,subjective_autonomy,"do not visualize external entity claim"
A026,S3,"Patienten / Familie / Arbeit / Alltag",real Jung house/clinic/desk sequence,archive+RSV04,normal,grounding,"reality is the stabilizer"
A027,S3,"nichts hat, das einen hält",black to dry room transition,edit,hold,act_cliffhanger,"prepare hard seminar reset"
A028,S4,"Herbst 1932",seminar reality reset,IMG021,dense,reorientation,"archive dryness"
A029,S4,"Jakob Wilhelm Hauer",real Hauer portrait if rights-cleared,EP04A_PORTRAIT_004,normal,source_chain,"label 1935 photo"
A030,S4,"Kundalini unten",real historical plate scan,SHARED_CHAKRA_001,normal,mechanism,"show original, not AI"
A031,S4,"eingebettet in Praxis",discipline context,IMG023,normal,context,"generic reconstruction, no lineage claim"
A032,S4,"Wir wollen die Technik",fast practical/object details,edit,dense,western_impulse,"avoid caricature"
A033,S4,"eigener Schwerkraft",inner gravity room,IMG025,hold,felt_experience,"subtle surrealism"
A034,S4,"liest sie als Zustände",real map + neutral state motion,A-G07,normal,concept_turn,"not anatomy"
A035,S5,"Muladhara",grounded ordinary objects,IMG026,normal,map_start,"no red chakra circle"
A036,S5,"Dann kommt Bewegung / Wasser",material-to-water transition,IMG027,normal,transition,"brief"
A037,S5,"Manipura",body micro,IMG028,dense,embodiment,"body before theory"
A038,S5,"Gespräch beginnt sachlich",calm conversation,IMG029,normal,relatability,"ordinary room"
A039,S5,"Dann fällt ein Satz",affect shift,IMG030,dense,escalation,"no shouting"
A040,S5,"Du bist wütend",subjective compression,IMG031,hold,identification,"no text required"
A041,S5,"von Manipura zu Anahata",breath/open space,IMG032,normal,release,"no green glow"
A042,S5,"Da ist Wut",ICH BIN -> DA IST motion,A-G08,normal,cognitive_shift,"minimal German type"
A043,S5,"entsteht ... eine Wahl",observer step-back,IMG033,hold,micro_climax,"let thought land"
A044,S6,"Nachricht erscheint",generic phone,IMG034,dense,immediate_hook,"unreadable interface"
A045,S6,"Körper ist schneller",body reaction,IMG035,dense,embodiment,"micro SFX"
A046,S6,"formulierst eine Antwort",reply macro,IMG036,normal,tension,"no readable sentence"
A047,S6,"zwei Sekunden lang nichts",hovering thumb,IMG037,hold,pause_payoff,"music stops; no countdown"
A048,S6,"Du siehst den Impuls",pullback,IMG038,normal,release,"space opens"
A049,S6,"KARTE oder SPIEGEL",equal CTA card,A-G10,hold,interaction,"never PROJEKTION"
A050,S6,"Karte ... in Bewegung",paper edge -> real source,RSV07+SHARED_BOOK_001,dense,second_turn,"source switch"
A051,S7,"The Serpent Power von 1919",bibliographic 1919 card + real 1924 scan,A-G11,normal,document_reveal,"label actual scan 1924"
A052,S7,"Ṣaṭ-cakra-nirūpaṇa",real source detail,SHARED_BOOK_001,normal,source_anchor,"no fake manuscript"
A053,S7,"Sechs",SECHS motion,A-G12,hold,number_reveal,"preserve Sahasrara nuance"
A054,S7,"spätere westliche Schichten",tracing layers + real assets,IMG040+A-G13,normal,map_mutation,"seams visible"
A055,S7,"Karte ... gereist",travel desk / source layers,IMG041,normal,history_turn,"no conspiracy aesthetic"
A056,S8,"Zurück zu Jung",real Jung portrait/archive,EP04A_PORTRAIT_003,reset,return_character,"quiet"
A057,S8,"Wasser / Feuer / Höhle / Gestalten / Schlange",selective motif reprise,IMG044+IMG043,hold,motif_return,"do not introduce new mythology"
A058,S8,"fremde symbolische Sprache",map-on-ground conceptual,IMG042,normal,integration,"map vs terrain"
A059,S8,"Vielleicht hat Jung Indien ...",Jung + source layers editorial composite,archive+motion,normal,open_question,"no verdict"
A060,S8,"warnte, weil er ihnen zu viel zutraute",snake residue,IMG043,hold,emotional_close,"no Kundalini label"
A061,S8,"Wolfgang Pauli",authentic Pauli archive + clean name card,archive+A-G14,dense,next_domain_reveal,"no quantum particles"
A062,S8,"Zufall wird zum nächsten Problem",black / minimal structural line,edit,hold,end_hook,"last spoken line; no 'next episode' phrase"
