episode,visual_order,timeline_block,kind,filename,resolution,prompt_source,references,qa_status,relative_path
EP06,1,SERIES,MAIN,IMG001_1963_BEDROOM_DOOR.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CINEMATIC_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG001_1963_BEDROOM_DOOR.png
EP06,2,SERIES,MAIN,IMG002_FOOTSTEPS_APPROACH.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CINEMATIC_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG002_FOOTSTEPS_APPROACH.png
EP06,3,SERIES,MAIN,IMG003_HAND_WILL_NOT_MOVE.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CINEMATIC_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG003_HAND_WILL_NOT_MOVE.png
EP06,4,S1-S2,MAIN,IMG004_MATTRESS_WEIGHT.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG004_MATTRESS_WEIGHT.png
EP06,5,SERIES,MAIN,IMG005_CHEST_PRESSURE_CLOSE.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG005_CHEST_PRESSURE_CLOSE.png
EP06,6,SERIES,MAIN,IMG006_MALEVOLENT_PRESENCE_NEGATIVE_SPACE.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG006_MALEVOLENT_PRESENCE_NEGATIVE_SPACE.png
EP06,7,S1-S2,MAIN,IMG007_FOGO_PLACE_ANCHOR_RECON.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,STYLE_CINEMATIC_EP06.png; EP06_Fogo_Island_Newfoundland_fishing_village_2002.jpg,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG007_FOGO_PLACE_ANCHOR_RECON.png
EP06,8,S1-S2,MAIN,IMG008_OLD_HAG_BEDROOM_PATTERN.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG008_OLD_HAG_BEDROOM_PATTERN.png
EP06,9,S1-S2,RESERVE,SHOT01_EMPTY_HALLWAY.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,STYLE_CINEMATIC_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT01_EMPTY_HALLWAY.png
EP06,10,S1-S2,RESERVE,SHOT02_FOGO_MAP_TABLE.png,2560x1440,01_PROMPTS/NANOBANANA_PROMPTS_V4_S1_S2.md,EP06_Fogo_Island_to_Cape_Bonavista_Admiralty_Chart_1873.jpg,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/SHOT02_FOGO_MAP_TABLE.png
EP06,11,SERIES,MAIN,IMG009_REM_BODY_STILL.png,2560x1440,01_PROMPTS/REDESIGN_PROMPT_BATCH.md,STYLE_CONCEPTUAL_EP06.png,FINAL,06_PRODUCTION/EP06_SCHLAFPARALYSE_V4/IMAGE_GENERATION_KIT/03_GENERATED_OUTPUT/NanoBanana_2K_Series/IMG009_REM_BODY_STILL.png
