asset_id,file,commons_title,source_url,licence,creator,date,resolution,megapixels,found_by_query,bytes,sha256
EP16-X01,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_X_Portret_van_William_Charnley_boekhandelaar_te_Newcastle_upon_Tyne.jpg,"File:Portret van William Charnley, boekhandelaar te Newcastle upon Tyne William Charnley, Bookseller Newcastle upon Tyne (titel op object), RP-P-2015-26-1133.jpg","https://commons.wikimedia.org/wiki/File:Portret_van_William_Charnley,_boekhandelaar_te_Newcastle_upon_Tyne_William_Charnley,_Bookseller_Newcastle_upon_Tyne_(titel_op_object),_RP-P-2015-26-1133.jpg",CC0,Rijksmuseum,1817,4960x6476,32.12,bookseller shop engraving,3389179,66f5ef04c5c5d3b7d79ba3b2476a018202ffabe184782f2ff8bb68569003cafb
EP16-X02,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_X_Portret_van_John_Reeder_boekhandelaar_te_Lewes_en_Brighton_John_Re.jpg,"File:Portret van John Reeder, boekhandelaar te Lewes en Brighton John Reeder. bookseller, sign writer ((..)) of Lewes and Brighton (titel op object), RP-P-2015-26-1057.jpg","https://commons.wikimedia.org/wiki/File:Portret_van_John_Reeder,_boekhandelaar_te_Lewes_en_Brighton_John_Reeder._bookseller,_sign_writer_((..))_of_Lewes_and_Brighton_(titel_op_object),_RP-P-2015-26-1057.jpg",CC0,Rijksmuseum,1792-12,4592x6628,30.44,bookseller shop engraving,3673344,1423e5dfd67a7acef384edcfa62c21b0e9c7410b4c2a0d52ad3b47f8cae1d6ec
EP16-X03,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_X_Portret_van_boekverkoper_Archibald_Constable_Archibald_Constable_E.jpg,"File:Portret van boekverkoper Archibald Constable Archibald Constable Esqr. Bookseller (titel op object), RP-P-2015-26-398.jpg","https://commons.wikimedia.org/wiki/File:Portret_van_boekverkoper_Archibald_Constable_Archibald_Constable_Esqr._Bookseller_(titel_op_object),_RP-P-2015-26-398.jpg",CC0,Rijksmuseum,1823,3906x5214,20.37,bookseller shop engraving,2077427,045a0a9bdee4a700c5507b5aba38fa38bb3fff113613972f0f8ad26c1146eea2
EP16-X04,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_X_Galileo_in_gesprek_met_twee_oude_mannen_Titelpagina_voor_Galileo_G.jpg,"File:Galileo in gesprek met twee oude mannen Titelpagina voor Galileo Galilei, Dialogo. Dove ne i congressi di quattro giornate si discorre sopra i due massimi sistemi del mondo Tolemaico, e Copernicano, 1632., RP-P-OB-35.138.jpg","https://commons.wikimedia.org/wiki/File:Galileo_in_gesprek_met_twee_oude_mannen_Titelpagina_voor_Galileo_Galilei,_Dialogo._Dove_ne_i_congressi_di_quattro_giornate_si_discorre_sopra_i_due_massimi_sistemi_del_mondo_Tolemaico,_e_Copernicano,_1632.,_RP-P-OB-35.138.jpg",CC0,Rijksmuseum,1632,3870x5226,20.22,Galileo Dialogo 1632 title page,4777676,055c3efce6696257f96b6108c774459421db4bf0f0271ce6d9982cf2d58739ae
EP16-X05,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_X_Paul_III_Opens_the_Council_of_Trent_in_1546_Villa_Farnese_Caprarol.jpg,"File:Paul III Opens the Council of Trent in 1546 - Villa Farnese - Caprarola, Italy - DSC02391.jpg","https://commons.wikimedia.org/wiki/File:Paul_III_Opens_the_Council_of_Trent_in_1546_-_Villa_Farnese_-_Caprarola,_Italy_-_DSC02391.jpg",Public domain,Daderot,2019-04-09 09:09:11,3648x5472,19.96,Council of Trent painting,10417946,705c87076ece0304469b5bdc5823722af10572091f825751a0ff74e94fb94c64
EP16-X06,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_X_Portret_van_Thomas_Miller_boekverkoper_te_Bungay_Thomas_Miller_Boo.jpg,"File:Portret van Thomas Miller, boekverkoper te Bungay Thomas Miller, Bookseller, Bungay, Suffolk (titel op object), RP-P-2015-26-1139.jpg","https://commons.wikimedia.org/wiki/File:Portret_van_Thomas_Miller,_boekverkoper_te_Bungay_Thomas_Miller,_Bookseller,_Bungay,_Suffolk_(titel_op_object),_RP-P-2015-26-1139.jpg",CC0,Rijksmuseum,between 1804 and 1841dat,3844x4992,19.19,bookseller shop engraving,2454478,9acfbbd12854d15cdc9beb9cc0b3707a10a9fab2912c45e2d9d51ccb111e780c
EP16-X07,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_X_Boekhandelaar_met_opengeslagen_boek_RP_P_2015_26_121_jpg.jpg,"File:Boekhandelaar met opengeslagen boek, RP-P-2015-26-121.jpg","https://commons.wikimedia.org/wiki/File:Boekhandelaar_met_opengeslagen_boek,_RP-P-2015-26-121.jpg",CC0,Rijksmuseum,between 1826 and 1889dat,3332x4840,16.13,bookseller shop engraving,2182863,b53d9ecea87f874a7e4d64edcfb88983e9e19ad7a83901834db950b756bdf089
EP16-X08,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_X_Concilio_Trento_Museo_Buonconsiglio_jpg.jpg,File:Concilio Trento Museo Buonconsiglio.jpg,https://commons.wikimedia.org/wiki/File:Concilio_Trento_Museo_Buonconsiglio.jpg,CC BY-SA 3.0,Laurom,2009-11-11,4056x3340,13.55,Council of Trent painting,1803827,c6e92776016982e91d645034743bf492eedb30bb056a7ef3acbbe4c1fb885da8
EP16-X09,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_X_Portret_van_boekverkoper_en_schrijver_Henry_Lemoine_Henry_Lemoine.jpg,"File:Portret van boekverkoper en schrijver Henry Lemoine Henry Lemoine, The Eccentric Bookseller & Author (titel op object), RP-P-2015-26-1066.jpg","https://commons.wikimedia.org/wiki/File:Portret_van_boekverkoper_en_schrijver_Henry_Lemoine_Henry_Lemoine,_The_Eccentric_Bookseller_&_Author_(titel_op_object),_RP-P-2015-26-1066.jpg",CC0,Rijksmuseum,1821-06,2820x4318,12.18,bookseller shop engraving,1560319,b2664ca7ea813670aa5b4e584c5804542d2ee5ebad244a2b73c92bfb62856960
EP16-X10,03_VISUALS/ASSETS/SELECTED/AUTHENTIC/EP16_X_Dialogo_di_Galileo_Galilei_Firenze_1632_tif.tif,"File:Dialogo di Galileo Galilei (Firenze, 1632).tif","https://commons.wikimedia.org/wiki/File:Dialogo_di_Galileo_Galilei_(Firenze,_1632).tif",CC BY-SA 4.0,Museo Galileo - Istituto e Museo di Storia della Scienza,2016-07-26,2741x3930,10.77,Galileo Dialogo 1632 title page,23406672,4abfbc0adfe0bfde13532bda3a533c29e4364000a3556e00d6bdc628dd0712dd
