cue_id,scene,scene_title,est_start,est_end,voice_anchor_start,voice_anchor_end,voice_excerpt,visual_type,visual_concept,reference_assets,generation_id,edit_hold_rule,highlight_rule,sync_rule
EP04_V2_C001,S1,Der verbotene Vortrag,0.0,8.0,Oktober 1932. Zuerich.,"einen Vortrag, den er","Oktober 1932. Zuerich. C. G. Jung steht vor einem Kreis von Zuhoerern und beginnt einen Vortrag, den er",AI_RECON,"1930s Zurich lecture hall, Jung standing before audience, dramatic lighting, forbidden atmosphere, tense documentary mood",,IMG01,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C002,S1,Der verbotene Vortrag,8.0,16.0,eigentlich nicht halten durfte. Das Thema:,"die aus einer voellig anderen","eigentlich nicht halten durfte. Das Thema: Kundalini-Yoga. Die Chakren. Ein System, das aus einer voellig anderen",AI_RECON,"1930s Zurich lecture hall, Jung standing before audience, dramatic lighting, forbidden atmosphere, tense documentary mood",,IMG02,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C003,S1,Der verbotene Vortrag,16.0,24.0,geistigen Welt stammt. Die Esoterik-Szene,"als mystische Energiezentren, die","geistigen Welt stammt. Die Esoterik-Szene ist empört. Die Wissenschaft auch. Denn Jung macht etwas Unerwartetes. Er behandelt die Chakren nicht als mystische Energiezentren, die",AI_RECON,"1930s Zurich lecture hall, Jung standing before audience, dramatic lighting, forbidden atmosphere, tense documentary mood",,IMG03,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C004,S1,Der verbotene Vortrag,24.0,32.0,irgendwo im Koerper nachgewiesen werden,"eine Karte dafuer, wie sich","irgendwo im Koerper nachgewiesen werden muessten. Er liest sie als Psychologie. Als eine Karte dafuer, wie sich",AI_RECON,"1930s Zurich lecture hall, Jung standing before audience, dramatic lighting, forbidden atmosphere, tense documentary mood",,IMG04,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C005,S1,Der verbotene Vortrag,32.0,40.0,menschliches Bewusstsein veraendern kann. Das,"die bis heute unbequem ist: Kann","menschliches Bewusstsein veraendern kann. Das klingt harmlos. Ist es nicht. Denn damit stellt Jung eine Frage, die bis heute unbequem ist: Kann",AI_RECON,"1930s Zurich lecture hall, Jung standing before audience, dramatic lighting, forbidden atmosphere, tense documentary mood",,IMG05,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C006,S1,Der verbotene Vortrag,40.0,47.9,ein altes Symbolsystem besser beschreiben,"als die moderne Psychologie?","ein altes Symbolsystem besser beschreiben, was in uns vorgeht, als die moderne Psychologie?",AI_RECON,"1930s Zurich lecture hall, Jung standing before audience, dramatic lighting, forbidden atmosphere, tense documentary mood",,IMG06,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C007,S2,Die gestohlene Karte,47.9,55.9,Jung erfand diese Karte nicht. Er,"Anfang Oktober 1932 hatte","Jung erfand diese Karte nicht. Er entlehnte sie. Anfang Oktober 1932 hatte",ORIGINAL_ASSET,Use original asset B_HAUER_1935 with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_HAUER_1935,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C008,S2,Die gestohlene Karte,55.9,63.9,der Indologe Jakob Wilhelm Hauer,"Jungs eigene Seminarsitzungen. Eine","der Indologe Jakob Wilhelm Hauer in Zuerich ueber tantrischen Yoga gesprochen. Kurz darauf folgten Jungs eigene Seminarsitzungen. Eine",AI_RECON,"historical cross-cultural scholarship, old books, tantric lotus diagrams, Zurich seminar notes, archival documentary composition, accurate period objects",,IMG07,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C009,S2,Die gestohlene Karte,63.9,71.9,wichtige westliche Textgrundlage war Sir,"Woodroffes Werk The Serpent Power.","wichtige westliche Textgrundlage war Sir John Woodroffes Werk The Serpent Power.",ORIGINAL_ASSET,Use original asset B_CHAKRA_WELLCOME with slow crop/zoom. Do not imply the image depicts an event it does not depict.,B_CHAKRA_WELLCOME,,"Hold 5-8s; if the same asset continues, change crop or highlighted region at the next cue.",Highlight only labels or features already present; never add invented quotation text.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C010,S2,Die gestohlene Karte,71.9,79.9,Woodroffe hatte unter dem Namen,"tantrische Texte uebersetzt und","Woodroffe hatte unter dem Namen Arthur Avalon tantrische Texte uebersetzt und",AI_RECON,"historical cross-cultural scholarship, old books, tantric lotus diagrams, Zurich seminar notes, archival documentary composition, accurate period objects",,IMG08,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
EP04_V2_C011,S2,Die gestohlene Karte,79.9,87.9,kommentiert. Und hier beginnt das Problem.,"eine Auswahl. Eine Interpretation.","kommentiert. Und hier beginnt das Problem. Denn was Woodroffe nach Europa brachte, war nicht die ganze Geschichte. Es war eine Auswahl. Eine Interpretation.",AI_RECON,"historical cross-cultural scholarship, old books, tantric lotus diagrams, Zurich seminar notes, archival documentary composition, accurate period objects",,IMG09,5-8s primary hold; gentle push or parallax allowed. No slideshow freeze.,No evidentiary label. Generated material must be marked as reconstruction/illustration where required.,Map HTML-unescaped voice anchors to final narrator word timestamps. Cue starts on first anchor word and ends on last anchor word.
