id,episodes,title,traffic_light,license,source_page,download_url,filename,relative_dir,auto_download,expected_kind,verification_date,verification_status,script_act,shot_use,note
EP01B_SRC01,EP01B,"Nikolai A. Kozyrev portrait, 1959",YELLOW,"Commons currently marks CC0 1.0; underlying historical author is unknown — archive rights page and retain provenance caution",https://commons.wikimedia.org/wiki/File:Nikolai_Aleksandrovich_Kozyrev_in_1959.png,https://commons.wikimedia.org/wiki/Special:Redirect/file/Nikolai%20Aleksandrovich%20Kozyrev%20in%201959.png,SRC01_Nikolai_Kozyrev_1959.png,EP01B/02_REVIEW_YELLOW/PORTRAITS,1,image,2026-08-23,"Source page live; 892x631 PNG; Commons CC0 block verified",S1;S3;S8,"Identity reveal / return / final portrait","Use authentic portrait for identity. Do not treat uploader-applied CC0 as proof of original authorship; preserve source page in rights archive."
EP01B_SRC02,EP01B,"Alphonsus crater — LRO mosaic",GREEN,"Public Domain — NASA work per Commons licensing block",https://commons.wikimedia.org/wiki/File:Alphonsus_(LRO)_1.png,https://commons.wikimedia.org/wiki/Special:Redirect/file/Alphonsus%20%28LRO%29%201.png,SRC02_Alphonsus_LRO.png,EP01B/01_ORIGINAL_GREEN/MOON,1,image,2026-08-23,"Source page live; 2878x2878 PNG; NASA public-domain status verified",S1;S3;S8,"Primary lunar geography anchor","Best clean Alphonsus master. Crop to central peak only after establishing full crater."
EP01B_SRC03,EP01B,"Alphonsus crater — Apollo 16 metric-camera frame AS16-M-2478",GREEN,"Public Domain — NASA image per Commons licensing block",https://commons.wikimedia.org/wiki/File:AS16-M-2478.png,https://commons.wikimedia.org/wiki/Special:Redirect/file/AS16-M-2478.png,SRC03_Alphonsus_Apollo16_AS16-M-2478.png,EP01B/01_ORIGINAL_GREEN/MOON,1,image,2026-08-23,"Source page live; 4048x4048 PNG; NASA public-domain status verified",S1;S3,"Second lunar angle / documentary texture","Use as alternate view; it is a 1972 Apollo image, not a 1958 photograph."
EP01B_SRC04,EP01B,"Pulkovo Observatory, 1855 woodcut by Ev. Bernardsky",GREEN,"Public Domain — author died 1889; Commons PD/PDM block verified",https://commons.wikimedia.org/wiki/File:Ev._Bernardsky._Pulkovo_Observatory_in_1855.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ev.%20Bernardsky.%20Pulkovo%20Observatory%20in%201855.jpg,SRC04_Pulkovo_Observatory_1855.jpg,EP01B/01_ORIGINAL_GREEN/PLACES,1,image,2026-08-23,"Source page live; 1087x757 JPG; public-domain status verified",S2,"Institution-history establishing shot","Historical institution anchor only; not a literal image of Pulkovo in 1936."
EP01B_SRC05,EP01B,"Pulkovo 30-inch refracting telescope — 1890 publication",YELLOW,"Commons marks US public domain but warns status may differ outside US",https://commons.wikimedia.org/wiki/File:Pulkovo_30_inch_refracting_telescope.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Pulkovo%2030%20inch%20refracting%20telescope.jpg,SRC05_Pulkovo_30inch_Refractor.jpg,EP01B/02_REVIEW_YELLOW/INSTRUMENTS,1,image,2026-08-23,"Source page live; 1296x1792 JPG; Commons territorial-PD warning verified",S2;S3,"Historical astronomy-instrument anchor","Use as institutional/instrument lineage only; not Kozyrev's exact telescope and not a 1936 scene."
EP01B_SRC06,EP01B,"Pulkovo Observatory exterior — 2020",YELLOW,"CC BY-SA 4.0 — MBH / Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Pulkovo_Observatory_01.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Pulkovo%20Observatory%2001.jpg,SRC06_Pulkovo_Observatory_2020.jpg,EP01B/02_REVIEW_YELLOW/PLACES,1,image,2026-08-23,"Source page live; 4160x3120 JPG; CC BY-SA 4.0 verified",S2;S3,"Present-day location anchor / transition","Caption/date if shown as documentary footage; never imply this is a 1936 photograph."
EP01B_SRC07,EP01B,"Crimean Astrophysical Observatory telescope — 2005",YELLOW,"CC BY 2.0 — uploaded via Flickr; Commons license review preserved",https://commons.wikimedia.org/wiki/File:The_Crimean_Astrophysical_Observatory_telescope_(2005-09-290).jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/The%20Crimean%20Astrophysical%20Observatory%20telescope%20%282005-09-290%29.jpg,SRC07_Crimean_Astrophysical_Observatory_2005.jpg,EP01B/02_REVIEW_YELLOW/PLACES,1,image,2026-08-23,"Source page live; 1280x960 JPG; CC BY 2.0 verified",S1;S3,"CrAO location/instrument lineage","Modern context photo only; never imply this is Kozyrev at the 48-inch reflector in 1958."
EP01B_SRC08,EP01B,"Gulag prisoners transporting cargo on the Izhma River, c.1930",YELLOW,"Commons marks Public Domain; historical author unknown and provenance/context require review",https://commons.wikimedia.org/wiki/File:Gulag.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Gulag.jpg,SRC08_Gulag_Prisoners_c1930.jpg,EP01B/02_REVIEW_YELLOW/HISTORY,1,image,2026-08-23,"Source page live; 1280x854 JPG; Commons PD block verified; author unknown",S2,"Generic Gulag-system context","NOT Norillag and NOT Kozyrev. Use only after voice establishes the wider camp system; no false caption."
EP01B_SRC09,EP01B,"Central shop in Norilsk, 1957 — forced-labor-built city context",YELLOW,"CC BY 4.0 — Kaunas 9th Fort Museum / Europeana via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Central_shop_in_Norilsk_in_1957.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Central%20shop%20in%20Norilsk%20in%201957.jpg,SRC09_Norilsk_1957_Central_Shop.jpg,EP01B/02_REVIEW_YELLOW/NORILSK,1,image,2026-08-23,"Source page live; 737x479 JPG; CC BY 4.0 verified",S2,"Norilsk location/forced-labor legacy","Image dates from 1957, after Kozyrev's 1946 release. Use only as city-context, never as his imprisonment."
EP01B_SRC10,EP01B,"Norillag / Gulag museum in Norilsk — 2016",YELLOW,"CC BY 2.0 — Ninara / Wikimedia Commons; Flickr review preserved",https://commons.wikimedia.org/wiki/File:4Y1A0049_(28318649224).jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/4Y1A0049%20%2828318649224%29.jpg,SRC10_Norillag_Museum_Norilsk_2016.jpg,EP01B/02_REVIEW_YELLOW/NORILSK,1,image,2026-08-23,"Source page live; 2741x2188 JPG; CC BY 2.0 verified",S2,"Memory-site / transition out of imprisonment section","Modern museum/memory anchor only; not historical camp footage."
