cue_id,section,anchor_text,planned_shots,edit_rule
EP06_TAKE_001_DEZEMBER_1963,S1,Dezember neunzehnhundertdreiundsechzig. David Hufford ist College-Student und liegt,7,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_002_DER_KOERPER_ANTWORTET_NICHT,S1,Hufford will nach der Lampe greifen. Sein Arm,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_003_EIN_MUSTER_DAS_ER_NICHT_KANNTE,S1,Diese Nacht wird später seine ganze Arbeit verändern.,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_004_FOGO_ISLAND,S2,"Hufford arbeitet später in Neufundland mit Erzählungen, Archiven",6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_005_UNANGENEHM_PRAEZISE,S2,Die Betroffenen erzählen keinen verschwommenen Traum. Sie beschreiben,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_006_WAS_KOMMT_ZUERST,S2,Damit wird die Frage größer als jede einzelne,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_007_REM_ATONIE,S3,Im REM-Schlaf laufen besonders lebhafte Träume. Damit wir,7,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_008_DER_TIMINGFEHLER,S3,Bei einer Schlafparalyse gerät genau dieses Timing auseinander.,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_009_DER_KOERPER_FUEHLT_SICH_FREMD_AN,S3,Auch die Atmung kann sich plötzlich eng oder,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_010_WO_DAS_RAETSEL_BEGINNT,S3,Damit ist die Lähmung verständlich. Für Schritte im,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_011_DREI_WIEDERKEHRENDE_FAMILIEN,S4,Der Psychologe J. Allan Cheyne und seine Kollegen,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_012_INTRUDER_INCUBUS_SCHWEBEN,S4,"Die erste Familie heißt Intruder: Schritte, Rascheln, eine",7,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_013_WARUM_GERADE_DIESE_FORMEN,S4,Ein träumendes Gehirn kann sehr merkwürdige Bilder erzeugen.,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_014_TAKEUCHI_1992,S5,Neunzehnhundertzweiundneunzig verändern japanische Schlafforscher den Schlaf von sechzehn,6,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_015_DER_UNTERBROCHENE_SCHLAF,S5,"Die Personen schlafen zunächst ein, werden zu festgelegten",7,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_016_SECHS_EPISODEN,S5,"In diesen sechs Episoden wissen die Betroffenen, dass",7,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_017_UND_TROTZDEM_KOMMT_ETWAS_MIT,S5,Eine verfluchte Wohnung braucht es dafür nicht. Gestörter,5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_018_HEUTE_NACHT,S6,"Stell dir vor, du kennst diese Studie nicht.",5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_019_KOERPER_ODER_BESUCHER,S6,Schreib mir nur ein Wort in die Kommentare:,5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_020_DIE_OFFENE_AUFGABE,S6,"Die Mechanik zeigt, warum Bewegung blockiert ist und",4,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_021_ALARM_OHNE_URSACHE,S7,Eine plausible Spur beginnt beim Alarmsystem. Du bist,5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_022_AUS_EINEM_SCHATTEN_WIRD_EINE_SCHULTER,S7,Das Gehirn sucht also nach einem Verursacher. Ein,4,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_023_DIE_PRAESENZ_KOMMT_ZUERST,S7,Ein Rest bleibt. Viele Betroffene spüren die Präsenz,5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_024_ZURUECK_ZU_HUFFORD,S8,"Zurück zu David Hufford. Neunzehnhundertdreiundsechzig erlebt er etwas,",5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_025_WARUM_WIRD_AUS_LAEHMUNG_EINE_BEGEGNUNG,S8,Das Rätsel ist damit an eine präzisere Stelle,5,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
EP06_TAKE_026_BRIDGET_BISHOP,S8,Sechzehnhundertzweiundneunzig liegt ein Mann in Salem wach im,7,no still >9s; no identical frame twice; no two consecutive shots from the same base asset
